n_mutations,group_1,group_2,n_pairs,RR,variant
0,Adams County,Adams County,38,118.01768550557479,Delta
0,Asotin County,Adams County,0,0,Delta
0,Benton County,Adams County,2,4.114081996434938,Delta
0,Chelan County,Adams County,0,0,Delta
0,Clallam County,Adams County,3,3.126160990712074,Delta
0,Clark County,Adams County,0,0,Delta
0,Cowlitz County,Adams County,0,0,Delta
0,Douglas County,Adams County,0,0,Delta
0,Franklin County,Adams County,0,0,Delta
0,Grant County,Adams County,8,42.237908496732025,Delta
0,Grays Harbor County,Adams County,0,0,Delta
0,Island County,Adams County,0,0,Delta
0,Jefferson County,Adams County,0,0,Delta
0,King County,Adams County,0,0,Delta
0,Kitsap County,Adams County,0,0,Delta
0,Kittitas County,Adams County,0,0,Delta
0,Klickitat County,Adams County,0,0,Delta
0,Lewis County,Adams County,0,0,Delta
0,Mason County,Adams County,0,0,Delta
0,Okanogan County,Adams County,0,0,Delta
0,Pacific County,Adams County,0,0,Delta
0,Pierce County,Adams County,0,0,Delta
0,San Juan County,Adams County,0,0,Delta
0,Skagit County,Adams County,0,0,Delta
0,Snohomish County,Adams County,0,0,Delta
0,Spokane County,Adams County,0,0,Delta
0,Stevens County,Adams County,0,0,Delta
0,Thurston County,Adams County,0,0,Delta
0,Wahkiakum County,Adams County,0,0,Delta
0,Walla Walla County,Adams County,0,0,Delta
0,Whatcom County,Adams County,0,0,Delta
0,Whitman County,Adams County,0,0,Delta
0,Yakima County,Adams County,0,0,Delta
0,Adams County,Benton County,2,4.114081996434937,Delta
0,Asotin County,Benton County,0,0,Delta
0,Benton County,Benton County,40,54.49822904368358,Delta
0,Chelan County,Benton County,0,0,Delta
0,Clallam County,Benton County,0,0,Delta
0,Clark County,Benton County,0,0,Delta
0,Cowlitz County,Benton County,0,0,Delta
0,Douglas County,Benton County,1,4.034965034965035,Delta
0,Franklin County,Benton County,5,15.895316804407715,Delta
0,Grant County,Benton County,1,3.496969696969697,Delta
0,Grays Harbor County,Benton County,0,0,Delta
0,Island County,Benton County,0,0,Delta
0,Jefferson County,Benton County,0,0,Delta
0,King County,Benton County,16,0.35123361677033993,Delta
0,Kitsap County,Benton County,2,6.5568181818181825,Delta
0,Kittitas County,Benton County,0,0,Delta
0,Klickitat County,Benton County,0,0,Delta
0,Lewis County,Benton County,0,0,Delta
0,Mason County,Benton County,0,0,Delta
0,Okanogan County,Benton County,0,0,Delta
0,Pacific County,Benton County,0,0,Delta
0,Pierce County,Benton County,0,0,Delta
0,San Juan County,Benton County,0,0,Delta
0,Skagit County,Benton County,2,1.7933177933177935,Delta
0,Snohomish County,Benton County,4,0.4971994829814736,Delta
0,Spokane County,Benton County,2,1.509483322432963,Delta
0,Stevens County,Benton County,0,0,Delta
0,Thurston County,Benton County,0,0,Delta
0,Wahkiakum County,Benton County,0,0,Delta
0,Walla Walla County,Benton County,0,0,Delta
0,Whatcom County,Benton County,0,0,Delta
0,Whitman County,Benton County,0,0,Delta
0,Yakima County,Benton County,2,0.8228163992869875,Delta
0,Adams County,Clallam County,3,3.126160990712074,Delta
0,Asotin County,Clallam County,0,0,Delta
0,Benton County,Clallam County,0,0,Delta
0,Chelan County,Clallam County,0,0,Delta
0,Clallam County,Clallam County,142,49.64837257617729,Delta
0,Clark County,Clallam County,0,0,Delta
0,Cowlitz County,Clallam County,0,0,Delta
0,Douglas County,Clallam County,0,0,Delta
0,Franklin County,Clallam County,0,0,Delta
0,Grant County,Clallam County,2,3.542982456140351,Delta
0,Grays Harbor County,Clallam County,0,0,Delta
0,Island County,Clallam County,0,0,Delta
0,Jefferson County,Clallam County,0,0,Delta
0,King County,Clallam County,4,0.04448188896598055,Delta
0,Kitsap County,Clallam County,0,0,Delta
0,Kittitas County,Clallam County,0,0,Delta
0,Klickitat County,Clallam County,0,0,Delta
0,Lewis County,Clallam County,0,0,Delta
0,Mason County,Clallam County,0,0,Delta
0,Okanogan County,Clallam County,0,0,Delta
0,Pacific County,Clallam County,0,0,Delta
0,Pierce County,Clallam County,0,0,Delta
0,San Juan County,Clallam County,0,0,Delta
0,Skagit County,Clallam County,0,0,Delta
0,Snohomish County,Clallam County,0,0,Delta
0,Spokane County,Clallam County,0,0,Delta
0,Stevens County,Clallam County,0,0,Delta
0,Thurston County,Clallam County,0,0,Delta
0,Wahkiakum County,Clallam County,0,0,Delta
0,Walla Walla County,Clallam County,0,0,Delta
0,Whatcom County,Clallam County,0,0,Delta
0,Whitman County,Clallam County,0,0,Delta
0,Yakima County,Clallam County,1,0.2084107327141383,Delta
0,Adams County,Grant County,8,42.237908496732025,Delta
0,Asotin County,Grant County,0,0,Delta
0,Benton County,Grant County,1,3.4969696969696975,Delta
0,Chelan County,Grant County,1,7.085964912280701,Delta
0,Clallam County,Grant County,2,3.5429824561403507,Delta
0,Clark County,Grant County,0,0,Delta
0,Cowlitz County,Grant County,1,33.65833333333333,Delta
0,Douglas County,Grant County,2,20.712820512820514,Delta
0,Franklin County,Grant County,0,0,Delta
0,Grant County,Grant County,12,107.70666666666668,Delta
0,Grays Harbor County,Grant County,0,0,Delta
0,Island County,Grant County,0,0,Delta
