n_mutations,group_1,group_2,n_pairs,RR,variant
10,Adams County,Adams County,220,0.8889560437568526,Omicron
10,Asotin County,Adams County,25,0.868929761787844,Omicron
10,Benton County,Adams County,2357,1.064595971056161,Omicron
10,Chelan County,Adams County,689,0.9015354920244393,Omicron
10,Clallam County,Adams County,695,0.8967118148109389,Omicron
10,Clark County,Adams County,906,0.9303299349665118,Omicron
10,Columbia County,Adams County,17,0.9789493601710554,Omicron
10,Cowlitz County,Adams County,955,1.0071457008014029,Omicron
10,Douglas County,Adams County,318,0.8435011212373082,Omicron
10,Ferry County,Adams County,21,0.7467487963555722,Omicron
10,Franklin County,Adams County,1442,1.0299993849758755,Omicron
10,Grant County,Adams County,592,0.8997729322453252,Omicron
10,Grays Harbor County,Adams County,1921,1.0343181922818954,Omicron
10,Island County,Adams County,301,0.98642801311795,Omicron
10,Jefferson County,Adams County,132,0.9497533064182816,Omicron
10,King County,Adams County,33946,1.0185935622538131,Omicron
10,Kitsap County,Adams County,1086,0.9738835099316854,Omicron
10,Kittitas County,Adams County,260,0.9950012160976743,Omicron
10,Klickitat County,Adams County,64,0.8643729302188312,Omicron
10,Lewis County,Adams County,843,0.9415857451564236,Omicron
10,Lincoln County,Adams County,33,1.1763422248538222,Omicron
10,Mason County,Adams County,279,1.0893059915810783,Omicron
10,Okanogan County,Adams County,326,0.9424382565790902,Omicron
10,Pacific County,Adams County,477,0.9750432735349662,Omicron
10,Pend Oreille County,Adams County,54,1.132222408111923,Omicron
10,Pierce County,Adams County,5769,0.9910843604134112,Omicron
10,San Juan County,Adams County,26,0.9351204684622242,Omicron
10,Skagit County,Adams County,632,0.8904478302661435,Omicron
10,Skamania County,Adams County,26,1.0623920553286168,Omicron
10,Snohomish County,Adams County,4676,1.0031713786264593,Omicron
10,Spokane County,Adams County,2511,0.9587247501691318,Omicron
10,Stevens County,Adams County,70,0.9186832996497862,Omicron
10,Thurston County,Adams County,4330,0.9359141013189064,Omicron
10,Wahkiakum County,Adams County,10,1.1660133928822811,Omicron
10,Walla Walla County,Adams County,558,1.0060005543824828,Omicron
10,Whatcom County,Adams County,2341,0.9608734864779777,Omicron
10,Whitman County,Adams County,729,0.9323062005616718,Omicron
10,Yakima County,Adams County,5852,1.0508145965608533,Omicron
10,Adams County,Asotin County,25,0.868929761787844,Omicron
10,Asotin County,Asotin County,0,0,Omicron
10,Benton County,Asotin County,210,0.8158899587103511,Omicron
10,Chelan County,Asotin County,63,0.7090734335028823,Omicron
10,Clallam County,Asotin County,55,0.6104046517242026,Omicron
10,Clark County,Asotin County,97,0.8567765862404491,Omicron
