n_mutations,group_1,group_2,n_pairs,RR,variant
4,Adams County,Chelan County,2,11.056133056133056,Delta
4,Benton County,Chelan County,1,0.5614442567567568,Delta
4,Chelan County,Chelan County,14,13.596055514974434,Delta
4,Clallam County,Chelan County,1,0.5528066528066529,Delta
4,Clark County,Chelan County,0,0,Delta
4,Cowlitz County,Chelan County,0,0,Delta
4,Douglas County,Chelan County,7,11.698931489629164,Delta
4,Ferry County,Chelan County,1,11.977477477477477,Delta
4,Franklin County,Chelan County,0,0,Delta
4,Grant County,Chelan County,3,5.389864864864865,Delta
4,Grays Harbor County,Chelan County,0,0,Delta
4,Island County,Chelan County,0,0,Delta
4,Jefferson County,Chelan County,0,0,Delta
4,King County,Chelan County,24,1.005103005103005,Delta
4,Kitsap County,Chelan County,0,0,Delta
4,Kittitas County,Chelan County,3,2.7290455011973997,Delta
4,Klickitat County,Chelan County,0,0,Delta
4,Lewis County,Chelan County,0,0,Delta
4,Mason County,Chelan County,0,0,Delta
4,Okanogan County,Chelan County,0,0,Delta
4,Pacific County,Chelan County,0,0,Delta
4,Pierce County,Chelan County,6,1.1944298869506627,Delta
4,Skagit County,Chelan County,0,0,Delta
4,Skamania County,Chelan County,0,0,Delta
4,Snohomish County,Chelan County,2,0.31110331110331113,Delta
4,Spokane County,Chelan County,0,0,Delta
4,Stevens County,Chelan County,0,0,Delta
4,Thurston County,Chelan County,0,0,Delta
4,Wahkiakum County,Chelan County,0,0,Delta
4,Walla Walla County,Chelan County,0,0,Delta
4,Whatcom County,Chelan County,6,0.39234685094557703,Delta
4,Whitman County,Chelan County,0,0,Delta
4,Yakima County,Chelan County,4,0.9154759855396799,Delta
4,Adams County,Grant County,4,40.90769230769231,Delta
4,Benton County,Grant County,1,1.0386718750000001,Delta
4,Chelan County,Grant County,3,5.389864864864865,Delta
4,Clallam County,Grant County,1,1.0226923076923078,Delta
4,Clark County,Grant County,0,0,Delta
4,Cowlitz County,Grant County,0,0,Delta
4,Douglas County,Grant County,1,3.091860465116279,Delta
4,Ferry County,Grant County,0,0,Delta
4,Franklin County,Grant County,2,3.853623188405797,Delta
4,Grant County,Grant County,2,6.6475,Delta
4,Grays Harbor County,Grant County,0,0,Delta
4,Island County,Grant County,0,0,Delta
4,Jefferson County,Grant County,0,0,Delta
4,King County,Grant County,4,0.3099067599067599,Delta
4,Kitsap County,Grant County,0,0,Delta
4,Kittitas County,Grant County,4,6.7316455696202535,Delta
4,Klickitat County,Grant County,0,0,Delta
4,Lewis County,Grant County,0,0,Delta
4,Mason County,Grant County,0,0,Delta
4,Okanogan County,Grant County,0,0,Delta
4,Pacific County,Grant County,0,0,Delta
4,Pierce County,Grant County,0,0,Delta
4,Skagit County,Grant County,1,0.49794007490636705,Delta
4,Skamania County,Grant County,2,132.95000000000002,Delta
4,Snohomish County,Grant County,0,0,Delta
4,Spokane County,Grant County,0,0,Delta
4,Stevens County,Grant County,0,0,Delta
4,Thurston County,Grant County,0,0,Delta
4,Wahkiakum County,Grant County,0,0,Delta
4,Walla Walla County,Grant County,4,11.314893617021276,Delta
4,Whatcom County,Grant County,3,0.3629208371246588,Delta
4,Whitman County,Grant County,0,0,Delta
4,Yakima County,Grant County,8,3.3872611464968156,Delta
4,Adams County,Kittitas County,3,15.534566699123664,Delta
4,Benton County,Kittitas County,2,1.0518196202531644,Delta
4,Chelan County,Kittitas County,3,2.7290455011973997,Delta
4,Clallam County,Kittitas County,1,0.5178188899707887,Delta
4,Clark County,Kittitas County,0,0,Delta
4,Cowlitz County,Kittitas County,0,0,Delta
4,Douglas County,Kittitas County,0,0,Delta
4,Ferry County,Kittitas County,0,0,Delta
4,Franklin County,Kittitas County,3,2.926802421574023,Delta
4,Grant County,Kittitas County,4,6.7316455696202535,Delta
4,Grays Harbor County,Kittitas County,0,0,Delta
4,Island County,Kittitas County,0,0,Delta
4,Jefferson County,Kittitas County,0,0,Delta
4,King County,Kittitas County,44,1.7260629665692957,Delta
4,Kitsap County,Kittitas County,0,0,Delta
4,Kittitas County,Kittitas County,0,0,Delta
4,Klickitat County,Kittitas County,0,0,Delta
4,Lewis County,Kittitas County,2,1.3738052182898475,Delta
4,Mason County,Kittitas County,0,0,Delta
4,Okanogan County,Kittitas County,0,0,Delta
4,Pacific County,Kittitas County,0,0,Delta
4,Pierce County,Kittitas County,0,0,Delta
4,Skagit County,Kittitas County,1,0.25212155691461624,Delta
4,Skamania County,Kittitas County,0,0,Delta
4,Snohomish County,Kittitas County,4,0.5828264562441777,Delta
4,Spokane County,Kittitas County,4,2.9589650855473644,Delta
4,Stevens County,Kittitas County,0,0,Delta
4,Thurston County,Kittitas County,0,0,Delta
4,Wahkiakum County,Kittitas County,0,0,Delta
4,Walla Walla County,Kittitas County,1,1.4322650148128198,Delta
4,Whatcom County,Kittitas County,4,0.24500984784787094,Delta
4,Whitman County,Kittitas County,0,0,Delta
4,Yakima County,Kittitas County,3,0.6431508506006611,Delta
