n_mutations,group_1,group_2,n_pairs,RR,variant
3,Adams County,Adams County,6,23.629191321499015,Delta
3,Benton County,Adams County,1,1.6339334424440806,Delta
3,Chelan County,Adams County,5,13.016079965232507,Delta
3,Clallam County,Adams County,0,0,Delta
3,Clark County,Adams County,0,0,Delta
3,Cowlitz County,Adams County,0,0,Delta
3,Douglas County,Adams County,5,19.690992767915844,Delta
3,Ferry County,Adams County,0,0,Delta
3,Franklin County,Adams County,0,0,Delta
3,Grant County,Adams County,19,41.101480678945464,Delta
3,Grays Harbor County,Adams County,0,0,Delta
3,Island County,Adams County,0,0,Delta
3,Jefferson County,Adams County,0,0,Delta
3,King County,Adams County,0,0,Delta
3,Kitsap County,Adams County,0,0,Delta
3,Kittitas County,Adams County,0,0,Delta
3,Klickitat County,Adams County,0,0,Delta
3,Lewis County,Adams County,0,0,Delta
3,Lincoln County,Adams County,0,0,Delta
3,Mason County,Adams County,0,0,Delta
3,Okanogan County,Adams County,1,9.599358974358974,Delta
3,Pacific County,Adams County,0,0,Delta
3,Pierce County,Adams County,0,0,Delta
3,Skagit County,Adams County,0,0,Delta
3,Snohomish County,Adams County,0,0,Delta
3,Spokane County,Adams County,0,0,Delta
3,Stevens County,Adams County,0,0,Delta
3,Thurston County,Adams County,0,0,Delta
3,Wahkiakum County,Adams County,0,0,Delta
3,Walla Walla County,Adams County,2,7.492182614133833,Delta
3,Whatcom County,Adams County,0,0,Delta
3,Whitman County,Adams County,0,0,Delta
3,Yakima County,Adams County,0,0,Delta
3,Adams County,Benton County,1,1.6339334424440806,Delta
3,Benton County,Benton County,8,5.423268447261204,Delta
3,Chelan County,Benton County,0,0,Delta
3,Clallam County,Benton County,0,0,Delta
3,Clark County,Benton County,0,0,Delta
3,Cowlitz County,Benton County,1,1.4160756501182035,Delta
3,Douglas County,Benton County,2,3.267866884888161,Delta
3,Ferry County,Benton County,0,0,Delta
3,Franklin County,Benton County,11,12.74468085106383,Delta
3,Grant County,Benton County,1,0.8975127359904106,Delta
3,Grays Harbor County,Benton County,0,0,Delta
3,Island County,Benton County,1,1.385291396854764,Delta
3,Jefferson County,Benton County,0,0,Delta
3,King County,Benton County,19,0.6244170607793006,Delta
3,Kitsap County,Benton County,0,0,Delta
3,Kittitas County,Benton County,0,0,Delta
3,Klickitat County,Benton County,0,0,Delta
3,Lewis County,Benton County,2,1.1481694460417864,Delta
3,Lincoln County,Benton County,0,0,Delta
3,Mason County,Benton County,0,0,Delta
3,Okanogan County,Benton County,2,7.965425531914893,Delta
3,Pacific County,Benton County,0,0,Delta
3,Pierce County,Benton County,1,0.16637964557524582,Delta
3,Skagit County,Benton County,4,0.8611270845313399,Delta
3,Snohomish County,Benton County,9,1.0699825341378215,Delta
