n_mutations,group_1,group_2,n_pairs,RR,variant
2,Adams County,Adams County,4,20.39444850255661,Delta
2,Asotin County,Adams County,0,0,Delta
2,Benton County,Adams County,2,3.971550497866287,Delta
2,Chelan County,Adams County,3,8.706860706860708,Delta
2,Clallam County,Adams County,0,0,Delta
2,Clark County,Adams County,0,0,Delta
2,Cowlitz County,Adams County,0,0,Delta
2,Douglas County,Adams County,6,56.5945945945946,Delta
2,Franklin County,Adams County,0,0,Delta
2,Grant County,Adams County,10,25.153153153153152,Delta
2,Grays Harbor County,Adams County,0,0,Delta
2,Island County,Adams County,0,0,Delta
2,Jefferson County,Adams County,0,0,Delta
2,King County,Adams County,0,0,Delta
2,Kitsap County,Adams County,0,0,Delta
2,Kittitas County,Adams County,6,4.921269095182138,Delta
2,Klickitat County,Adams County,0,0,Delta
2,Lewis County,Adams County,0,0,Delta
2,Mason County,Adams County,0,0,Delta
2,Okanogan County,Adams County,0,0,Delta
2,Pacific County,Adams County,0,0,Delta
2,Pend Oreille County,Adams County,0,0,Delta
2,Pierce County,Adams County,0,0,Delta
2,Skagit County,Adams County,0,0,Delta
2,Snohomish County,Adams County,0,0,Delta
2,Spokane County,Adams County,1,1.8494965553789084,Delta
2,Stevens County,Adams County,0,0,Delta
2,Thurston County,Adams County,0,0,Delta
2,Wahkiakum County,Adams County,0,0,Delta
2,Walla Walla County,Adams County,3,15.295836376917457,Delta
2,Whatcom County,Adams County,0,0,Delta
2,Whitman County,Adams County,0,0,Delta
2,Yakima County,Adams County,2,0.9649547245455176,Delta
2,Adams County,Benton County,2,3.971550497866288,Delta
2,Asotin County,Benton County,0,0,Delta
2,Benton County,Benton County,22,17.014958448753465,Delta
2,Chelan County,Benton County,0,0,Delta
2,Clallam County,Benton County,0,0,Delta
2,Clark County,Benton County,0,0,Delta
2,Cowlitz County,Benton County,1,1.985775248933144,Delta
2,Douglas County,Benton County,0,0,Delta
2,Franklin County,Benton County,16,18.960950764006792,Delta
2,Grant County,Benton County,1,0.9796491228070177,Delta
2,Grays Harbor County,Benton County,0,0,Delta
2,Island County,Benton County,0,0,Delta
2,Jefferson County,Benton County,0,0,Delta
2,King County,Benton County,20,0.5388609036342231,Delta
2,Kitsap County,Benton County,0,0,Delta
2,Kittitas County,Benton County,0,0,Delta
2,Klickitat County,Benton County,1,4.898245614035087,Delta
2,Lewis County,Benton County,1,0.7133367399080225,Delta
2,Mason County,Benton County,0,0,Delta
2,Okanogan County,Benton County,1,2.226475279106858,Delta
2,Pacific County,Benton County,0,0,Delta
2,Pend Oreille County,Benton County,0,0,Delta
2,Pierce County,Benton County,4,0.725666016894087,Delta
2,Skagit County,Benton County,4,0.8255470136014192,Delta
2,Snohomish County,Benton County,5,0.7274622199062012,Delta
2,Spokane County,Benton County,12,8.643962848297214,Delta
2,Stevens County,Benton County,0,0,Delta
2,Thurston County,Benton County,0,0,Delta
2,Wahkiakum County,Benton County,0,0,Delta
