n_mutations,group_1,group_2,n_pairs,RR,variant
5,Adams County,Benton County,2,2.4754901960784315,Delta
5,Benton County,Benton County,8,2.0709983339741123,Delta
5,Chelan County,Benton County,4,1.8422252621979023,Delta
5,Clallam County,Benton County,1,0.23298731257208768,Delta
5,Clark County,Benton County,1,1.277672359266287,Delta
5,Cowlitz County,Benton County,1,1.1316526610644257,Delta
5,Douglas County,Benton County,1,0.7616892911010559,Delta
5,Ferry County,Benton County,0,0,Delta
5,Franklin County,Benton County,13,5.420020639834881,Delta
5,Grant County,Benton County,7,4.138132865086333,Delta
5,Grays Harbor County,Benton County,1,1.0423116615067078,Delta
5,Island County,Benton County,0,0,Delta
5,Jefferson County,Benton County,0,0,Delta
5,King County,Benton County,49,1.059380083911294,Delta
5,Kitsap County,Benton County,1,1.6503267973856208,Delta
5,Kittitas County,Benton County,0,0,Delta
5,Klickitat County,Benton County,1,13.202614379084967,Delta
5,Lewis County,Benton County,0,0,Delta
5,Mason County,Benton County,0,0,Delta
5,Okanogan County,Benton County,2,13.202614379084967,Delta
5,Pacific County,Benton County,0,0,Delta
5,Pend Oreille County,Benton County,0,0,Delta
5,Pierce County,Benton County,6,0.6638186000657247,Delta
5,Skagit County,Benton County,7,0.6202570513664079,Delta
5,Snohomish County,Benton County,10,0.9126231137616337,Delta
5,Spokane County,Benton County,3,0.6320400500625782,Delta
5,Stevens County,Benton County,0,0,Delta
5,Thurston County,Benton County,2,0.7921568627450981,Delta
5,Wahkiakum County,Benton County,0,0,Delta
5,Walla Walla County,Benton County,3,2.424969987995198,Delta
5,Whatcom County,Benton County,11,0.35888490486804275,Delta
5,Whitman County,Benton County,0,0,Delta
5,Yakima County,Benton County,19,2.3966529286873985,Delta
5,Adams County,Chelan County,3,6.6061046511627906,Delta
5,Benton County,Chelan County,4,1.8422252621979025,Delta
5,Chelan County,Chelan County,24,19.664683612763657,Delta
5,Clallam County,Chelan County,1,0.41450068399452805,Delta
5,Clark County,Chelan County,0,0,Delta
5,Cowlitz County,Chelan County,0,0,Delta
5,Douglas County,Chelan County,7,9.485688729874775,Delta
5,Ferry County,Chelan County,1,17.61627906976744,Delta
5,Franklin County,Chelan County,0,0,Delta
5,Grant County,Chelan County,1,1.0517181534189517,Delta
5,Grays Harbor County,Chelan County,4,7.417380660954712,Delta
5,Island County,Chelan County,0,0,Delta
5,Jefferson County,Chelan County,0,0,Delta
5,King County,Chelan County,13,0.5000253884431807,Delta
5,Kitsap County,Chelan County,2,5.872093023255814,Delta
5,Kittitas County,Chelan County,1,0.9652755654667091,Delta
5,Klickitat County,Chelan County,0,0,Delta
5,Lewis County,Chelan County,0,0,Delta
5,Mason County,Chelan County,0,0,Delta
5,Okanogan County,Chelan County,0,0,Delta
5,Pacific County,Chelan County,0,0,Delta
5,Pend Oreille County,Chelan County,0,0,Delta
5,Pierce County,Chelan County,4,0.7873197349616734,Delta
5,Skagit County,Chelan County,2,0.3152801623224598,Delta
5,Snohomish County,Chelan County,1,0.16236201907619763,Delta
5,Spokane County,Chelan County,1,0.37481444829292426,Delta
5,Stevens County,Chelan County,0,0,Delta
5,Thurston County,Chelan County,0,0,Delta
5,Wahkiakum County,Chelan County,0,0,Delta
5,Walla Walla County,Chelan County,0,0,Delta
5,Whatcom County,Chelan County,14,0.8126125435807057,Delta
5,Whitman County,Chelan County,0,0,Delta
5,Yakima County,Chelan County,3,0.6732335950229595,Delta
5,Adams County,Franklin County,5,9.967105263157894,Delta
5,Benton County,Franklin County,13,5.420020639834881,Delta
5,Chelan County,Franklin County,0,0,Delta
5,Clallam County,Franklin County,2,0.7504643962848297,Delta
5,Clark County,Franklin County,1,2.0577249575551786,Delta
5,Cowlitz County,Franklin County,1,1.8225563909774436,Delta
5,Douglas County,Franklin County,0,0,Delta
5,Ferry County,Franklin County,0,0,Delta
5,Franklin County,Franklin County,2,1.3429362880886426,Delta
5,Grant County,Franklin County,7,6.664571877454831,Delta
5,Grays Harbor County,Franklin County,0,0,Delta
5,Island County,Franklin County,0,0,Delta
5,Jefferson County,Franklin County,0,0,Delta
5,King County,Franklin County,21,0.731211215812457,Delta
5,Kitsap County,Franklin County,0,0,Delta
5,Kittitas County,Franklin County,0,0,Delta
5,Klickitat County,Franklin County,0,0,Delta
5,Lewis County,Franklin County,0,0,Delta
5,Mason County,Franklin County,0,0,Delta
5,Okanogan County,Franklin County,0,0,Delta
5,Pacific County,Franklin County,1,2.453441295546559,Delta
5,Pend Oreille County,Franklin County,0,0,Delta
5,Pierce County,Franklin County,4,0.7127315495442517,Delta
5,Skagit County,Franklin County,4,0.5708230307311903,Delta
5,Snohomish County,Franklin County,3,0.4409410623332525,Delta
5,Spokane County,Franklin County,7,2.3751399776035833,Delta
5,Stevens County,Franklin County,0,0,Delta
5,Thurston County,Franklin County,0,0,Delta
5,Wahkiakum County,Franklin County,0,0,Delta
5,Walla Walla County,Franklin County,0,0,Delta
5,Whatcom County,Franklin County,3,0.15763461371715945,Delta
5,Whitman County,Franklin County,0,0,Delta
5,Yakima County,Franklin County,21,4.266174991619176,Delta
5,Adams County,Grant County,3,8.479477611940299,Delta
5,Benton County,Grant County,7,4.138132865086333,Delta
5,Chelan County,Grant County,1,1.0517181534189517,Delta
5,Clallam County,Grant County,0,0,Delta
5,Clark County,Grant County,0,0,Delta
5,Cowlitz County,Grant County,0,0,Delta
5,Douglas County,Grant County,4,6.95752009184845,Delta
5,Ferry County,Grant County,0,0,Delta
5,Franklin County,Grant County,7,6.664571877454831,Delta
5,Grant County,Grant County,4,5.39986633994208,Delta
5,Grays Harbor County,Grant County,0,0,Delta
5,Island County,Grant County,0,0,Delta
5,Jefferson County,Grant County,0,0,Delta
5,King County,Grant County,13,0.6418236329270678,Delta
5,Kitsap County,Grant County,1,3.7686567164179103,Delta
5,Kittitas County,Grant County,2,2.478020854630955,Delta
5,Klickitat County,Grant County,0,0,Delta
5,Lewis County,Grant County,0,0,Delta
5,Mason County,Grant County,0,0,Delta
5,Okanogan County,Grant County,0,0,Delta
5,Pacific County,Grant County,0,0,Delta
5,Pend Oreille County,Grant County,0,0,Delta
5,Pierce County,Grant County,2,0.5052947552739098,Delta
5,Skagit County,Grant County,2,0.404687969548232,Delta
5,Snohomish County,Grant County,2,0.4168099594194924,Delta
5,Spokane County,Grant County,2,0.9622102254684027,Delta
5,Stevens County,Grant County,0,0,Delta
5,Thurston County,Grant County,0,0,Delta
5,Wahkiakum County,Grant County,0,0,Delta
5,Walla Walla County,Grant County,5,9.229363387145902,Delta
5,Whatcom County,Grant County,1,0.07450392190612014,Delta
5,Whitman County,Grant County,0,0,Delta
5,Yakima County,Grant County,11,3.1685521437398987,Delta
5,Adams County,Kittitas County,2,5.188356164383562,Delta
5,Benton County,Kittitas County,0,0,Delta
5,Chelan County,Kittitas County,1,0.9652755654667091,Delta
