n_mutations,group_1,group_2,n_pairs,RR,variant
9,Stevens County,Clallam County,1,0.36517533252720674,Delta
9,Thurston County,Clallam County,37,2.081958735445993,Delta
9,Wahkiakum County,Clallam County,0,0,Delta
9,Walla Walla County,Clallam County,5,0.3815264668194698,Delta
9,Whatcom County,Clallam County,63,0.7596335926627272,Delta
9,Whitman County,Clallam County,5,0.7848066356944355,Delta
9,Yakima County,Clallam County,34,0.869117291414752,Delta
9,Adams County,Cowlitz County,6,4.245284372086352,Delta
9,Asotin County,Cowlitz County,0,0,Delta
9,Benton County,Cowlitz County,1,0.19891255401945035,Delta
9,Chelan County,Cowlitz County,3,0.8001009272692866,Delta
9,Clallam County,Cowlitz County,9,1.6863070329266825,Delta
9,Clark County,Cowlitz County,3,1.5191458782465865,Delta
9,Cowlitz County,Cowlitz County,0,0,Delta
9,Douglas County,Cowlitz County,2,0.9035153328347045,Delta
9,Ferry County,Cowlitz County,0,0,Delta
9,Franklin County,Cowlitz County,0,0,Delta
9,Garfield County,Cowlitz County,0,0,Delta
9,Grant County,Cowlitz County,4,1.5266293554793284,Delta
9,Grays Harbor County,Cowlitz County,0,0,Delta
9,Island County,Cowlitz County,0,0,Delta
9,Jefferson County,Cowlitz County,1,1.936910994764398,Delta
9,King County,Cowlitz County,49,0.7806591712396094,Delta
9,Kitsap County,Cowlitz County,2,1.8782167221957797,Delta
9,Kittitas County,Cowlitz County,1,0.48574570401614997,Delta
9,Klickitat County,Cowlitz County,0,0,Delta
9,Lewis County,Cowlitz County,0,0,Delta
9,Lincoln County,Cowlitz County,0,0,Delta
9,Mason County,Cowlitz County,0,0,Delta
9,Okanogan County,Cowlitz County,2,3.922857710915236,Delta
9,Pacific County,Cowlitz County,0,0,Delta
9,Pend Oreille County,Cowlitz County,0,0,Delta
9,Pierce County,Cowlitz County,10,0.71242703255702,Delta
9,Skagit County,Cowlitz County,16,2.165280413361074,Delta
9,Snohomish County,Cowlitz County,11,0.6982718866827816,Delta
9,Spokane County,Cowlitz County,12,0.9874851593063314,Delta
9,Stevens County,Cowlitz County,0,0,Delta
9,Thurston County,Cowlitz County,0,0,Delta
9,Wahkiakum County,Cowlitz County,0,0,Delta
9,Walla Walla County,Cowlitz County,3,0.9911698054231461,Delta
9,Whatcom County,Cowlitz County,51,2.6626000197569892,Delta
9,Whitman County,Cowlitz County,0,0,Delta
9,Yakima County,Cowlitz County,5,0.5534031413612566,Delta
9,Adams County,Ferry County,2,4.35940491972308,Delta
9,Asotin County,Ferry County,0,0,Delta
9,Benton County,Ferry County,2,1.2255579941198391,Delta
9,Chelan County,Ferry County,2,1.6432180334240187,Delta
9,Clallam County,Ferry County,0,0,Delta
9,Clark County,Ferry County,1,1.5599831330381615,Delta
9,Cowlitz County,Ferry County,0,0,Delta
9,Douglas County,Ferry County,0,0,Delta
9,Ferry County,Ferry County,0,0,Delta
9,Franklin County,Ferry County,2,2.9285572926974077,Delta
9,Garfield County,Ferry County,0,0,Delta
9,Grant County,Ferry County,5,5.878754171301447,Delta
9,Grays Harbor County,Ferry County,0,0,Delta
9,Island County,Ferry County,0,0,Delta
9,Jefferson County,Ferry County,0,0,Delta
9,King County,Ferry County,18,0.8834451055700384,Delta
9,Kitsap County,Ferry County,2,5.786119257086999,Delta
9,Kittitas County,Ferry County,0,0,Delta
9,Klickitat County,Ferry County,0,0,Delta
9,Lewis County,Ferry County,0,0,Delta
9,Lincoln County,Ferry County,0,0,Delta
9,Mason County,Ferry County,0,0,Delta
9,Okanogan County,Ferry County,0,0,Delta
9,Pacific County,Ferry County,0,0,Delta
9,Pend Oreille County,Ferry County,0,0,Delta
9,Pierce County,Ferry County,3,0.6584204671857619,Delta
9,Skagit County,Ferry County,1,0.41690378926609384,Delta
9,Snohomish County,Ferry County,5,0.9777854131701708,Delta
9,Spokane County,Ferry County,7,1.7745533037534476,Delta
9,Stevens County,Ferry County,0,0,Delta
9,Thurston County,Ferry County,0,0,Delta
9,Wahkiakum County,Ferry County,1,11.933870967741935,Delta
9,Walla Walla County,Ferry County,2,2.0356283100625903,Delta
9,Whatcom County,Ferry County,1,0.16083384053560562,Delta
9,Whitman County,Ferry County,0,0,Delta
9,Yakima County,Ferry County,8,2.727741935483871,Delta
9,Adams County,Grant County,1,0.33286096677688554,Delta
9,Asotin County,Grant County,0,0,Delta
9,Benton County,Grant County,14,1.3100792350936215,Delta
9,Chelan County,Grant County,17,2.1329455754050684,Delta
9,Clallam County,Grant County,11,0.9696034691239628,Delta
9,Clark County,Grant County,2,0.4764480504845616,Delta
9,Cowlitz County,Grant County,4,1.5266293554793284,Delta
9,Douglas County,Grant County,16,3.4004222378606617,Delta
9,Ferry County,Grant County,5,5.878754171301446,Delta
9,Franklin County,Grant County,3,0.6708271631055638,Delta
9,Garfield County,Grant County,0,0,Delta
9,Grant County,Grant County,10,1.7954815695600477,Delta
9,Grays Harbor County,Grant County,5,2.1956792687993354,Delta
9,Island County,Grant County,0,0,Delta
9,Jefferson County,Grant County,2,1.8224137931034485,Delta
9,King County,Grant County,117,0.8769171860707525,Delta
9,Kitsap County,Grant County,2,0.8835945663531871,Delta
9,Kittitas County,Grant County,4,0.914063344503297,Delta
9,Klickitat County,Grant County,0,0,Delta
9,Lewis County,Grant County,11,0.7370055780933064,Delta
9,Lincoln County,Grant County,0,0,Delta
9,Mason County,Grant County,1,1.0267119961146187,Delta
9,Okanogan County,Grant County,3,2.7682234831951114,Delta
9,Pacific County,Grant County,1,0.6942528735632184,Delta
9,Pend Oreille County,Grant County,0,0,Delta
9,Pierce County,Grant County,30,1.0054696789536266,Delta
9,Skagit County,Grant County,17,1.0823068814937509,Delta
9,Snohomish County,Grant County,41,1.2243992710731892,Delta
9,Spokane County,Grant County,24,0.9291116523522626,Delta
9,Stevens County,Grant County,1,0.7438423645320197,Delta
9,Thurston County,Grant County,4,0.4584688787681631,Delta
9,Wahkiakum County,Grant County,1,1.8224137931034485,Delta
9,Walla Walla County,Grant County,12,1.86515697375193,Delta
9,Whatcom County,Grant County,32,0.785946649316851,Delta
9,Whitman County,Grant County,4,1.278886872353297,Delta
9,Yakima County,Grant County,11,0.5727586206896552,Delta
9,Adams County,Grays Harbor County,6,4.884634428123452,Delta
9,Asotin County,Grays Harbor County,0,0,Delta
9,Benton County,Grays Harbor County,4,0.9154770558485545,Delta
9,Chelan County,Grays Harbor County,4,1.2274640731601103,Delta
9,Clallam County,Grays Harbor County,4,0.8623417491003919,Delta
9,Clark County,Grays Harbor County,2,1.1652886054020002,Delta
9,Cowlitz County,Grays Harbor County,0,0,Delta
9,Douglas County,Grays Harbor County,1,0.5197934595524957,Delta
9,Ferry County,Grays Harbor County,0,0,Delta
9,Franklin County,Grays Harbor County,3,1.64069776036662,Delta
9,Garfield County,Grays Harbor County,0,0,Delta
9,Grant County,Grays Harbor County,5,2.1956792687993354,Delta
9,Grays Harbor County,Grays Harbor County,0,0,Delta
9,Island County,Grays Harbor County,1,0.9334510818141677,Delta
9,Jefferson County,Grays Harbor County,0,0,Delta
9,King County,Grays Harbor County,44,0.8065723721536361,Delta
9,Kitsap County,Grays Harbor County,2,2.161080686381891,Delta
9,Kittitas County,Grays Harbor County,1,0.558900177512558,Delta
9,Klickitat County,Grays Harbor County,0,0,Delta
9,Lewis County,Grays Harbor County,7,1.147080970942594,Delta
9,Lincoln County,Grays Harbor County,0,0,Delta
9,Mason County,Grays Harbor County,1,2.5111148820634654,Delta
9,Okanogan County,Grays Harbor County,2,4.513649534848254,Delta
9,Pacific County,Grays Harbor County,0,0,Delta
9,Pend Oreille County,Grays Harbor County,0,0,Delta
9,Pierce County,Grays Harbor County,11,0.901692286386927,Delta
9,Skagit County,Grays Harbor County,6,0.9342663229336561,Delta
9,Snohomish County,Grays Harbor County,18,1.3147090615637478,Delta
9,Spokane County,Grays Harbor County,25,2.3670891745420346,Delta
9,Stevens County,Grays Harbor County,0,0,Delta
9,Thurston County,Grays Harbor County,2,0.560657725240585,Delta
9,Wahkiakum County,Grays Harbor County,0,0,Delta
9,Walla Walla County,Grays Harbor County,2,0.7602949109872326,Delta
9,Whatcom County,Grays Harbor County,10,0.6007047056149125,Delta
9,Whitman County,Grays Harbor County,2,1.5639399704079475,Delta
9,Yakima County,Grays Harbor County,3,0.38204819277108437,Delta
9,Adams County,King County,96,1.3339079828393883,Delta
9,Asotin County,King County,4,0.5532686519731554,Delta
9,Benton County,King County,280,1.0937531759161223,Delta
9,Chelan County,King County,190,0.9951217578518888,Delta
9,Clallam County,King County,256,0.941961622706412,Delta
9,Clark County,King County,99,0.984492748363997,Delta
9,Cowlitz County,King County,49,0.7806591712396093,Delta
9,Douglas County,King County,105,0.931523750771129,Delta
9,Ferry County,King County,18,0.8834451055700384,Delta
9,Franklin County,King County,105,0.9801001426825068,Delta
9,Garfield County,King County,0,0,Delta
9,Grant County,King County,117,0.8769171860707524,Delta
9,Grays Harbor County,King County,44,0.8065723721536362,Delta
9,Island County,King County,68,1.083363747842723,Delta
9,Jefferson County,King County,24,0.9128932757557063,Delta
9,King County,King County,3330,1.0418584578334713,Delta
9,Kitsap County,King County,52,0.9589989967534693,Delta
9,Kittitas County,King County,87,0.829902977959733,Delta
9,Klickitat County,King County,4,1.3524344826010464,Delta
9,Lewis County,King County,321,0.8977902620023951,Delta
9,Lincoln County,King County,2,3.0429775858523542,Delta
9,Mason County,King County,31,1.3286240163580703,Delta
9,Okanogan County,King County,25,0.9629675904596059,Delta
9,Pacific County,King County,24,0.6955377339091096,Delta
9,Pend Oreille County,King County,17,1.077721228322709,Delta
