"county_origin","county_destination","n_scaled_visits_county"
"Chelan County","Lincoln County",15830.4593607087
"Chelan County","Mason County",8422.97440048174
"Chelan County","Okanogan County",545427.792189457
"Chelan County","Pacific County",16597.358075414
"Chelan County","Pend Oreille County",1971.63034362175
"Chelan County","Pierce County",216722.397218015
"Chelan County","San Juan County",14574.8605952219
"Chelan County","Skagit County",65329.0497365907
"Chelan County","Skamania County",332.186461373181
"Chelan County","Snohomish County",630081.666976471
"Chelan County","Spokane County",432270.590884327
"Chelan County","Stevens County",10786.9132608013
"Chelan County","Thurston County",64841.7481958048
"Chelan County","Wahkiakum County",834.272392638037
"Chelan County","Walla Walla County",21638.9805272702
"Chelan County","Whatcom County",112593.895317061
"Chelan County","Whitman County",47061.8199041219
"Chelan County","Yakima County",321013.563901622
"Clallam County","Adams County",9226.02800749921
"Clallam County","Asotin County",1724.56286383676
"Clallam County","Benton County",27628.9094850088
"Clallam County","Chelan County",59182.7339783377
"Clallam County","Clallam County",39896276.2490657
"Clallam County","Clark County",56292.2396808904
"Clallam County","Columbia County",1274.96721752757
"Clallam County","Cowlitz County",56227.01100065
"Clallam County","Douglas County",10105.2734376269
"Clallam County","Ferry County",1311.09906524899
"Clallam County","Franklin County",5172.28472348681
"Clallam County","Garfield County",125.352112676056
"Clallam County","Grant County",29825.7272521226
"Clallam County","Grays Harbor County",168894.97447985
"Clallam County","Island County",84341.113093383
"Clallam County","Jefferson County",734705.915222619
"Clallam County","King County",1898939.49373376
"Clallam County","Kitsap County",1964073.3665523
"Clallam County","Kittitas County",88195.7733803232
"Clallam County","Klickitat County",4364.57434866507
"Clallam County","Lewis County",89567.7096349259
"Clallam County","Lincoln County",4531.02276021619
"Clallam County","Mason County",106338.191228367
"Clallam County","Okanogan County",22427.9327595006
"Clallam County","Pacific County",21405.7333272528
"Clallam County","Pend Oreille County",2298.1225434191
"Clallam County","Pierce County",537566.686905126
"Clallam County","San Juan County",10147.6596391083
"Clallam County","Skagit County",87089.4234432875
"Clallam County","Skamania County",1827.50194220541
"Clallam County","Snohomish County",436824.01523185
"Clallam County","Spokane County",80505.0906040645
"Clallam County","Stevens County",4948.50037116556
"Clallam County","Thurston County",207233.302969846
"Clallam County","Wahkiakum County",1492.00474885578
"Clallam County","Walla Walla County",12131.8180941779
"Clallam County","Whatcom County",127793.41263238
"Clallam County","Whitman County",20581.6136605927
"Clallam County","Yakima County",44838.6306130169
"Clark County","Adams County",77578.3319853216
"Clark County","Asotin County",23750.4227143345
"Clark County","Benton County",503475.783738863
"Clark County","Chelan County",294025.135933394
"Clark County","Clallam County",148440.167958029
"Clark County","Clark County",299956131.971427
"Clark County","Columbia County",6055.07503464421
"Clark County","Cowlitz County",6761482.7851258
"Clark County","Douglas County",39679.1174861147
"Clark County","Ferry County",7679.67431789526
"Clark County","Franklin County",170733.195869417
"Clark County","Garfield County",1402.2062592285
"Clark County","Grant County",119193.057549407
"Clark County","Grays Harbor County",237233.865022757
"Clark County","Island County",51556.1719424649
"Clark County","Jefferson County",56453.8418983949
"Clark County","King County",4104250.73039508
"Clark County","Kitsap County",196937.768392567
"Clark County","Kittitas County",180726.605383624
"Clark County","Klickitat County",236197.454883638
"Clark County","Lewis County",1026088.09370689
"Clark County","Lincoln County",16826.2173593705
"Clark County","Mason County",103831.09418674
"Clark County","Okanogan County",33535.9994604896
"Clark County","Pacific County",988412.104932705
"Clark County","Pend Oreille County",4297.43824149099
"Clark County","Pierce County",1201535.51526779
"Clark County","San Juan County",54490.7833080734
"Clark County","Skagit County",154847.492785469
"Clark County","Skamania County",394732.014361146
"Clark County","Snohomish County",563263.152605063
"Clark County","Spokane County",623806.753385712
"Clark County","Stevens County",19393.8509211535
"Clark County","Thurston County",889593.084785235
"Clark County","Wahkiakum County",45951.732273351
"Clark County","Walla Walla County",140777.022162317
"Clark County","Whatcom County",368813.467848835
"Clark County","Whitman County",228603.818051464
"Clark County","Yakima County",412780.950015107
"Columbia County","Adams County",4449.95228955135
"Columbia County","Asotin County",48504.9622354561
"Columbia County","Benton County",114300.535982958
"Columbia County","Chelan County",3961.96687001296
"Columbia County","Clallam County",1441.77877250797
"Columbia County","Clark County",1575.82024567952
"Columbia County","Columbia County",738067.506184159
"Columbia County","Cowlitz County",743.103836086842
"Columbia County","Douglas County",2825.71736765551
"Columbia County","Franklin County",44063.5046064372
"Columbia County","Garfield County",13599.4051365966
"Columbia County","Grant County",8571.60602988282
"Columbia County","Grays Harbor County",1233.48775518609
"Columbia County","Island County",1394.32524593456
"Columbia County","Jefferson County",155.281927710843
"Columbia County","King County",37139.4386027018
"Columbia County","Kitsap County",684.059382031574
"Columbia County","Kittitas County",4891.10344910385
"Columbia County","Klickitat County",770.438736003291
"Columbia County","Lewis County",1190.56380516804
"Columbia County","Lincoln County",1015.4424100789
"Columbia County","Mason County",1183.35838746786
"Columbia County","Okanogan County",1707.90945613064
"Columbia County","Pacific County",822.29134818114
"Columbia County","Pierce County",4295.34638032477
"Columbia County","San Juan County",207.457227138643
"Columbia County","Skagit County",1812.91896962459
"Columbia County","Snohomish County",4561.13544235903
"Columbia County","Spokane County",66818.037335416
"Columbia County","Stevens County",1227.05483862244
"Columbia County","Thurston County",3079.70812711461
"Columbia County","Walla Walla County",941792.807787131
"Columbia County","Whatcom County",625.004234126507
"Columbia County","Whitman County",18834.6513841933
"Columbia County","Yakima County",10150.0249846627
"Cowlitz County","Adams County",21083.7840171304
"Cowlitz County","Asotin County",6582.40213424314
"Cowlitz County","Benton County",99012.2969743515
"Cowlitz County","Chelan County",105380.127278057
"Cowlitz County","Clallam County",60645.6167044461
"Cowlitz County","Clark County",9269525.62204872
"Cowlitz County","Columbia County",3735.17392705865
"Cowlitz County","Cowlitz County",61878164.6553731
"Cowlitz County","Douglas County",12158.94814061
"Cowlitz County","Ferry County",2568.59749775362
"Cowlitz County","Franklin County",40253.6235655661
"Cowlitz County","Garfield County",759.195234195234
"Cowlitz County","Grant County",61239.1182809777
"Cowlitz County","Grays Harbor County",159386.115567249
"Cowlitz County","Island County",15419.053190843
"Cowlitz County","Jefferson County",23773.802105534
"Cowlitz County","King County",954773.031402622
"Cowlitz County","Kitsap County",64360.3833607641
"Cowlitz County","Kittitas County",65406.1598151012
"Cowlitz County","Klickitat County",35156.1350855495
"Cowlitz County","Lewis County",1381563.43436253
"Cowlitz County","Lincoln County",6526.2006050419
"Cowlitz County","Mason County",61055.3678160696
"Cowlitz County","Okanogan County",22697.3879839995
"Cowlitz County","Pacific County",360065.147957153
"Cowlitz County","Pend Oreille County",1205.73918011487
"Cowlitz County","Pierce County",452797.43818255
"Cowlitz County","San Juan County",8379.96924097377
"Cowlitz County","Skagit County",41359.720123354
"Cowlitz County","Skamania County",31680.6049587063
"Cowlitz County","Snohomish County",170224.000136781
"Cowlitz County","Spokane County",166850.943486822
"Cowlitz County","Stevens County",15892.671174263
"Cowlitz County","Thurston County",618844.791771186
"Cowlitz County","Wahkiakum County",153901.866639552
"Cowlitz County","Walla Walla County",20872.8760242808
"Cowlitz County","Whatcom County",86648.5257036667
"Cowlitz County","Whitman County",57357.3209747823
"Cowlitz County","Yakima County",181638.325311436
"Douglas County","Adams County",39670.0389059884
"Douglas County","Asotin County",2246.49469313396
"Douglas County","Benton County",105561.345798075
"Douglas County","Chelan County",13028091.5007901
"Douglas County","Clallam County",12502.1000321381
"Douglas County","Clark County",16115.0304050797
"Douglas County","Columbia County",3473.19156044715
"Douglas County","Cowlitz County",11743.0948292474
"Douglas County","Douglas County",14461252.8976094
"Douglas County","Ferry County",8917.53434474777
"Douglas County","Franklin County",34902.1991597126
"Douglas County","Garfield County",286.993526732199
"Douglas County","Grant County",629515.123650996
"Douglas County","Grays Harbor County",22645.9944377579
"Douglas County","Island County",9769.49996274472
"Douglas County","Jefferson County",3854.29361286728
"Douglas County","King County",933598.388204573
"Douglas County","Kitsap County",22598.4004617489
"Douglas County","Kittitas County",203278.690501778
"Douglas County","Klickitat County",9272.98695045999
"Douglas County","Lewis County",9262.00580433225
"Douglas County","Lincoln County",18309.9353552724
"Douglas County","Mason County",2547.0777076937
"Douglas County","Okanogan County",822589.946797304
"Douglas County","Pacific County",4576.84850203442
"Douglas County","Pend Oreille County",2172.77714122043
"Douglas County","Pierce County",105398.199752941
"Douglas County","San Juan County",5351.37205971509
"Douglas County","Skagit County",32921.0997616592
"Douglas County","Skamania County",759.689402872395
"Douglas County","Snohomish County",269921.748538493
"Douglas County","Spokane County",309513.440566884
"Douglas County","Stevens County",12278.8190561122
"Douglas County","Thurston County",39176.5795166995
"Douglas County","Walla Walla County",22518.7014150497
"Douglas County","Whatcom County",36000.1449462519
"Douglas County","Whitman County",34955.4754840493
"Douglas County","Yakima County",206522.965739614
"Ferry County","Adams County",2397.4247077419
"Ferry County","Asotin County",554.595906493424
"Ferry County","Benton County",7474.21558709558
"Ferry County","Chelan County",32547.443879905
"Ferry County","Clallam County",1244.17017497237
"Ferry County","Clark County",3717.31739161569
"Ferry County","Columbia County",464.934690185436
"Ferry County","Cowlitz County",1040.07558000643
"Ferry County","Douglas County",11094.3210003809
"Ferry County","Ferry County",1256545.66912984
"Ferry County","Franklin County",3046.71410934374
"Ferry County","Grant County",38054.7751751067
"Ferry County","Grays Harbor County",6627.49567510276
"Ferry County","Island County",2291.56615679655
"Ferry County","Jefferson County",1272.97108847359
"Ferry County","King County",43200.5080116347
"Ferry County","Kitsap County",3800.07016652606
"Ferry County","Kittitas County",10461.5066256118
"Ferry County","Klickitat County",500.662813870375
"Ferry County","Lewis County",1682.69957475891
"Ferry County","Lincoln County",7969.02502304332
"Ferry County","Mason County",3117.45705285215
"Ferry County","Okanogan County",238849.341309034
"Ferry County","Pacific County",1871.14314524458
"Ferry County","Pend Oreille County",2104.19555148484
"Ferry County","Pierce County",23653.5091915238
"Ferry County","Skagit County",3839.19831423705
"Ferry County","Skamania County",744.047263660705
"Ferry County","Snohomish County",26930.3230098924
"Ferry County","Spokane County",341910.315728796
"Ferry County","Stevens County",842584.496173873
"Ferry County","Thurston County",5294.34073483715
