"county_origin","county_destination","n_scaled_visits_county"
"Chelan County","Mason County",4189.9392867766
"Chelan County","Okanogan County",313720.282954775
"Chelan County","Pacific County",11154.1143927313
"Chelan County","Pend Oreille County",841.423258200338
"Chelan County","Pierce County",128940.978548174
"Chelan County","San Juan County",6644.17481571776
"Chelan County","Skagit County",41272.5634960496
"Chelan County","Skamania County",230.434882425813
"Chelan County","Snohomish County",358722.42191532
"Chelan County","Spokane County",267448.596669081
"Chelan County","Stevens County",7149.22046490877
"Chelan County","Thurston County",40287.5792857473
"Chelan County","Wahkiakum County",448.8
"Chelan County","Walla Walla County",12051.0899331919
"Chelan County","Whatcom County",63600.4619151103
"Chelan County","Whitman County",34061.2777897632
"Chelan County","Yakima County",200583.69374091
"Clallam County","Adams County",6267.6562211956
"Clallam County","Asotin County",845.382379093244
"Clallam County","Benton County",15589.6161580124
"Clallam County","Chelan County",37148.5500222193
"Clallam County","Clallam County",22601937.6880608
"Clallam County","Clark County",30671.688021639
"Clallam County","Columbia County",470.284281518616
"Clallam County","Cowlitz County",32852.1713902944
"Clallam County","Douglas County",5295.73862603796
"Clallam County","Ferry County",1311.09906524899
"Clallam County","Franklin County",2890.46054367745
"Clallam County","Grant County",20609.8787102652
"Clallam County","Grays Harbor County",112090.618205183
"Clallam County","Island County",51681.9006670408
"Clallam County","Jefferson County",415755.224431172
"Clallam County","King County",1256534.76499645
"Clallam County","Kitsap County",1261532.7946117
"Clallam County","Kittitas County",58636.9379201792
"Clallam County","Klickitat County",2923.86307630082
"Clallam County","Lewis County",54538.4483537364
"Clallam County","Lincoln County",3138.89547654275
"Clallam County","Mason County",63458.5921274698
"Clallam County","Okanogan County",14128.4626724431
"Clallam County","Pacific County",14813.2691585361
"Clallam County","Pend Oreille County",1409.93807296237
"Clallam County","Pierce County",341620.788352171
"Clallam County","San Juan County",7076.08879515562
"Clallam County","Skagit County",55966.4558595158
"Clallam County","Skamania County",1382.41015647031
"Clallam County","Snohomish County",268391.652985455
"Clallam County","Spokane County",48240.1392716747
"Clallam County","Stevens County",1555.22078351872
"Clallam County","Thurston County",127904.018640635
"Clallam County","Wahkiakum County",616.309067801212
"Clallam County","Walla Walla County",6901.14359941136
"Clallam County","Whatcom County",75564.7592608896
"Clallam County","Whitman County",10156.7171234648
"Clallam County","Yakima County",31090.4896968429
"Clark County","Adams County",45081.8772179604
"Clark County","Asotin County",13962.7881087102
"Clark County","Benton County",318041.006312095
"Clark County","Chelan County",173266.860855619
"Clark County","Clallam County",93622.3786226019
"Clark County","Clark County",176282844.181875
"Clark County","Columbia County",3390.17664540801
"Clark County","Cowlitz County",3967520.04912848
"Clark County","Douglas County",24852.6581714133
"Clark County","Ferry County",5327.32030516402
"Clark County","Franklin County",103967.214293485
"Clark County","Garfield County",1001.60364768839
"Clark County","Grant County",72828.3054026446
"Clark County","Grays Harbor County",147098.523877817
"Clark County","Island County",31852.8837388375
"Clark County","Jefferson County",35277.5777963159
"Clark County","King County",2588808.16273855
"Clark County","Kitsap County",114921.029314876
"Clark County","Kittitas County",114338.92504999
"Clark County","Klickitat County",147593.234906853
"Clark County","Lewis County",642440.492835955
"Clark County","Lincoln County",11217.7316843685
"Clark County","Mason County",58996.0105863394
"Clark County","Okanogan County",17021.8020542967
"Clark County","Pacific County",597658.371649148
"Clark County","Pend Oreille County",1321.89245435818
"Clark County","Pierce County",732551.722288439
"Clark County","San Juan County",36222.9081323883
"Clark County","Skagit County",100925.88675084
"Clark County","Skamania County",234282.317679203
"Clark County","Snohomish County",358958.817760645
"Clark County","Spokane County",354223.063054711
"Clark County","Stevens County",10263.863008419
"Clark County","Thurston County",555921.014081388
"Clark County","Wahkiakum County",28667.1198214646
"Clark County","Walla Walla County",88522.3698562557
"Clark County","Whatcom County",229497.107048059
"Clark County","Whitman County",144989.537818373
"Clark County","Yakima County",242583.318061319
"Columbia County","Adams County",2939.32624950006
"Columbia County","Asotin County",24022.5026508371
"Columbia County","Benton County",58096.8192807285
"Columbia County","Chelan County",1590.62911608771
"Columbia County","Clallam County",120.172494172494
"Columbia County","Clark County",1059.92140501818
"Columbia County","Columbia County",420059.46134533
"Columbia County","Cowlitz County",380.534270402088
"Columbia County","Douglas County",1236.21254490556
"Columbia County","Franklin County",23437.6336872904
"Columbia County","Garfield County",6314.19491791313
"Columbia County","Grant County",4933.45378187836
"Columbia County","Grays Harbor County",1035.95880781767
"Columbia County","Island County",1170.92980835522
"Columbia County","King County",24931.122844983
"Columbia County","Kitsap County",611.068053134619
"Columbia County","Kittitas County",2715.83868533391
"Columbia County","Lewis County",995.302561611109
"Columbia County","Lincoln County",929.646331647525
"Columbia County","Mason County",1096.36425066004
"Columbia County","Okanogan County",919.557853017738
"Columbia County","Pacific County",822.29134818114
"Columbia County","Pierce County",1755.11752669079
"Columbia County","San Juan County",207.457227138643
"Columbia County","Skagit County",1123.36345927205
"Columbia County","Snohomish County",3313.31097359721
"Columbia County","Spokane County",42661.2192453058
"Columbia County","Stevens County",791.633953813616
"Columbia County","Thurston County",2467.247303656
"Columbia County","Walla Walla County",494897.08608833
"Columbia County","Whatcom County",512.9988597525
"Columbia County","Whitman County",7619.17123701852
"Columbia County","Yakima County",6472.03604689048
"Cowlitz County","Adams County",12604.3812508563
"Cowlitz County","Asotin County",3939.01765127704
"Cowlitz County","Benton County",65162.9845629955
"Cowlitz County","Chelan County",62593.1630162155
"Cowlitz County","Clallam County",42006.7129827961
"Cowlitz County","Clark County",5589543.54380087
"Cowlitz County","Columbia County",1388.0147234767
"Cowlitz County","Cowlitz County",36848074.7884849
"Cowlitz County","Douglas County",6710.26750316697
"Cowlitz County","Ferry County",1902.68557067198
"Cowlitz County","Franklin County",27361.2394977858
"Cowlitz County","Garfield County",221.536796536797
"Cowlitz County","Grant County",40979.9277532213
"Cowlitz County","Grays Harbor County",101956.793136445
"Cowlitz County","Island County",10326.3746134997
"Cowlitz County","Jefferson County",15780.4143669027
"Cowlitz County","King County",581363.895275296
"Cowlitz County","Kitsap County",41555.2807071431
"Cowlitz County","Kittitas County",41455.498291236
"Cowlitz County","Klickitat County",23020.5530520057
"Cowlitz County","Lewis County",847005.338456363
"Cowlitz County","Lincoln County",4830.1816886171
"Cowlitz County","Mason County",34002.1363882359
"Cowlitz County","Okanogan County",10700.7118035828
"Cowlitz County","Pacific County",216788.976307964
"Cowlitz County","Pend Oreille County",795.420876240431
"Cowlitz County","Pierce County",281318.439686382
"Cowlitz County","San Juan County",7168.22787953754
"Cowlitz County","Skagit County",27462.5175816338
"Cowlitz County","Skamania County",18497.1774627166
"Cowlitz County","Snohomish County",106039.076475799
"Cowlitz County","Spokane County",116960.266980651
"Cowlitz County","Stevens County",10778.4642764168
"Cowlitz County","Thurston County",391259.157905401
"Cowlitz County","Wahkiakum County",93281.2212110471
"Cowlitz County","Walla Walla County",11765.1735182041
"Cowlitz County","Whatcom County",57754.8680455992
"Cowlitz County","Whitman County",38382.6196435575
"Cowlitz County","Yakima County",115610.042471528
"Douglas County","Adams County",27490.5251528748
"Douglas County","Asotin County",1125.8987456263
"Douglas County","Benton County",75103.2750666342
"Douglas County","Chelan County",7788337.47487187
"Douglas County","Clallam County",8440.35633955048
"Douglas County","Clark County",9527.4062498264
"Douglas County","Columbia County",1795.3444944122
"Douglas County","Cowlitz County",6678.08200677518
"Douglas County","Douglas County",8657038.07636986
"Douglas County","Ferry County",2340.7869643121
"Douglas County","Franklin County",25827.3501567004
"Douglas County","Garfield County",286.993526732199
"Douglas County","Grant County",385086.61896804
"Douglas County","Grays Harbor County",13084.5987261628
"Douglas County","Island County",5007.37467629906
"Douglas County","Jefferson County",2417.20964381407
"Douglas County","King County",598451.131125853
"Douglas County","Kitsap County",16665.7745841693
"Douglas County","Kittitas County",133101.025134932
"Douglas County","Klickitat County",6470.63131511077
"Douglas County","Lewis County",5839.08668649969
"Douglas County","Lincoln County",13437.0176518726
"Douglas County","Mason County",1573.97713334078
"Douglas County","Okanogan County",544008.258623829
"Douglas County","Pacific County",2954.10445528542
"Douglas County","Pend Oreille County",1345.67553473298
"Douglas County","Pierce County",71247.7803511599
"Douglas County","San Juan County",4235.6176766253
"Douglas County","Skagit County",20812.6746123104
"Douglas County","Skamania County",100.901878914405
"Douglas County","Snohomish County",166914.091338385
"Douglas County","Spokane County",199923.443896369
"Douglas County","Stevens County",6519.43602998388
"Douglas County","Thurston County",22205.890566226
"Douglas County","Walla Walla County",11757.5901221772
"Douglas County","Whatcom County",22799.535128786
"Douglas County","Whitman County",23339.0213042581
"Douglas County","Yakima County",128633.105261579
"Ferry County","Adams County",1419.7270824638
"Ferry County","Asotin County",554.595906493424
"Ferry County","Benton County",4243.92049939094
"Ferry County","Chelan County",22377.1702365691
"Ferry County","Clallam County",385.446319565325
"Ferry County","Clark County",3628.12466235007
"Ferry County","Columbia County",464.934690185436
"Ferry County","Cowlitz County",763.743800420191
"Ferry County","Douglas County",6841.96185206004
"Ferry County","Ferry County",702216.572449666
"Ferry County","Franklin County",1560.42233881493
"Ferry County","Grant County",25716.9172750725
"Ferry County","Grays Harbor County",5888.06972358381
"Ferry County","Island County",1291.244917453
"Ferry County","Jefferson County",1007.80949027974
"Ferry County","King County",29063.9501820434
"Ferry County","Kitsap County",2299.0633774848
"Ferry County","Kittitas County",6201.16340894663
"Ferry County","Klickitat County",124.238227146814
"Ferry County","Lewis County",1375.7847120237
"Ferry County","Lincoln County",5595.59397956565
"Ferry County","Mason County",2079.23339549098
"Ferry County","Okanogan County",137117.362528091
"Ferry County","Pacific County",1545.75260584817
"Ferry County","Pend Oreille County",1406.8752593744
"Ferry County","Pierce County",17966.4912957285
"Ferry County","Skagit County",1368.85636448252
"Ferry County","Skamania County",411.807216878655
"Ferry County","Snohomish County",13513.6709088374
"Ferry County","Spokane County",228819.135866574
"Ferry County","Stevens County",550298.141311705
"Ferry County","Thurston County",4557.64302860095
"Ferry County","Wahkiakum County",112.905660377358
"Ferry County","Walla Walla County",1356.79711156964
"Ferry County","Whatcom County",361.581671070792
"Ferry County","Whitman County",1921.14571704339
"Ferry County","Yakima County",9642.99427637541
"Franklin County","Adams County",489545.442184164
"Franklin County","Asotin County",9260.76442166504
"Franklin County","Benton County",15433683.5280677
"Franklin County","Chelan County",107530.277708483
"Franklin County","Clallam County",15186.4987633309
"Franklin County","Clark County",48691.3822830862
"Franklin County","Columbia County",23988.0762848793
"Franklin County","Cowlitz County",8937.32486226116
"Franklin County","Douglas County",37962.778853815
"Franklin County","Ferry County",2082.48178645026
"Franklin County","Franklin County",22372912.6642154
"Franklin County","Garfield County",1514.40536068521
"Franklin County","Grant County",256520.603437176
"Franklin County","Grays Harbor County",13678.5431112633
"Franklin County","Island County",7281.02494968197
