"county_origin","county_destination","n_scaled_visits_county"
"Adams County","Adams County",731745.24559194
"Adams County","Asotin County",4042.7088607595
"Adams County","Benton County",151781.006622517
"Adams County","Chelan County",9165.6628591208
"Adams County","Clallam County",1041.88473053892
"Adams County","Clark County",537.733130003812
"Adams County","Columbia County",256.178571428571
"Adams County","Douglas County",3730.0981595092
"Adams County","Franklin County",93010.213888217
"Adams County","Grant County",232171.685501323
"Adams County","Grays Harbor County",84.2199158485274
"Adams County","King County",23211.0983391861
"Adams County","Kitsap County",193.098959722593
"Adams County","Kittitas County",14306.2813667912
"Adams County","Klickitat County",183.310626702997
"Adams County","Lewis County",342.432246088571
"Adams County","Lincoln County",5554.01766004415
"Adams County","Okanogan County",1604.16455696203
"Adams County","Pend Oreille County",288.926315789474
"Adams County","Pierce County",4318.27181249537
"Adams County","Snohomish County",4163.78718114007
"Adams County","Spokane County",101508.77846905
"Adams County","Stevens County",542.706231454006
"Adams County","Thurston County",586.751757007836
"Adams County","Walla Walla County",3951.29283489097
"Adams County","Whatcom County",2187.69110999498
"Adams County","Whitman County",4485.58639212176
"Adams County","Yakima County",21883.7059352518
"Asotin County","Adams County",956.36523929471
"Asotin County","Asotin County",916714.860759493
"Asotin County","Benton County",5053.35099337748
"Asotin County","Chelan County",961.993769470405
"Asotin County","Clark County",868.645825390774
"Asotin County","Columbia County",2305.60714285714
"Asotin County","Cowlitz County",433.35815047022
"Asotin County","Douglas County",426.296932515337
"Asotin County","Franklin County",1290.20856520687
"Asotin County","Garfield County",4427.0618556701
"Asotin County","Grant County",1503.94614089925
"Asotin County","Grays Harbor County",252.659747545582
"Asotin County","Jefferson County",148.483870967742
"Asotin County","King County",15091.1303037678
"Asotin County","Kitsap County",1641.34115764204
"Asotin County","Kittitas County",1151.66844634277
"Asotin County","Mason County",96.7652173913043
"Asotin County","Okanogan County",320.832911392405
"Asotin County","Pacific County",93.047619047619
"Asotin County","Pend Oreille County",96.3087719298246
"Asotin County","Pierce County",2841.55709941405
"Asotin County","Snohomish County",1085.10817447893
"Asotin County","Spokane County",59472.4925972598
"Asotin County","Stevens County",569.841543026706
"Asotin County","Thurston County",774.512319250343
"Asotin County","Walla Walla County",3785.66978193146
"Asotin County","Whatcom County",115.141637368157
"Asotin County","Whitman County",31757.951656222
"Asotin County","Yakima County",2058.64759442446
"Benton County","Adams County",34580.1536523928
"Benton County","Asotin County",4451.06329113924
"Benton County","Benton County",13582956.2781448
"Benton County","Chelan County",52856.2132225686
"Benton County","Clallam County",2431.06437125749
"Benton County","Clark County",24363.447197865
"Benton County","Columbia County",11528.0357142857
"Benton County","Cowlitz County",4550.2605799373
"Benton County","Douglas County",18703.7779141105
"Benton County","Ferry County",589.526570048309
"Benton County","Franklin County",1592647.27655456
"Benton County","Garfield County",802.835051546392
"Benton County","Grant County",51392.6595335416
"Benton County","Grays Harbor County",5705.89929873773
"Benton County","Island County",1551.03968770332
"Benton County","King County",280465.262496679
"Benton County","Kitsap County",8399.80474793278
"Benton County","Kittitas County",58376.7939135076
"Benton County","Klickitat County",5865.94005449592
"Benton County","Lewis County",7319.4892601432
"Benton County","Lincoln County",4781.28476821192
"Benton County","Mason County",193.530434782609
"Benton County","Okanogan County",5561.10379746835
"Benton County","Pacific County",1186.35714285714
"Benton County","Pend Oreille County",1059.39649122807
"Benton County","Pierce County",48709.2110663334
"Benton County","Skagit County",4498.068584532
"Benton County","Skamania County",1059.46972860125
"Benton County","Snohomish County",33688.823556497
"Benton County","Spokane County",178726.265396123
"Benton County","Stevens County",3581.86112759644
"Benton County","Thurston County",10913.5826803457
"Benton County","Walla Walla County",112529.034267912
"Benton County","Whatcom County",12924.6487945756
"Benton County","Whitman County",23773.6078782453
"Benton County","Yakima County",609698.095773384
"Chelan County","Adams County",4353.97858942066
"Chelan County","Asotin County",571.696202531646
"Chelan County","Benton County",16671.5463576159
"Chelan County","Chelan County",3931321.14918662
"Chelan County","Clallam County",2431.06437125749
"Chelan County","Clark County",1985.47617232177
"Chelan County","Cowlitz County",1321.74235893417
"Chelan County","Douglas County",907772.674233122
"Chelan County","Ferry County",1179.05314009662
"Chelan County","Franklin County",9330.97265908541
"Chelan County","Grant County",49536.2260158691
"Chelan County","Grays Harbor County",2379.2126227209
"Chelan County","Island County",2935.89655172414
"Chelan County","King County",180623.597649598
"Chelan County","Kitsap County",2510.2864763937
"Chelan County","Kittitas County",36546.2786972771
"Chelan County","Klickitat County",2199.72752043597
"Chelan County","Lewis County",1048.69875364625
"Chelan County","Lincoln County",1376.43046357616
"Chelan County","Mason County",483.826086956522
"Chelan County","Okanogan County",50442.0632911391
"Chelan County","Pacific County",93.047619047619
"Chelan County","Pierce County",14610.5258733652
"Chelan County","Skagit County",3959.37773608505
"Chelan County","Snohomish County",45397.8978113395
"Chelan County","Spokane County",48479.6538825013
"Chelan County","Stevens County",596.976854599407
"Chelan County","Thurston County",4459.31335325955
"Chelan County","Wahkiakum County",141.726315789474
"Chelan County","Walla Walla County",946.417445482866
"Chelan County","Whatcom County",5814.65268709192
"Chelan County","Whitman County",5898.54610564011
"Chelan County","Yakima County",34884.2064973021
"Clallam County","Adams County",302.010075566751
"Clallam County","Asotin County",81.6708860759494
"Clallam County","Benton County",812.145695364238
"Clallam County","Chelan County",5531.46417445483
"Clallam County","Clallam County",3917139.29191623
"Clallam County","Clark County",6163.24895158215
"Clallam County","Cowlitz County",4463.58894984326
"Clallam County","Douglas County",1252.2472392638
"Clallam County","Franklin County",760.301475925478
"Clallam County","Grant County",1221.95623948064
"Clallam County","Grays Harbor County",16338.6636746143
"Clallam County","Island County",7256.6499674691
"Clallam County","Jefferson County",60284.4516129033
"Clallam County","King County",207307.222511972
"Clallam County","Kitsap County",222498.276340361
"Clallam County","Kittitas County",6628.49172450615
"Clallam County","Klickitat County",122.207084468665
"Clallam County","Lewis County",7940.14770617873
"Clallam County","Mason County",9845.86086956523
"Clallam County","Okanogan County",1746.75696202532
"Clallam County","Pacific County",1116.57142857143
"Clallam County","Pend Oreille County",288.926315789474
"Clallam County","Pierce County",64147.5921576377
"Clallam County","San Juan County",414.914454277286
"Clallam County","Skagit County",8861.46445695226
"Clallam County","Skamania County",100.901878914405
"Clallam County","Snohomish County",39947.1218651197
"Clallam County","Spokane County",6875.67065679635
"Clallam County","Thurston County",19315.867840698
"Clallam County","Wahkiakum County",94.4842105263158
"Clallam County","Walla Walla County",567.85046728972
"Clallam County","Whatcom County",10391.5327724762
"Clallam County","Whitman County",1188.68039391227
"Clallam County","Yakima County",3412.27888938849
"Clark County","Adams County",4530.15113350126
"Clark County","Asotin County",571.696202531646
"Clark County","Benton County",38982.9933774836
"Clark County","Chelan County",43423.3298719281
"Clark County","Clallam County",8190.37163173653
"Clark County","Clark County",31665387.4163256
"Clark County","Columbia County",341.571428571429
"Clark County","Cowlitz County",657144.299373058
"Clark County","Douglas County",3783.38527607362
"Clark County","Franklin County",13800.6237599806
"Clark County","Garfield County",91.7525773195876
"Clark County","Grant County",8882.68189468623
"Clark County","Grays Harbor County",17307.1927068724
"Clark County","Island County",2437.34808067664
"Clark County","Jefferson County",2709.83064516129
"Clark County","King County",455997.56186042
"Clark County","Kitsap County",20082.2918111496
"Clark County","Kittitas County",19450.4004271223
"Clark County","Klickitat County",22363.8964577656
"Clark County","Lewis County",98256.65261204
"Clark County","Lincoln County",1376.43046357616
"Clark County","Mason County",5176.93913043478
"Clark County","Okanogan County",2709.25569620253
"Clark County","Pacific County",63063.0238095235
"Clark County","Pierce County",125185.133631663
"Clark County","San Juan County",2956.26548672566
"Clark County","Skagit County",10342.8642901814
"Clark County","Skamania County",31027.3277661797
"Clark County","Snohomish County",66469.1844552909
"Clark County","Spokane County",45041.8185541033
"Clark County","Stevens County",2008.01305637982
"Clark County","Thurston County",87449.4818644473
"Clark County","Wahkiakum County",3921.09473684211
"Clark County","Walla Walla County",8919.98442367601
"Clark County","Whatcom County",32383.5855097941
"Clark County","Whitman County",26397.6759176365
"Clark County","Yakima County",34320.1934577338
"Columbia County","Adams County",931.197732997481
"Columbia County","Asotin County",4512.3164556962
"Columbia County","Benton County",8392.17218543046
"Columbia County","Chelan County",347.386638975424
"Columbia County","Clark County",103.410217308425
"Columbia County","Columbia County",66236.3928571429
"Columbia County","Douglas County",213.148466257669
"Columbia County","Franklin County",4354.45390757319
"Columbia County","Garfield County",1628.60824742268
"Columbia County","Grant County",845.969704255831
"Columbia County","Island County",221.577098243331
"Columbia County","King County",3159.21585943929
"Columbia County","Kitsap County",193.098959722593
"Columbia County","Kittitas County",409.482114255206
"Columbia County","Lincoln County",96.5916114790287
"Columbia County","Mason County",193.530434782609
"Columbia County","Pierce County",357.991445595471
"Columbia County","San Juan County",207.457227138643
"Columbia County","Skagit County",107.738169689389
"Columbia County","Snohomish County",1463.6342818553
"Columbia County","Spokane County",8748.98212316899
"Columbia County","Stevens County",434.164985163205
"Columbia County","Thurston County",469.401405606269
"Columbia County","Walla Walla County",85248.5514018692
"Columbia County","Whitman County",986.829006266786
"Columbia County","Yakima County",620.41434352518
"Cowlitz County","Adams County",1107.37027707809
"Cowlitz County","Asotin County",163.341772151899
"Cowlitz County","Benton County",8121.45695364238
"Cowlitz County","Chelan County",13708.4112149533
"Cowlitz County","Clallam County",2865.18300898204
"Cowlitz County","Clark County",1038693.5867327
"Cowlitz County","Cowlitz County",6702208.81563462
"Cowlitz County","Douglas County",1385.46503067485
"Cowlitz County","Franklin County",3225.52141301718
"Cowlitz County","Grant County",2937.39480644386
"Cowlitz County","Grays Harbor County",17770.4022440393
"Cowlitz County","Island County",2409.65094339623
"Cowlitz County","Jefferson County",2078.77419354839
"Cowlitz County","King County",93784.3253479827
"Cowlitz County","Kitsap County",7217.0736196319
"Cowlitz County","Kittitas County",5579.19380672718
"Cowlitz County","Klickitat County",2108.07220708447
"Cowlitz County","Lewis County",148872.418987006
"Cowlitz County","Lincoln County",579.549668874172
"Cowlitz County","Mason County",3386.78260869565
"Cowlitz County","Okanogan County",855.554430379747
"Cowlitz County","Pacific County",27239.6904761904
"Cowlitz County","Pend Oreille County",96.3087719298246
"Cowlitz County","Pierce County",47970.8537097927
"Cowlitz County","San Juan County",1452.2005899705
"Cowlitz County","Skagit County",2989.73420888055
"Cowlitz County","Skamania County",1740.55741127349
"Cowlitz County","Snohomish County",22055.4545231298
"Cowlitz County","Spokane County",13771.9271538825
"Cowlitz County","Stevens County",542.706231454006
"Cowlitz County","Thurston County",66138.6580499232
"Cowlitz County","Wahkiakum County",13440.3789473684
"Cowlitz County","Walla Walla County",851.77570093458
"Cowlitz County","Whatcom County",8203.84166248117
"Cowlitz County","Whitman County",5315.41987466428
"Cowlitz County","Yakima County",19486.6505170863
"Douglas County","Adams County",2038.56801007557
"Douglas County","Asotin County",163.341772151899
"Douglas County","Benton County",7986.09933774834
"Douglas County","Chelan County",1348795.43094496
"Douglas County","Clallam County",1273.41467065868
"Douglas County","Clark County",1571.83530308807
"Douglas County","Columbia County",341.571428571429
"Douglas County","Cowlitz County",173.343260188088
"Douglas County","Douglas County",1536374.14478528
"Douglas County","Franklin County",4653.9666102105
"Douglas County","Grant County",63118.7396008654
"Douglas County","Grays Harbor County",1852.8381486676
"Douglas County","Island County",221.577098243331
"Douglas County","King County",92792.1749127869
"Douglas County","Kitsap County",2244.77540677514
"Douglas County","Kittitas County",17505.36038441
"Douglas County","Klickitat County",1160.96730245232
"Douglas County","Lewis County",984.49270750464
"Douglas County","Lincoln County",2511.38189845475
"Douglas County","Okanogan County",79210.0810126582
"Douglas County","Pacific County",558.285714285714
"Douglas County","Pend Oreille County",96.3087719298246
"Douglas County","Pierce County",8770.79041708904
"Douglas County","Skagit County",754.167187825724
"Douglas County","Snohomish County",21954.5142278295
"Douglas County","Spokane County",34543.0400063001
"Douglas County","Thurston County",2182.71653606915
"Douglas County","Walla Walla County",567.85046728972
"Douglas County","Whatcom County",1784.69537920643
"Douglas County","Whitman County",2444.64458370636
"Douglas County","Yakima County",23547.5444019784
"Ferry County","Adams County",201.340050377834
"Ferry County","Asotin County",102.088607594937
"Ferry County","Benton County",1015.1821192053
"Ferry County","Chelan County",3714.36483212184
"Ferry County","Clark County",1075.46626000762
"Ferry County","Douglas County",985.811656441718
"Ferry County","Ferry County",107883.362318841
"Ferry County","Franklin County",276.473263972901
"Ferry County","Grant County",3524.87376773263
"Ferry County","Grays Harbor County",421.099579242637
"Ferry County","King County",4595.22306827533
"Ferry County","Kitsap County",96.5494798612963
"Ferry County","Kittitas County",716.59369994661
"Ferry County","Lincoln County",1062.50772626932
"Ferry County","Mason County",532.208695652174
"Ferry County","Okanogan County",20533.3063291139
"Ferry County","Pierce County",2103.19974287339
"Ferry County","Skamania County",302.705636743215
"Ferry County","Snohomish County",2775.85812076005
"Ferry County","Spokane County",36416.3514726728
"Ferry County","Stevens County",104606.62611276
"Ferry County","Thurston County",563.281686727522
"Ferry County","Walla Walla County",283.92523364486
"Ferry County","Whatcom County",115.141637368157
"Ferry County","Whitman County",201.851387645479
"Ferry County","Yakima County",1156.22673111511
"Franklin County","Adams County",76886.7317380354
"Franklin County","Asotin County",1122.9746835443
"Franklin County","Benton County",2724184.81788078
"Franklin County","Chelan County",19533.8179300796
"Franklin County","Clallam County",1157.6497005988
"Franklin County","Clark County",7714.40221120853
"Franklin County","Columbia County",4383.5
"Franklin County","Cowlitz County",2426.80564263323
"Franklin County","Douglas County",6527.6717791411
"Franklin County","Ferry County",294.763285024155
"Franklin County","Franklin County",4193131.75804501
"Franklin County","Garfield County",527.577319587629
"Franklin County","Grant County",39102.5996633806
"Franklin County","Grays Harbor County",863.254137447405
"Franklin County","Island County",914.005530253741
"Franklin County","King County",126473.071265487
