year,county,fips,county_fips,POPESTIMATE2020,POPPCT_RUR,prop_state,mean_weekly_total,prop_county,prop_SG,bias
2020,Adams County,53001,001,19702,47.29,0.00262257461432432,643.6730769230769,0.03267044345361267,0.00209852727376066,-0.05240473405636581
2020,Asotin County,53003,003,22636,7.26,0.00301312551872121,990.2115384615385,0.04374498756235812,0.00322044318686884,0.02073176681476279
2020,Benton County,53005,005,200715,12.14,0.02671759535651747,8670.576923076924,0.04319845015607664,0.02813497292195104,0.14173775654335774
2020,Chelan County,53007,007,76653,33.63,0.01020344187959611,2858.903846153846,0.03729669870916789,0.00926383890449766,-0.0939602975098448
2020,Clallam County,53009,009,76482,36.09,0.01018067971032144,2575.576923076923,0.03367559586669965,0.00835804874152085,-0.1822630968800586
2020,Clark County,53011,011,481950,13.48,0.06415337708728094,23281.26923076923,0.04830639948287007,0.0755057610368438,1.1352383949562856
2020,Columbia County,53013,013,4024,100,5.356430945102573e-4,148.8846153846154,0.03699915889279706,4.8240823716997114e-4,-0.00532348573402861
2020,Cowlitz County,53015,015,108399,32.98,0.01442921863862261,4852.2307692307695,0.04476268940885773,0.01576146177991516,0.1332243141292555
2020,Douglas County,53017,017,42520,25.38,0.00565992653543144,1601.6153846153843,0.03766734206527245,0.00519670625402856,-0.04632202814028863
2020,Ferry County,53019,019,7643,100,0.00101737578810683,160.01923076923077,0.02093670427439889,5.189104311180985e-4,-0.04984653569887345
2020,Franklin County,53021,021,93681,11.45,0.01247007473578911,3804.8846153846152,0.04061532877941754,0.01234604844142943,-0.01240262943596826
2020,Garfield County,53023,023,2258,100,3.0056712410640187e-4,70.61538461538461,0.03127342099884173,2.301505367372344e-4,-0.00704165873691674
2020,Grant County,53025,025,96648,44.87,0.01286501833951971,3918.6346153846152,0.04054542893163454,0.0127384679534623,-0.01265503860574135
2020,Grays Harbor County,53027,027,73769,39.11,0.00981954658025029,3465.3846153846152,0.0469761636376339,0.01125321011997592,0.1433663539725637
2020,Island County,53029,029,84187,47.78,0.0112063084486916,3235.4423076923076,0.03843161423607336,0.01047980815152742,-0.07265002971641876
2020,Jefferson County,53031,031,31825,53.26,0.00423629261500719,916.7884615384615,0.02880717868149132,0.00296510371098899,-0.12711889040181917
2020,King County,53033,033,2225064,3.29,0.2961829439471598,84599.48076923077,0.03802114490604799,0.2738599104530743,-2.2323033494085536
2020,Kitsap County,53035,035,268945,17.57,0.03579983400921002,10956.884615384615,0.04074024285777618,0.03550231940584279,-0.02975146033672393
