"county_origin","county_destination","n_scaled_visits_county"
"Adams County","Adams County",1394678.0588209
"Adams County","Asotin County",6645.21440018262
"Adams County","Benton County",270625.640629146
"Adams County","Chelan County",17979.6111843066
"Adams County","Clallam County",1594.90536431347
"Adams County","Clark County",839.111686340028
"Adams County","Columbia County",670.513703576995
"Adams County","Cowlitz County",1515.38246457491
"Adams County","Douglas County",8462.0446949489
"Adams County","Ferry County",508.466666666667
"Adams County","Franklin County",155481.207467648
"Adams County","Garfield County",412.024957458877
"Adams County","Grant County",419938.515467313
"Adams County","Grays Harbor County",2437.01325601131
"Adams County","Island County",119.874692009856
"Adams County","Jefferson County",321.133912710354
"Adams County","King County",59356.1607092946
"Adams County","Kitsap County",2464.04438719304
"Adams County","Kittitas County",35410.3037784031
"Adams County","Klickitat County",492.88824816592
"Adams County","Lewis County",2734.95377641736
"Adams County","Lincoln County",11165.0818334835
"Adams County","Mason County",314.486956521739
"Adams County","Okanogan County",7441.73947071702
"Adams County","Pacific County",213.716468939185
"Adams County","Pend Oreille County",400.001692911053
"Adams County","Pierce County",8051.47224764121
"Adams County","San Juan County",417.744687976452
"Adams County","Skagit County",443.779160167845
"Adams County","Skamania County",111.108045977011
"Adams County","Snohomish County",10282.9128269624
"Adams County","Spokane County",183838.42926309
"Adams County","Stevens County",1476.32995370114
"Adams County","Thurston County",2447.86612454519
"Adams County","Walla Walla County",5515.37902393689
"Adams County","Whatcom County",4220.29606139772
"Adams County","Whitman County",10220.0411879333
"Adams County","Yakima County",42337.8547765205
"Asotin County","Adams County",4423.11297920993
"Asotin County","Asotin County",1638643.38818284
"Asotin County","Benton County",12428.9518733379
"Asotin County","Chelan County",6306.28256620806
"Asotin County","Clallam County",900.4258314385
"Asotin County","Clark County",2693.27948695181
"Asotin County","Columbia County",3792.7132817275
"Asotin County","Cowlitz County",1191.91255747819
"Asotin County","Douglas County",1328.30996982762
"Asotin County","Ferry County",270.781065088757
"Asotin County","Franklin County",4500.11923118606
"Asotin County","Garfield County",5544.35709842361
"Asotin County","Grant County",2863.08314822863
"Asotin County","Grays Harbor County",3390.76131350274
"Asotin County","Island County",868.486283079096
"Asotin County","Jefferson County",304.103441925385
"Asotin County","King County",39727.6665114053
"Asotin County","Kitsap County",1726.44395001666
"Asotin County","Kittitas County",7240.01378928381
"Asotin County","Klickitat County",505.365154851561
"Asotin County","Lewis County",1098.71151441845
"Asotin County","Lincoln County",206.642497909116
"Asotin County","Mason County",105.353846153846
"Asotin County","Okanogan County",1238.03925616224
"Asotin County","Pacific County",1592.36529068365
"Asotin County","Pend Oreille County",93.8393162393162
"Asotin County","Pierce County",7182.50855674997
"Asotin County","San Juan County",202.674351585014
"Asotin County","Skagit County",2237.62579090191
"Asotin County","Snohomish County",4366.39203966438
"Asotin County","Spokane County",120196.133237484
"Asotin County","Stevens County",811.168478596104
"Asotin County","Thurston County",597.107113730797
"Asotin County","Walla Walla County",9939.61555052843
"Asotin County","Whatcom County",6005.64050839844
"Asotin County","Whitman County",94144.0746004759
"Asotin County","Yakima County",7474.5442209792
"Benton County","Adams County",100868.398097929
"Benton County","Asotin County",11468.034025531
"Benton County","Benton County",24454096.2971905
"Benton County","Chelan County",87822.2583117952
"Benton County","Clallam County",7967.96784606789
"Benton County","Clark County",47075.0823783911
"Benton County","Columbia County",19215.61080115
"Benton County","Cowlitz County",10789.2749067137
"Benton County","Douglas County",21445.1628831306
"Benton County","Ferry County",2198.1847869269
"Benton County","Franklin County",2718318.68286615
"Benton County","Garfield County",953.141476626864
"Benton County","Grant County",101237.394832862
"Benton County","Grays Harbor County",23418.555230251
"Benton County","Island County",5341.41119462081
"Benton County","Jefferson County",2845.72604591696
"Benton County","King County",641016.7610984
"Benton County","Kitsap County",15315.0466518689
"Benton County","Kittitas County",156526.393214036
"Benton County","Klickitat County",14283.1258046179
"Benton County","Lewis County",33014.943501728
"Benton County","Lincoln County",14764.7483336872
"Benton County","Mason County",3784.25547895896
"Benton County","Okanogan County",11712.9512646516
"Benton County","Pacific County",20930.5606133619
"Benton County","Pend Oreille County",3016.46011232866
"Benton County","Pierce County",92432.7047298482
