"county_origin","county_destination","n_scaled_visits_county"
"Chelan County","Snohomish County",102722.24963327
"Chelan County","Spokane County",67822.1743997724
"Chelan County","Stevens County",1602.69617497769
"Chelan County","Thurston County",12347.7158343949
"Chelan County","Walla Walla County",3244.82235986218
"Chelan County","Whatcom County",14654.2101809216
"Chelan County","Whitman County",2314.78031418566
"Chelan County","Yakima County",49125.2225760446
"Clallam County","Adams County",2005.98335301851
"Clallam County","Asotin County",189.39245883994
"Clallam County","Benton County",5275.34418634658
"Clallam County","Chelan County",11121.2518418865
"Clallam County","Clallam County",6209973.06904007
"Clallam County","Clark County",5709.49779637276
"Clallam County","Columbia County",121.679389312977
"Clallam County","Cowlitz County",11224.5606930889
"Clallam County","Douglas County",1946.43273452338
"Clallam County","Ferry County",182.682634730539
"Clallam County","Franklin County",455.472534943815
"Clallam County","Grant County",5007.64245421495
"Clallam County","Grays Harbor County",36272.067008091
"Clallam County","Island County",14467.6570401019
"Clallam County","Jefferson County",117867.770236721
"Clallam County","King County",254263.254766329
"Clallam County","Kitsap County",333156.823969069
"Clallam County","Kittitas County",14314.9162735685
"Clallam County","Klickitat County",540.867968589636
"Clallam County","Lewis County",15449.7415991622
"Clallam County","Lincoln County",746.243804406914
"Clallam County","Mason County",20682.1226318524
"Clallam County","Okanogan County",3497.27015267221
"Clallam County","Pacific County",5527.04326066724
"Clallam County","Pend Oreille County",241.071371414799
"Clallam County","Pierce County",85425.6951422381
"Clallam County","San Juan County",3195.52413918685
"Clallam County","Skagit County",17917.345086598
"Clallam County","Snohomish County",84955.0402686445
"Clallam County","Spokane County",11303.3302732893
"Clallam County","Stevens County",637.283724205819
"Clallam County","Thurston County",39932.606023376
"Clallam County","Wahkiakum County",413.680278961643
"Clallam County","Walla Walla County",1688.57404093982
"Clallam County","Whatcom County",19855.8156686493
"Clallam County","Whitman County",646.436040525771
"Clallam County","Yakima County",8893.8255484536
"Clark County","Adams County",14449.0299141799
"Clark County","Asotin County",3583.61561748742
"Clark County","Benton County",79201.1910118857
"Clark County","Chelan County",36932.2708168429
"Clark County","Clallam County",29944.1989117007
"Clark County","Clark County",47374740.1178334
"Clark County","Columbia County",923.74042934315
"Clark County","Cowlitz County",1149318.91857524
