,origin,destination,mean_migration,upper_hpd_95,lower_hpd_95,upper_hpd_50,lower_hpd_50,instant_rates,instant_rates_upper_95hpd,instant_rates_lower_95hpd
0,0,1,0.8957322416912875,2.8130247964071873,6.407290332452212e-05,0.5813436148066045,0.00010355514851034228,0.0017662809238606775,0.005546961251344012,1.2634439357099407e-07
0,0,2,0.8440776758805396,2.7384568105664693,7.95611581618345e-06,0.5245825243339267,7.95611581618345e-06,0.0016644240630988491,0.005399921762542663,1.5688545013872907e-08
0,0,3,0.8290541376318954,1.8138142313679284,0.1117045248604389,0.8518640113590049,0.33020168484165086,0.001634799374176892,0.003576632979341097,0.0002202684710749908
0,0,4,0.9540244344878378,2.932020621663417,2.4065471296282814e-05,0.6448426597103475,0.00018808425354773094,0.0018812264213590702,0.005781607327912924,4.745434058964104e-08
0,1,2,0.6344630765968567,1.5314175167984416,0.006089003493324873,0.5996413451584066,0.1626305052071699,0.0012510881901169864,0.0030197791488222655,1.2006814330221913e-05
0,1,3,0.8928489620771868,2.8744513038681987,1.0941393089945874e-05,0.5598167007828078,1.0941393089945874e-05,0.0017605954281918752,0.005668087256748161,2.1575168332383144e-08
0,1,4,0.7358871345248501,2.1053869922296196,2.2195906761498488e-05,0.5857236735002721,0.06823640101730481,0.0014510847632005937,0.004151580917415754,4.376777442620701e-08
0,2,3,1.5600657873215797,3.1520872603531083,0.32366399606704255,1.6186683748038584,0.7000799930891091,0.0030762702422220925,0.006215553420064094,0.0006382281617041129
0,2,4,1.605359545126849,3.1826948400123896,0.33651530228892745,1.7284652037312787,0.8158587766775286,0.0031655843214276787,0.006275908045655842,0.0006635694589912887
0,3,4,0.9992578189343063,2.178848341394038,0.11174235123347513,1.007906045153431,0.3687911529032534,0.0019704214512472422,0.004296438246013399,0.0002203430603305775
