,origin,destination,mean_migration,upper_hpd_95,lower_hpd_95,upper_hpd_50,lower_hpd_50,instant_rates,instant_rates_upper_95hpd,instant_rates_lower_95hpd
0,0,1,0.42505678409569475,1.0590067242100547,9.19623343346834e-05,0.3781278077178425,0.03262665125261318,0.0018524040268702556,0.004615167652441788,4.0077327269197146e-07
0,0,2,0.149304610025035,0.4732338310440393,9.461941736498251e-07,0.09662710065874965,9.461941736498251e-07,0.0006506717953674681,0.002062360341200576,4.1235288155652865e-09
0,0,3,1.25827593403119,2.510021727424061,0.20617405876010045,1.3542758376892403,0.5728794441097214,0.005483585945045305,0.010938713436380275,0.0008985097308725981
0,0,4,0.9183961347602588,1.926547570164142,0.1592454105531871,0.97854175212548,0.41827186723793297,0.004002384532954482,0.008395924051704388,0.000693993957529494
0,1,2,1.9804789837594365,3.5444261924005414,0.6237812579317892,2.158560758425944,1.1895485122440521,0.008630957984714707,0.015446664063286672,0.0027184483516416447
0,1,3,0.5823735600281268,1.3084272413030003,0.0013247846540463133,0.6061306480601677,0.19019097848298272,0.002537992964949351,0.00570214611634278,5.773431973594432e-06
0,1,4,0.5363101953019717,1.215467190498227,0.00047734202305182424,0.5610647640738586,0.159971958096557,0.0023372481103731382,0.0052970247798719864,2.080263905390399e-06
0,2,3,1.0577506341487526,2.057219116256622,0.2479063033026117,1.166708390342979,0.5797855271450097,0.004609693592563841,0.0089653926668073,0.0010803794968271586
0,2,4,0.9520013734701213,1.8869584736573903,0.18719017389504114,1.0097752043831185,0.45544880266091414,0.004148836682030335,0.00822339415797435,0.0008157776675684159
0,3,4,2.1446353379693917,3.893225854179497,0.7103341744305857,2.4048050318491745,1.347175183501378,0.009346353910512709,0.016966738373887152,0.0030956472978973517
