,origin,destination,mean_migration,upper_hpd_95,lower_hpd_95,upper_hpd_50,lower_hpd_50,instant_rates,instant_rates_upper_95hpd,instant_rates_lower_95hpd
0,0,1,0.12760691638015875,0.39941363864734136,4.7289395692876956e-07,0.0820444210168683,4.7289395692876956e-07,0.00046673902962457133,0.0014609077580536656,1.729671657566804e-09
0,0,2,0.24256765806251177,0.6560220000701694,1.4859968538255644e-06,0.1880986747152184,0.0010805983910896105,0.0008872230170119931,0.002399486488749055,5.435228350111214e-09
0,0,3,0.7324199745217794,1.5517272217082108,0.05923564169038485,0.7853866939470362,0.30688375133581675,0.002678922098293896,0.005675645789797757,0.0002166621269915576
0,0,4,0.22420210496938184,0.6535661986503074,2.011496572061783e-05,0.15929820844680223,6.577875850125926e-05,0.000820048598317719,0.0023905040730291863,7.357312477799569e-08
0,1,2,1.8060650243502063,3.2591599919297174,0.5862335960965894,1.9708539847147584,1.0893948391594832,0.006605919654016205,0.011920805040791863,0.0021442262499338097
0,1,3,0.48514726939460256,1.2626197208830527,4.598844293671851e-05,0.3882642618007133,0.0008724577791749334,0.0017744897546748916,0.004618197195159509,1.682087604584295e-07
0,1,4,0.48927911770554355,1.2437716542828599,1.6005762668340892e-05,0.4150005408093697,0.015711268414276013,0.0017896025316771918,0.004549257920041651,5.854317577870871e-08
0,2,3,1.7142265434464188,3.397051044470675,0.2382920346802511,1.9077995715246876,0.8337296052960324,0.006270008367424741,0.012425159646972788,0.0008715843638332633
0,2,4,2.0663820187988127,3.753922839331982,0.5892738085610827,2.3347475387459107,1.269869039730371,0.007558063196312625,0.013730465032910665,0.002155346225682638
0,3,4,2.109939248232195,4.238325132677362,0.39832574108824376,2.214592998026642,0.9610610883960763,0.007717379474580069,0.01550222993999758,0.0014569286300763742
