n_mutations,group_1,group_2,n_pairs,RR
8,Adams County,Adams County,1550,1.4157838653498926
8,Asotin County,Adams County,551,1.9703719604129577
8,Benton County,Adams County,14750,1.5415118189823438
8,Chelan County,Adams County,3634,1.1492697342740088
8,Clallam County,Adams County,4724,1.0853785876993784
8,Clark County,Adams County,3408,0.7741428635639046
8,Columbia County,Adams County,33,0.8191948124832362
8,Cowlitz County,Adams County,4448,1.2820796406369652
8,Douglas County,Adams County,2162,1.1166955378529546
8,Ferry County,Adams County,176,1.383192517048067
8,Franklin County,Adams County,11848,1.4933649420747703
8,Garfield County,Adams County,31,1.4352144042235735
8,Grant County,Adams County,3669,1.4750769647035198
8,Grays Harbor County,Adams County,4805,1.1322978893497473
8,Island County,Adams County,1845,0.9686264618220459
8,Jefferson County,Adams County,581,1.4840264064852084
8,King County,Adams County,111213,0.8117502713904104
8,Kitsap County,Adams County,3468,0.7710730602392954
8,Kittitas County,Adams County,2243,1.7815495011538953
8,Klickitat County,Adams County,940,2.0154906765599363
8,Lewis County,Adams County,6564,1.687387867489575
8,Lincoln County,Adams County,320,1.465739829185859
8,Mason County,Adams County,1459,0.9955956906112627
8,Okanogan County,Adams County,1603,1.4240781326425174
8,Pacific County,Adams County,1654,1.283583399661318
8,Pend Oreille County,Adams County,702,2.135838371968205
8,Pierce County,Adams County,19534,0.9390400205073975
8,San Juan County,Adams County,158,1.2030756870493873
8,Skagit County,Adams County,6146,0.9903434209718597
8,Skamania County,Adams County,67,0.9692313436992802
8,Snohomish County,Adams County,21515,0.8754817066621565
8,Spokane County,Adams County,18223,1.4985909222998275
8,Stevens County,Adams County,789,1.7245975858277403
8,Thurston County,Adams County,14469,1.1212758971399257
8,Wahkiakum County,Adams County,137,1.3700155335409712
8,Walla Walla County,Adams County,2167,1.182986280184867
8,Whatcom County,Adams County,15848,0.8267724985650371
8,Whitman County,Adams County,3565,1.3161705803827062
8,Yakima County,Adams County,23661,1.4264739963769018
8,Adams County,Asotin County,551,1.9703719604129577
8,Asotin County,Asotin County,208,2.9119996198580873
8,Benton County,Asotin County,4957,2.0281735595241415
8,Chelan County,Asotin County,880,1.0895598174045313
8,Clallam County,Asotin County,1308,1.1765502050604602
8,Clark County,Asotin County,832,0.7399054291612394
8,Columbia County,Asotin County,2,0.19437240509757733
8,Cowlitz County,Asotin County,1267,1.4297437252005603
8,Douglas County,Asotin County,548,1.1081307561195066
8,Ferry County,Asotin County,42,1.2922621156275396
8,Franklin County,Asotin County,3997,1.972361032510289
8,Garfield County,Asotin County,12,2.175042241836099
8,Grant County,Asotin County,1015,1.5975864585041963
8,Grays Harbor County,Asotin County,911,0.8404599866053843
8,Island County,Asotin County,565,1.1612875388518822
8,Jefferson County,Asotin County,147,1.4699893569061582
8,King County,Asotin County,24918,0.7120515351720427
8,Kitsap County,Asotin County,703,0.6119319449516757
8,Kittitas County,Asotin County,702,2.1829163397883486
8,Klickitat County,Asotin County,288,2.417557358635424
8,Lewis County,Asotin County,2008,2.0208841490209983
8,Lincoln County,Asotin County,98,1.757374603250586
8,Mason County,Asotin County,326,0.8709168147320795
8,Okanogan County,Asotin County,484,1.6833600502750323
8,Pacific County,Asotin County,404,1.2274429362541064
8,Pend Oreille County,Asotin County,297,3.5376843559972153
8,Pierce County,Asotin County,4253,0.800423185609599
8,San Juan County,Asotin County,37,1.102983324459953
8,Skagit County,Asotin County,1807,1.139942056735703
8,Skamania County,Asotin County,18,1.019427891885331
8,Snohomish County,Asotin County,5723,0.9117186328262324
8,Spokane County,Asotin County,5663,1.8232286774800774
8,Stevens County,Asotin County,259,2.216368116110287
8,Thurston County,Asotin County,2668,0.8094521007758981
8,Wahkiakum County,Asotin County,48,1.879219545223688
8,Walla Walla County,Asotin County,508,1.0857150752249667
8,Whatcom County,Asotin County,4512,0.9215353718734386
8,Whitman County,Asotin County,834,1.2054523688022947
8,Yakima County,Asotin County,6573,1.55140703031423
8,Adams County,Benton County,14750,1.5415118189823436
8,Asotin County,Benton County,4957,2.0281735595241415
8,Benton County,Benton County,121998,1.4588046118982567
