n_mutations,group_1,group_2,n_pairs,RR
3,0-9y,0-9y,380848,1.007657123121477
3,10-19y,0-9y,657172,1.0208004309621888
3,20-29y,0-9y,907153,0.9981324407109294
3,30-39y,0-9y,794566,0.9965504136807586
3,40-49y,0-9y,581939,0.9972843331445576
3,50-59y,0-9y,434118,0.9949915440311861
3,60-69y,0-9y,291643,0.9893796362080282
3,70-79y,0-9y,138686,0.9748105425663087
3,80y+,0-9y,89830,0.9851610642466927
3,0-9y,10-19y,657172,1.020800430962189
3,10-19y,10-19y,1115408,1.0171763218653012
3,20-29y,10-19y,1555553,1.004831257016749
3,30-39y,10-19y,1357838,0.9998110870383812
3,40-49y,10-19y,987327,0.9933521594269501
3,50-59y,10-19y,734327,0.9881020188653472
3,60-69y,10-19y,490136,0.9761773036249125
3,70-79y,10-19y,234077,0.9659330618640395
3,80y+,10-19y,151533,0.975649338318923
3,0-9y,20-29y,907153,0.9981324407109294
3,10-19y,20-29y,1555553,1.0048312570167488
3,20-29y,20-29y,2195020,1.004367477633595
3,30-39y,20-29y,1917331,1.0000297507260882
3,40-49y,20-29y,1401470,0.9987846716598792
3,50-59y,20-29y,1045129,0.9961575361396198
3,60-69y,20-29y,704761,0.9942596236487224
3,70-79y,20-29y,338401,0.9891582161166993
3,80y+,20-29y,217395,0.9914753486107718
3,0-9y,30-39y,794566,0.9965504136807586
3,10-19y,30-39y,1357838,0.999811087038381
3,20-29y,30-39y,1917331,1.000029750726088
3,30-39y,30-39y,1681244,0.9995585542783282
3,40-49y,30-39y,1233981,1.0024395717213361
3,50-59y,30-39y,921692,1.001395442949989
3,60-69y,30-39y,622516,1.001083088779053
3,70-79y,30-39y,299831,0.9990157259156854
3,80y+,30-39y,191383,0.9949411514674306
3,0-9y,40-49y,581939,0.9972843331445574
3,10-19y,40-49y,987327,0.9933521594269499
3,20-29y,40-49y,1401470,0.9987846716598792
3,30-39y,40-49y,1233981,1.0024395717213361
3,40-49y,40-49y,902278,1.0015262449207303
3,50-59y,40-49y,674914,1.0019371193114137
3,60-69y,40-49y,456752,1.0036269185531046
3,70-79y,40-49y,221751,1.0095634408828267
3,80y+,40-49y,141241,1.0032913233487126
3,0-9y,50-59y,434118,0.9949915440311863
3,10-19y,50-59y,734327,0.9881020188653472
3,20-29y,50-59y,1045129,0.9961575361396198
3,30-39y,50-59y,921692,1.0013954429499892
3,40-49y,50-59y,674914,1.0019371193114137
3,50-59y,50-59y,507020,1.006670132964705
3,60-69y,50-59y,344330,1.0118980739361227
3,70-79y,50-59y,167302,1.0186833883199038
3,80y+,50-59y,107253,1.0189333678982986
3,0-9y,60-69y,291643,0.9893796362080282
3,10-19y,60-69y,490136,0.9761773036249125
3,20-29y,60-69y,704761,0.9942596236487224
3,30-39y,60-69y,622516,1.0010830887790532
3,40-49y,60-69y,456752,1.0036269185531046
3,50-59y,60-69y,344330,1.0118980739361227
3,60-69y,60-69y,235766,1.02551707535984
3,70-79y,60-69y,115762,1.0432873146090678
3,80y+,60-69y,73234,1.0297905581157758
3,0-9y,70-79y,138686,0.9748105425663087
3,10-19y,70-79y,234077,0.9659330618640395
3,20-29y,70-79y,338401,0.9891582161166993
3,30-39y,70-79y,299831,0.9990157259156857
3,40-49y,70-79y,221751,1.009563440882827
3,50-59y,70-79y,167302,1.0186833883199036
3,60-69y,70-79y,115762,1.043287314609068
3,70-79y,70-79y,57620,1.0759382424847173
3,80y+,70-79y,36128,1.052582765629397
3,0-9y,80y+,89830,0.9851610642466927
3,10-19y,80y+,151533,0.9756493383189228
3,20-29y,80y+,217395,0.9914753486107718
3,30-39y,80y+,191383,0.9949411514674306
3,40-49y,80y+,141241,1.0032913233487126
3,50-59y,80y+,107253,1.0189333678982986
3,60-69y,80y+,73234,1.0297905581157756
3,70-79y,80y+,36128,1.052582765629397
3,80y+,80y+,23596,1.0726275972636647
