n_mutations,group_1,group_2,n_pairs,RR
2,0-9y,0-9y,240464,1.0071162873903987
2,10-19y,0-9y,456126,1.0164361629238279
2,20-29y,0-9y,585933,0.997015720526898
2,30-39y,0-9y,505195,0.998276302690963
2,40-49y,0-9y,379472,0.9992510944320608
2,50-59y,0-9y,281303,0.995667006383747
2,60-69y,0-9y,189575,0.9862328833760337
2,70-79y,0-9y,85682,0.9782414290128515
2,80y+,0-9y,58167,0.9933735017773154
2,0-9y,10-19y,456126,1.0164361629238279
2,10-19y,10-19y,863112,1.0233593487294472
2,20-29y,10-19y,1107022,1.0022499116227324
2,30-39y,10-19y,947299,0.9959660259309786
2,40-49y,10-19y,708592,0.9927887981356286
2,50-59y,10-19y,526594,0.9917024491982894
2,60-69y,10-19y,354062,0.9800392279725558
2,70-79y,10-19y,159064,0.9662601806761002
2,80y+,10-19y,106645,0.969040952967972
2,0-9y,20-29y,585933,0.997015720526898
2,10-19y,20-29y,1107022,1.0022499116227324
2,20-29y,20-29y,1453352,1.0047299670925705
2,30-39y,20-29y,1246509,1.0007178169218474
2,40-49y,20-29y,933782,0.9989986232289496
2,50-59y,20-29y,692835,0.9963090297942739
2,60-69y,20-29y,471625,0.9968268507812568
2,70-79y,20-29y,213550,0.9905594083210166
2,80y+,20-29y,142697,0.9900912986803483
2,0-9y,30-39y,505195,0.998276302690963
2,10-19y,30-39y,947299,0.9959660259309786
2,20-29y,30-39y,1246509,1.0007178169218474
2,30-39y,30-39y,1074316,1.0015806551034423
2,40-49y,30-39y,808061,1.003924860073459
2,50-59y,30-39y,597942,0.9985296789585898
2,60-69y,30-39y,407898,1.0011799781014268
2,70-79y,30-39y,185539,0.9994333412745198
2,80y+,30-39y,123574,0.99569236309602
2,0-9y,40-49y,379472,0.9992510944320608
2,10-19y,40-49y,708592,0.9927887981356286
2,20-29y,40-49y,933782,0.9989986232289496
2,30-39y,40-49y,808061,1.0039248600734592
2,40-49y,40-49y,604754,1.0012418403823613
2,50-59y,40-49y,450334,1.0021663895909614
2,60-69y,40-49y,306070,1.0011162748392415
2,70-79y,40-49y,140433,1.0080706573956821
2,80y+,40-49y,93151,1.0002044238252392
2,0-9y,50-59y,281303,0.995667006383747
2,10-19y,50-59y,526594,0.9917024491982894
2,20-29y,50-59y,692835,0.9963090297942739
2,30-39y,50-59y,597942,0.9985296789585898
2,40-49y,50-59y,450334,1.0021663895909614
2,50-59y,50-59y,335792,1.0044314377526145
2,60-69y,50-59y,230441,1.0131374409373513
2,70-79y,50-59y,105883,1.0216282504942102
2,80y+,50-59y,70680,1.0200997621410244
2,0-9y,60-69y,189575,0.9862328833760334
2,10-19y,60-69y,354062,0.980039227972556
2,20-29y,60-69y,471625,0.996826850781257
2,30-39y,60-69y,407898,1.0011799781014266
2,40-49y,60-69y,306070,1.0011162748392415
2,50-59y,60-69y,230441,1.0131374409373515
2,60-69y,60-69y,157732,1.0192649403231844
2,70-79y,60-69y,73230,1.0385187741597652
2,80y+,60-69y,48992,1.039273698326484
2,0-9y,70-79y,85682,0.9782414290128515
2,10-19y,70-79y,159064,0.9662601806761002
2,20-29y,70-79y,213550,0.9905594083210166
2,30-39y,70-79y,185539,0.9994333412745198
2,40-49y,70-79y,140433,1.0080706573956821
2,50-59y,70-79y,105883,1.0216282504942102
2,60-69y,70-79y,73230,1.0385187741597652
2,70-79y,70-79y,34164,1.0632908412599051
2,80y+,70-79y,22965,1.069126905579587
2,0-9y,80y+,58167,0.9933735017773154
2,10-19y,80y+,106645,0.969040952967972
2,20-29y,80y+,142697,0.9900912986803483
2,30-39y,80y+,123574,0.9956923630960198
2,40-49y,80y+,93151,1.0002044238252392
2,50-59y,80y+,70680,1.0200997621410244
2,60-69y,80y+,48992,1.039273698326484
2,70-79y,80y+,22965,1.069126905579587
2,80y+,80y+,15370,1.0703261258266656
