n_mutations,group_1,group_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,type,age_decade,i_period
0,No valid vaccination record,Completed primary series + booster,2111,50793,5539,132072,0.9909774184183034,All pairs,10-19y,3
0,No valid vaccination record,No valid vaccination record,19586,50793,50793,132072,1.0026486556025174,All pairs,10-19y,3
0,Completed primary series,Completed primary series,42684,74316,74316,129418,1.0002190992128637,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,Completed primary series + booster,2958,74316,5255,129418,0.980252158486539,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,No valid vaccination record,28674,74316,49847,129418,1.0017552175667555,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,Completed primary series,2958,5255,74316,129418,0.980252158486539,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,Completed primary series + booster,304,5255,5255,129418,1.4246980402878504,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,No valid vaccination record,1993,5255,49847,129418,0.9846689347042292,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,Completed primary series,28674,49847,74316,129418,1.0017552175667552,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,Completed primary series + booster,1993,49847,5255,129418,0.9846689347042292,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,No valid vaccination record,19180,49847,49847,129418,0.9989994182084836,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,Completed primary series,1090,2421,2421,5742,1.0678250561613147,All pairs,10-19y,4
0,Completed primary series,Completed primary series + booster,845,2421,2123,5742,0.9440067800527765,All pairs,10-19y,4
0,Completed primary series,No valid vaccination record,486,2421,1198,5742,0.9621612228559371,All pairs,10-19y,4
0,Completed primary series + booster,Completed primary series,845,2123,2421,5742,0.9440067800527765,All pairs,10-19y,4
0,Completed primary series + booster,Completed primary series + booster,864,2123,2123,5742,1.10072021457562,All pairs,10-19y,4
0,Completed primary series + booster,No valid vaccination record,414,2123,1198,5742,0.9346665859333778,All pairs,10-19y,4
0,No valid vaccination record,Completed primary series,486,1198,2421,5742,0.9621612228559371,All pairs,10-19y,4
0,No valid vaccination record,Completed primary series + booster,414,1198,2123,5742,0.9346665859333778,All pairs,10-19y,4
0,No valid vaccination record,No valid vaccination record,298,1198,1198,5742,1.1922458410093617,All pairs,10-19y,4
0,Completed primary series,Completed primary series,924,2132,2132,5024,1.021285583039118,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,Completed primary series + booster,783,2132,1895,5024,0.9736771498017396,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,No valid vaccination record,425,2132,997,5024,1.0045144815308966,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,Completed primary series,783,1895,2132,5024,0.9736771498017396,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,Completed primary series + booster,736,1895,1895,5024,1.0296959781677932,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,No valid vaccination record,376,1895,997,5024,0.9998459759224904,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,Completed primary series,425,997,2132,5024,1.0045144815308966,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,Completed primary series + booster,376,997,1895,5024,0.9998459759224904,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,No valid vaccination record,196,997,997,5024,0.9906389177562778,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,Completed primary series,18,316,316,18992,3.423489825348502,All pairs,20-29y,1
0,Completed primary series,No valid vaccination record,298,316,18676,18992,0.9589942822440497,All pairs,20-29y,1
0,No valid vaccination record,Completed primary series,298,18676,316,18992,0.9589942822440497,All pairs,20-29y,1
0,No valid vaccination record,No valid vaccination record,18378,18676,18676,18992,1.0006938213113556,All pairs,20-29y,1
0,Completed primary series,Completed primary series,16,302,302,18060,3.1682820928906628,Only pairs in different postal_codes,20-29y,1
0,Completed primary series,No valid vaccination record,286,302,17758,18060,0.9631252848263891,Only pairs in different postal_codes,20-29y,1
0,No valid vaccination record,Completed primary series,286,17758,302,18060,0.9631252848263893,Only pairs in different postal_codes,20-29y,1
0,No valid vaccination record,No valid vaccination record,17472,17758,17758,18060,1.0006271068804162,Only pairs in different postal_codes,20-29y,1
0,Completed primary series,Completed primary series,792,1754,1754,6764,1.7412839718694781,All pairs,20-29y,2
0,Completed primary series,Completed primary series + booster,1,1754,1,6764,3.856328392246294,All pairs,20-29y,2
0,Completed primary series,No valid vaccination record,961,1754,5009,6764,0.7398545787479913,All pairs,20-29y,2
0,Completed primary series + booster,Completed primary series,1,1,1754,6764,3.856328392246294,All pairs,20-29y,2
0,No valid vaccination record,Completed primary series,961,5009,1754,6764,0.7398545787479913,All pairs,20-29y,2
0,No valid vaccination record,No valid vaccination record,4048,5009,5009,6764,1.0912946833451833,All pairs,20-29y,2
0,Completed primary series,Completed primary series,540,1375,1375,5604,1.6006135537190083,Only pairs in different postal_codes,20-29y,2
0,Completed primary series,Completed primary series + booster,1,1375,1,5604,4.075636363636363,Only pairs in different postal_codes,20-29y,2
0,Completed primary series,No valid vaccination record,834,1375,4228,5604,0.803945299733379,Only pairs in different postal_codes,20-29y,2
0,Completed primary series + booster,Completed primary series,1,1,1375,5604,4.075636363636363,Only pairs in different postal_codes,20-29y,2
0,No valid vaccination record,Completed primary series,834,4228,1375,5604,0.8039452997333792,Only pairs in different postal_codes,20-29y,2
0,No valid vaccination record,No valid vaccination record,3394,4228,4228,5604,1.0639960295332553,Only pairs in different postal_codes,20-29y,2
0,Completed primary series,Completed primary series,48252,84125,84125,146544,0.9991557829858543,All pairs,20-29y,3
0,Completed primary series,Completed primary series + booster,8807,84125,15402,146544,0.9960791321557012,All pairs,20-29y,3
0,Completed primary series,No valid vaccination record,27066,84125,47017,146544,1.002794924449729,All pairs,20-29y,3
0,Completed primary series + booster,Completed primary series,8807,15402,84125,146544,0.9960791321557012,All pairs,20-29y,3
0,Completed primary series + booster,Completed primary series + booster,1688,15402,15402,146544,1.0427645198790578,All pairs,20-29y,3
0,Completed primary series + booster,No valid vaccination record,4907,15402,47017,146544,0.9930064417598822,All pairs,20-29y,3
0,No valid vaccination record,Completed primary series,27066,47017,84125,146544,1.0027949244497287,All pairs,20-29y,3
0,No valid vaccination record,Completed primary series + booster,4907,47017,15402,146544,0.9930064417598824,All pairs,20-29y,3
0,No valid vaccination record,No valid vaccination record,15044,47017,47017,146544,0.9972901666350652,All pairs,20-29y,3
0,Completed primary series,Completed primary series,45714,79711,79711,138614,0.9972861898561067,Only pairs in different postal_codes,20-29y,3
0,Completed primary series,Completed primary series + booster,8136,79711,14121,138614,1.001922952081859,Only pairs in different postal_codes,20-29y,3
0,Completed primary series,No valid vaccination record,25861,79711,44782,138614,1.004224164039836,Only pairs in different postal_codes,20-29y,3
0,Completed primary series + booster,Completed primary series,8136,14121,79711,138614,1.001922952081859,Only pairs in different postal_codes,20-29y,3
0,Completed primary series + booster,Completed primary series + booster,1440,14121,14121,138614,1.0010106134953347,Only pairs in different postal_codes,20-29y,3
0,Completed primary series + booster,No valid vaccination record,4545,14121,44782,138614,0.9962585122021193,Only pairs in different postal_codes,20-29y,3
0,No valid vaccination record,Completed primary series,25861,44782,79711,138614,1.0042241640398362,Only pairs in different postal_codes,20-29y,3
0,No valid vaccination record,Completed primary series + booster,4545,44782,14121,138614,0.9962585122021194,Only pairs in different postal_codes,20-29y,3
0,No valid vaccination record,No valid vaccination record,14376,44782,44782,138614,0.9936608728822853,Only pairs in different postal_codes,20-29y,3
0,Completed primary series,Completed primary series,1970,6427,6427,21120,1.007264528397089,All pairs,20-29y,4
0,Completed primary series,Completed primary series + booster,2745,6427,8908,21120,1.0126229229530868,All pairs,20-29y,4
0,Completed primary series,No valid vaccination record,1712,6427,5785,21120,0.9724919409379106,All pairs,20-29y,4
0,Completed primary series + booster,Completed primary series,2745,8908,6427,21120,1.0126229229530868,All pairs,20-29y,4
0,Completed primary series + booster,Completed primary series + booster,4238,8908,8908,21120,1.127961949612554,All pairs,20-29y,4
0,Completed primary series + booster,No valid vaccination record,1925,8908,5785,21120,0.7889347324169199,All pairs,20-29y,4
0,No valid vaccination record,Completed primary series,1712,5785,6427,21120,0.9724919409379108,All pairs,20-29y,4
0,No valid vaccination record,Completed primary series + booster,1925,5785,8908,21120,0.7889347324169198,All pairs,20-29y,4
0,No valid vaccination record,No valid vaccination record,2148,5785,5785,21120,1.3555684873331246,All pairs,20-29y,4
0,Completed primary series,Completed primary series,1732,5696,5696,18684,0.9974193402032572,Only pairs in different postal_codes,20-29y,4
0,Completed primary series,Completed primary series + booster,2480,5696,8028,18684,1.0133143548143297,Only pairs in different postal_codes,20-29y,4
0,Completed primary series,No valid vaccination record,1484,5696,4960,18684,0.981413668901776,Only pairs in different postal_codes,20-29y,4
0,Completed primary series + booster,Completed primary series,2480,8028,5696,18684,1.0133143548143295,Only pairs in different postal_codes,20-29y,4
0,Completed primary series + booster,Completed primary series + booster,3754,8028,8028,18684,1.0883019297928105,Only pairs in different postal_codes,20-29y,4
0,Completed primary series + booster,No valid vaccination record,1794,8028,4960,18684,0.8417890206856647,Only pairs in different postal_codes,20-29y,4
0,No valid vaccination record,Completed primary series,1484,4960,5696,18684,0.981413668901776,Only pairs in different postal_codes,20-29y,4
0,No valid vaccination record,Completed primary series + booster,1794,4960,8028,18684,0.8417890206856647,Only pairs in different postal_codes,20-29y,4
0,No valid vaccination record,No valid vaccination record,1682,4960,4960,18684,1.277416428199792,Only pairs in different postal_codes,20-29y,4
0,Completed primary series,Completed primary series,16,365,365,13312,1.5987389754175267,All pairs,30-39y,1
0,Completed primary series,No valid vaccination record,349,365,12947,13312,0.983120435156608,All pairs,30-39y,1
0,No valid vaccination record,Completed primary series,349,12947,365,13312,0.983120435156608,All pairs,30-39y,1
0,No valid vaccination record,No valid vaccination record,12598,12947,12947,13312,1.0004758663140372,All pairs,30-39y,1
0,Completed primary series,Completed primary series,16,356,356,12630,1.5944956444893321,Only pairs in different postal_codes,30-39y,1
0,Completed primary series,No valid vaccination record,340,356,12274,12630,0.9827570108002116,Only pairs in different postal_codes,30-39y,1
0,No valid vaccination record,Completed primary series,340,12274,356,12630,0.9827570108002116,Only pairs in different postal_codes,30-39y,1
0,No valid vaccination record,No valid vaccination record,11934,12274,12274,12630,1.0005001225480794,Only pairs in different postal_codes,30-39y,1
0,Completed primary series,Completed primary series,704,1785,1785,6010,1.3279162645450338,All pairs,30-39y,2
0,Completed primary series,No valid vaccination record,1081,1785,4225,6010,0.861460229062039,All pairs,30-39y,2
0,No valid vaccination record,Completed primary series,1081,4225,1785,6010,0.8614602290620389,All pairs,30-39y,2
0,No valid vaccination record,No valid vaccination record,3144,4225,4225,6010,1.0585310038163929,All pairs,30-39y,2
0,Completed primary series,Completed primary series,598,1565,1565,5164,1.2608363870203838,Only pairs in different postal_codes,30-39y,2
0,Completed primary series,No valid vaccination record,967,1565,3599,5164,0.8865771198424838,Only pairs in different postal_codes,30-39y,2
0,No valid vaccination record,Completed primary series,967,3599,1565,5164,0.8865771198424838,Only pairs in different postal_codes,30-39y,2
0,No valid vaccination record,No valid vaccination record,2632,3599,3599,5164,1.0493211468314845,Only pairs in different postal_codes,30-39y,2
0,Completed primary series,Completed primary series,27298,51077,51077,95546,0.9997526808577081,All pairs,30-39y,3
0,Completed primary series,Completed primary series + booster,8061,51077,15136,95546,0.9962421931593476,All pairs,30-39y,3
0,Completed primary series,No valid vaccination record,15718,51077,29333,95546,1.002369702525175,All pairs,30-39y,3
0,Completed primary series + booster,Completed primary series,8061,15136,51077,95546,0.9962421931593477,All pairs,30-39y,3
0,Completed primary series + booster,Completed primary series + booster,2402,15136,15136,95546,1.001759051268499,All pairs,30-39y,3
0,Completed primary series + booster,No valid vaccination record,4673,15136,29333,95546,1.0056357174513346,All pairs,30-39y,3
0,No valid vaccination record,Completed primary series,15718,29333,51077,95546,1.002369702525175,All pairs,30-39y,3
0,No valid vaccination record,Completed primary series + booster,4673,29333,15136,95546,1.0056357174513346,All pairs,30-39y,3
0,No valid vaccination record,No valid vaccination record,8942,29333,29333,95546,0.9929656184085581,All pairs,30-39y,3
0,Completed primary series,Completed primary series,27046,50586,50586,94526,0.9990647702470712,Only pairs in different postal_codes,30-39y,3
0,Completed primary series,Completed primary series + booster,7999,50586,15001,94526,0.9964062122528591,Only pairs in different postal_codes,30-39y,3
0,Completed primary series,No valid vaccination record,15541,50586,28939,94526,1.0034977000682994,Only pairs in different postal_codes,30-39y,3
0,Completed primary series + booster,Completed primary series,7999,15001,50586,94526,0.9964062122528591,Only pairs in different postal_codes,30-39y,3
0,Completed primary series + booster,Completed primary series + booster,2364,15001,15001,94526,0.9930207661510876,Only pairs in different postal_codes,30-39y,3
