,origin,destination,mean_migration,upper_hpd_95,lower_hpd_95,upper_hpd_50,lower_hpd_50,instant_rates,instant_rates_upper_95hpd,instant_rates_lower_95hpd
0,0,1,0.3666062500187654,0.6180842249276874,0.16608309602057592,0.4064576373238981,0.2574211376961995,0.003364189524199198,0.005671895867754768,0.0015240738851298665
0,0,2,0.2819630944325455,0.47103432325811384,0.11055677757159235,0.30493519873593794,0.18291447686562815,0.002587455310574231,0.0043224815064175585,0.001014532493421849
0,0,3,0.567731283218722,0.9835885162687533,0.25836665019142,0.6163885902223097,0.38113115026377076,0.005209828352535801,0.009025973186176166,0.0023709207847163617
0,0,4,0.8182090381256371,1.3895041159525645,0.38999844905078684,0.9614181640951651,0.6222593581647545,0.007508356102839144,0.012750887881698715,0.003578849778702445
0,1,2,1.1168012881979157,1.8141978358657815,0.46683155687972644,1.2075546849468686,0.7576491451724817,0.010248410097141775,0.016648121394362777,0.004283914508113237
0,1,3,0.7591479839138364,1.238798925203742,0.3227982394060934,0.8089834379998333,0.5016681050349964,0.006966377945463676,0.011367930488218164,0.0029621820560460648
0,1,4,0.9290770872699111,1.5806526862481398,0.4361706774612752,1.0766645281993203,0.6938238198115746,0.008525745003002403,0.014504976956069685,0.004002552667345359
0,2,3,1.0572272054866756,1.7505628393511545,0.4623162980272652,1.1877196962258343,0.7563237727935977,0.009701724095578321,0.016064170115201545,0.00424247989937506
0,2,4,1.780146418724397,2.971732961717043,0.8295563696146929,1.973527312957015,1.2583391010596214,0.016335646031966966,0.02727032858281656,0.007612485734347454
0,3,4,2.2978251894460575,3.7531699734367128,0.9474367116432733,2.487526699322771,1.5852771418268183,0.021086163780295,0.03444124344996428,0.008694223461790097
