,origin,destination,mean_migration,upper_hpd_95,lower_hpd_95,upper_hpd_50,lower_hpd_50,instant_rates,instant_rates_upper_95hpd,instant_rates_lower_95hpd
0,0,1,0.9651054638100356,2.947298899295654,3.145722753525926e-05,0.6523678772614654,3.145722753525926e-05,0.0052143755379045606,0.01592398329474724,1.6996049022725259e-07
0,0,2,0.715416113909535,1.2906594669324547,0.2330868547795001,0.8307012367033837,0.47691808719213924,0.0038653270794526307,0.006973313699384685,0.0012593467132298497
0,0,3,0.25139006049632306,0.617805155197224,0.008796420017269452,0.1942271973518922,0.06733372983970552,0.0013582372404663862,0.003337944099636582,4.752624358596745e-05
0,0,4,0.2631495932146197,0.5465906083343568,0.04258096478905227,0.2662509459750536,0.10757750549684927,0.0014217729078549028,0.0029531784910794383,0.00023006101353925497
0,1,2,1.0481928957292064,1.8228567359162693,0.3172555231138793,1.1787592475302247,0.6709100667290805,0.005663289246046112,0.009848726309498186,0.0017141022416962974
0,1,3,0.9132851833963167,2.850394667612865,4.088020209693762e-06,0.6019862017083084,4.088020209693762e-06,0.004934395356785373,0.015400418695691536,2.208719500533509e-08
0,1,4,0.9360876599944568,2.9259372302973263,3.632418814453525e-05,0.629959557724316,3.632418814453525e-05,0.005057595028360735,0.01580856817334283,1.9625622815082222e-07
0,2,3,1.9865512933495026,3.4994331690904494,0.6848173593820794,2.2103906029714406,1.251684892178202,0.010733152859730602,0.018907113675846673,0.0037000048394681766
0,2,4,2.3598159640030514,4.142436676845897,0.7917771826032315,2.569039391626159,1.4270770127207077,0.012749867344110488,0.022381202143225594,0.004277898869350854
0,3,4,0.6083351862996418,1.1857059960850238,0.14365091725407833,0.6484978719381214,0.31196815984702064,0.0032867787337610976,0.006406259805767165,0.0007761326166055731
