n_mutations,group_1,group_2,n_pairs,RR
2,Adams County,Adams County,10,9.50434471020335
2,Asotin County,Adams County,2,2.333058460049917
2,Benton County,Adams County,47,2.3774682658346618
2,Chelan County,Adams County,18,1.0576079817380528
2,Clallam County,Adams County,31,1.0593580670959706
2,Clark County,Adams County,42,1.2203336636979494
2,Columbia County,Adams County,0,0
2,Cowlitz County,Adams County,5,0.544244033408603
2,Douglas County,Adams County,7,0.7839707388132965
2,Ferry County,Adams County,1,1.3673703474585008
2,Franklin County,Adams County,209,15.138791942826401
2,Garfield County,Adams County,1,1.3847890779993737
2,Grant County,Adams County,8,2.8361925511083785
2,Grays Harbor County,Adams County,12,0.5148128110010991
2,Island County,Adams County,5,0.35879509075980137
2,Jefferson County,Adams County,2,1.4646695427092322
2,King County,Adams County,707,0.7753146656588032
2,Kitsap County,Adams County,27,0.8482527223206308
2,Kittitas County,Adams County,2,2.507995792310329
2,Klickitat County,Adams County,4,2.5901639344262297
2,Lewis County,Adams County,6,0.9849712592546747
2,Lincoln County,Adams County,0,0
2,Mason County,Adams County,66,10.99659693551452
2,Okanogan County,Adams County,4,1.7511151089526433
2,Pacific County,Adams County,1,0.1356492810768377
2,Pend Oreille County,Adams County,0,0
2,Pierce County,Adams County,112,0.8403080358566647
2,San Juan County,Adams County,0,0
2,Skagit County,Adams County,28,0.71967285791461455
2,Skamania County,Adams County,2,2.288546160483175
2,Snohomish County,Adams County,162,0.8380574316837497
2,Spokane County,Adams County,34,1.0242843521475256
2,Stevens County,Adams County,1,1.0071193294540897
2,Thurston County,Adams County,41,1.0080589525261974
2,Wahkiakum County,Adams County,0,0
2,Walla Walla County,Adams County,14,2.6095950217062462
2,Whatcom County,Adams County,182,0.9407742062471255
2,Whitman County,Adams County,10,1.48151199486134
2,Yakima County,Adams County,27,0.7266574940908419
2,Adams County,Asotin County,2,2.333058460049917
2,Asotin County,Asotin County,0,0
2,Benton County,Asotin County,15,0.931282787464667
2,Chelan County,Asotin County,23,1.658645202748142
2,Clallam County,Asotin County,23,0.9646779828231626
2,Clark County,Asotin County,39,1.3908085589429058
2,Columbia County,Asotin County,0,0
2,Cowlitz County,Asotin County,10,1.3359712691317818
2,Douglas County,Asotin County,12,1.6495158977043198
2,Ferry County,Asotin County,1,1.6782613922528886
2,Franklin County,Asotin County,12,1.0668408250603068
2,Garfield County,Asotin County,1,1.6996405182688488
2,Grant County,Asotin County,4,1.7405205796540353
2,Grays Harbor County,Asotin County,6,0.3159314031294471
2,Island County,Asotin County,9,0.7926700395457986
2,Jefferson County,Asotin County,3,2.6965244096155883
2,King County,Asotin County,603,0.8116136521228577
2,Kitsap County,Asotin County,22,0.8483159351324886
2,Kittitas County,Asotin County,0,0
2,Klickitat County,Asotin County,2,1.5895372233400404
2,Lewis County,Asotin County,6,1.2089184469725383
2,Lincoln County,Asotin County,0,0
2,Mason County,Asotin County,4,0.8179896507120124
2,Okanogan County,Asotin County,8,4.298511937469266
2,Pacific County,Asotin County,13,2.164383901286364
2,Pend Oreille County,Asotin County,0,0
2,Pierce County,Asotin County,138,1.270787770523391
2,San Juan County,Asotin County,1,2.912344462408832
2,Skagit County,Asotin County,37,1.1672187699865515
2,Skamania County,Asotin County,1,1.4044397966747855
2,Snohomish County,Asotin County,159,1.0095534975160454
2,Spokane County,Asotin County,41,1.5159990322647423
2,Stevens County,Asotin County,1,1.2361021951046172
2,Thurston County,Asotin County,45,1.3579633040606625
2,Wahkiakum County,Asotin County,0,0
2,Walla Walla County,Asotin County,5,1.1439012383161902
2,Whatcom County,Asotin County,176,1.1166064384404382
2,Whitman County,Asotin County,6,1.0910128573827977
2,Yakima County,Asotin County,63,2.0810378938751812
2,Adams County,Benton County,47,2.3774682658346618
2,Asotin County,Benton County,15,0.931282787464667
2,Benton County,Benton County,726,1.95455629326766
2,Chelan County,Benton County,393,1.2289648356893874
2,Clallam County,Benton County,560,1.0185064951064549
2,Clark County,Benton County,713,1.102588663232378
2,Columbia County,Benton County,2,0.3608947722182764
2,Cowlitz County,Benton County,207,1.1991919630962824
2,Douglas County,Benton County,275,1.6391896326688133
2,Ferry County,Benton County,19,1.382720654407052
2,Franklin County,Benton County,1071,4.128849917467976
2,Garfield County,Benton County,4,0.29480735373881495
2,Grant County,Benton County,51,0.9623002370104735
2,Grays Harbor County,Benton County,357,0.8151377519464673
2,Island County,Benton County,209,0.7982105535301375
2,Jefferson County,Benton County,44,1.7149719575812497
2,King County,Benton County,15232,0.8890172909765212
2,Kitsap County,Benton County,589,0.9848531636244873
2,Kittitas County,Benton County,13,0.8676305825247604
2,Klickitat County,Benton County,25,0.861592601209865
2,Lewis County,Benton County,155,1.3542495428473926
2,Lincoln County,Benton County,2,2.204035930333045
2,Mason County,Benton County,265,2.3499300607919142
2,Okanogan County,Benton County,17,0.3960940483910884
2,Pacific County,Benton County,102,0.7363975920719674
2,Pend Oreille County,Benton County,0,0
2,Pierce County,Benton County,2797,1.116882926395556
2,San Juan County,Benton County,5,0.6314427631240648
2,Skagit County,Benton County,811,1.1094114357766247
2,Skamania County,Benton County,19,1.1571188634248488
2,Snohomish County,Benton County,3273,0.9011549321387406
2,Spokane County,Benton County,665,1.0662473331867177
2,Stevens County,Benton County,36,1.9296481335631528
2,Thurston County,Benton County,610,0.7982273439042794
2,Wahkiakum County,Benton County,2,0.3793832339097865
2,Walla Walla County,Benton County,95,0.9424609754612421
2,Whatcom County,Benton County,3163,0.8701775951052774
2,Whitman County,Benton County,135,1.0644705046838472
2,Yakima County,Benton County,1680,2.4064118968263495
2,Adams County,Chelan County,18,1.0576079817380528
2,Asotin County,Chelan County,23,1.658645202748142
2,Benton County,Chelan County,393,1.2289648356893874
2,Chelan County,Chelan County,408,1.4819802406085545
2,Clallam County,Chelan County,492,1.039384467582321
2,Clark County,Chelan County,650,1.1675424866472268
2,Columbia County,Chelan County,2,0.4191948465628409
2,Cowlitz County,Chelan County,193,1.2987065073953412
2,Douglas County,Chelan County,254,1.7585939116816256
2,Ferry County,Chelan County,19,1.6060896892484318
