n_mutations,group_1,group_2,n_pairs,RR
4,Adams County,Adams County,606,1.3616693561651612
4,Asotin County,Adams County,217,1.128418454524366
4,Benton County,Adams County,5449,1.3386002817764668
4,Chelan County,Adams County,477,1.2979946360344634
4,Clallam County,Adams County,483,0.7983399309340398
4,Clark County,Adams County,207,0.9559638433987392
4,Columbia County,Adams County,0,0
4,Cowlitz County,Adams County,482,0.8780319266698671
4,Douglas County,Adams County,242,1.260529584137479
4,Ferry County,Adams County,25,1.2206537657877061
4,Franklin County,Adams County,4375,1.3319153934207417
4,Garfield County,Adams County,26,1.0251355755511242
4,Grant County,Adams County,552,1.0847095335375827
4,Grays Harbor County,Adams County,160,0.6874483673621067
4,Island County,Adams County,256,0.9404168145107449
4,Jefferson County,Adams County,11,0.3313715958300155
4,King County,Adams County,6404,0.8066974687357591
4,Kitsap County,Adams County,101,0.6481623695722454
4,Kittitas County,Adams County,416,1.1667348791535588
4,Klickitat County,Adams County,141,0.9125925207003269
4,Lewis County,Adams County,1352,0.8779026867105154
4,Lincoln County,Adams County,91,1.4301847846529283
4,Mason County,Adams County,104,0.6980296152237306
4,Okanogan County,Adams County,241,1.1684186353530837
4,Pacific County,Adams County,120,0.7982264861912698
4,Pend Oreille County,Adams County,161,1.186931533174222
4,Pierce County,Adams County,1378,0.844513031546825
4,San Juan County,Adams County,1,0.10444156902174301
4,Skagit County,Adams County,940,0.8985109456685759
4,Skamania County,Adams County,2,0.5580995298189736
4,Snohomish County,Adams County,2058,0.8169160791458993
4,Spokane County,Adams County,4667,1.0430951235516515
4,Stevens County,Adams County,145,1.035930226659465
4,Thurston County,Adams County,1183,0.8545713144654618
4,Wahkiakum County,Adams County,22,0.9734548990902371
4,Walla Walla County,Adams County,379,1.329924280577927
4,Whatcom County,Adams County,2149,0.8984335120682365
4,Whitman County,Adams County,404,0.9181020100491338
4,Yakima County,Adams County,4086,1.048044088186182
4,Adams County,Asotin County,217,1.128418454524366
4,Asotin County,Asotin County,120,1.4441193886731887
4,Benton County,Asotin County,1699,0.9659149536120266
4,Chelan County,Asotin County,158,0.9949998428815418
4,Clallam County,Asotin County,258,0.986897011467342
4,Clark County,Asotin County,85,0.9084508872304284
4,Columbia County,Asotin County,0,0
4,Cowlitz County,Asotin County,237,0.9991323529911267
4,Douglas County,Asotin County,87,1.0487412152570204
4,Ferry County,Asotin County,8,0.9039697133937299
4,Franklin County,Asotin County,1385,0.9757976340972236
4,Garfield County,Asotin County,6,0.5474829694635254
4,Grant County,Asotin County,257,1.1687426947100379
4,Grays Harbor County,Asotin County,111,1.1037087549614812
4,Island County,Asotin County,145,1.2327069060976714
4,Jefferson County,Asotin County,21,1.464041189397616
4,King County,Asotin County,2800,0.8162605524945864
4,Kitsap County,Asotin County,36,0.5346583416989472
4,Kittitas County,Asotin County,141,0.9151860037511296
4,Klickitat County,Asotin County,95,1.422960367638396
4,Lewis County,Asotin County,860,1.2923482059709726
4,Lincoln County,Asotin County,28,1.0184042403202946
4,Mason County,Asotin County,64,0.9941041572267931
4,Okanogan County,Asotin County,143,1.6044599335851357
4,Pacific County,Asotin County,60,0.9236502348292391
4,Pend Oreille County,Asotin County,111,1.8938002831328278
4,Pierce County,Asotin County,611,0.86658218101722
4,San Juan County,Asotin County,2,0.4834090645784546
4,Skagit County,Asotin County,373,0.8251174212775861
4,Skamania County,Asotin County,0,0
4,Snohomish County,Asotin County,897,0.8240165290926252
4,Spokane County,Asotin County,2289,1.1839771296193777
4,Stevens County,Asotin County,72,1.1904369703807411
4,Thurston County,Asotin County,763,1.2755559429680718
4,Wahkiakum County,Asotin County,9,0.9216097703929448
4,Walla Walla County,Asotin County,124,1.006979888240084
4,Whatcom County,Asotin County,1066,1.031378653832606
4,Whitman County,Asotin County,269,1.4147290115815454
4,Yakima County,Asotin County,1726,1.0245505437293323
4,Adams County,Benton County,5449,1.3386002817764666
4,Asotin County,Benton County,1699,0.9659149536120268
4,Benton County,Benton County,51166,1.3742021860865532
4,Chelan County,Benton County,3083,0.9171980185403308
4,Clallam County,Benton County,4074,0.7362016906320067
4,Clark County,Benton County,1599,0.8073366148471658
4,Columbia County,Benton County,1,1.6423586316418735
4,Cowlitz County,Benton County,3578,0.7125882718746891
4,Douglas County,Benton County,1563,0.8900854858724856
4,Ferry County,Benton County,153,0.8167308904914626
4,Franklin County,Benton County,41647,1.3861727855866792
4,Garfield County,Benton County,278,1.198361416263624
4,Grant County,Benton County,5296,1.1377777073134248
4,Grays Harbor County,Benton County,1652,0.7760062330457742
4,Island County,Benton County,1933,0.7763317333625062
4,Jefferson County,Benton County,59,0.19431649585602379
4,King County,Benton County,62280,0.8577150672190842
4,Kitsap County,Benton County,732,0.5135805703219016
4,Kittitas County,Benton County,2862,0.8775735887778651
4,Klickitat County,Benton County,1098,0.776953803335966
4,Lewis County,Benton County,13354,0.9480169947097679
4,Lincoln County,Benton County,582,1.0000202862586614
4,Mason County,Benton County,1039,0.762414454513027
4,Okanogan County,Benton County,2043,1.0828912972226392
4,Pacific County,Benton County,1164,0.8465116371503206
4,Pend Oreille County,Benton County,986,0.7947156604607659
4,Pierce County,Benton County,12771,0.8556912818175589
4,San Juan County,Benton County,42,0.4795763327621693
4,Skagit County,Benton County,6767,0.707174772383725
4,Skamania County,Benton County,12,0.36609851850840525
4,Snohomish County,Benton County,20010,0.8683888266623947
4,Spokane County,Benton County,37568,0.9179927553639514
4,Stevens County,Benton County,967,0.7553079249196377
4,Thurston County,Benton County,11127,0.8787730275434168
4,Wahkiakum County,Benton County,121,0.5853472589945999
4,Walla Walla County,Benton County,3366,1.2913289311157548
4,Whatcom County,Benton County,16213,0.7410507900018004
4,Whitman County,Benton County,3341,0.8300822230319449
4,Yakima County,Benton County,45227,1.268276763582352
4,Adams County,Chelan County,477,1.2979946360344634
4,Asotin County,Chelan County,158,0.9949998428815416
4,Benton County,Chelan County,3083,0.9171980185403308
4,Chelan County,Chelan County,564,1.8586135611989163
4,Clallam County,Chelan County,534,1.068900935890782
4,Clark County,Chelan County,171,0.9563628784869292
4,Columbia County,Chelan County,0,0
4,Cowlitz County,Chelan County,443,0.9772877943312266
4,Douglas County,Chelan County,341,2.151035286471784
4,Ferry County,Chelan County,18,1.064340212090403
4,Franklin County,Chelan County,2656,0.9792241834562339
4,Garfield County,Chelan County,29,1.3847183074280074
4,Grant County,Chelan County,482,1.1470355987617877
4,Grays Harbor County,Chelan County,195,1.0146358252194954
4,Island County,Chelan County,250,1.1121821176133957
4,Jefferson County,Chelan County,26,0.9485307638794375
4,King County,Chelan County,5991,0.9139326012236264
4,Kitsap County,Chelan County,151,1.1735318094986413
4,Kittitas County,Chelan County,436,1.480883242476193
4,Klickitat County,Chelan County,131,1.026796943083975
4,Lewis County,Chelan County,1000,0.7863667926275799
4,Lincoln County,Chelan County,60,1.1419773504904878
4,Mason County,Chelan County,130,1.0566699104651414
4,Okanogan County,Chelan County,134,0.7867589820149848
4,Pacific County,Chelan County,113,0.9102879850825499
4,Pend Oreille County,Chelan County,101,0.9017302614801211
4,Pierce County,Chelan County,1329,0.9863648736130459
4,San Juan County,Chelan County,8,1.0118563314118112
4,Skagit County,Chelan County,925,1.0707614573383577
4,Skamania County,Chelan County,2,0.6758761718331215
4,Snohomish County,Chelan County,2075,0.9974833468393637
4,Spokane County,Chelan County,4182,1.1319457718931327
