n_mutations,group_1,group_2,n_pairs,RR
6,Adams County,Benton County,24,1.0038142580327858
6,Asotin County,Benton County,28,8.674339760793659
6,Benton County,Benton County,1370,1.6883307076443723
6,Chelan County,Benton County,136,1.5596664729097611
6,Clallam County,Benton County,87,1.550218111894543
6,Clark County,Benton County,196,1.2513437830024963
6,Cowlitz County,Benton County,136,0.7608934580131441
6,Douglas County,Benton County,59,2.20126295246766
6,Ferry County,Benton County,9,6.4172411495667365
6,Franklin County,Benton County,1384,2.4844242430068157
6,Grant County,Benton County,115,3.9314148595138683
6,Grays Harbor County,Benton County,137,0.8863797007683281
6,Island County,Benton County,110,0.8187697904169655
6,Jefferson County,Benton County,50,1.3762465700663957
6,King County,Benton County,20128,0.9186479309364298
6,Kitsap County,Benton County,159,0.9810974449818376
6,Kittitas County,Benton County,38,0.5960147157069665
6,Klickitat County,Benton County,25,1.4679963414041557
6,Lewis County,Benton County,78,0.8430735485234453
6,Lincoln County,Benton County,44,1.2299379427918824
6,Mason County,Benton County,86,1.289015406085811
6,Okanogan County,Benton County,27,0.9633507365116072
6,Pacific County,Benton County,48,0.5181910661510271
6,Pend Oreille County,Benton County,17,1.8902269722733709
6,Pierce County,Benton County,3762,0.9641018486153354
6,San Juan County,Benton County,4,0.4977361556450655
6,Skagit County,Benton County,500,0.913393412911085
6,Skamania County,Benton County,12,13.821750168297589
6,Snohomish County,Benton County,3606,0.8904231637186182
6,Spokane County,Benton County,699,1.6011198278940413
6,Stevens County,Benton County,13,0.5242091064726868
6,Thurston County,Benton County,323,0.7924726767802935
6,Wahkiakum County,Benton County,11,3.229591951089142
6,Walla Walla County,Benton County,28,5.071690585947906
6,Whatcom County,Benton County,888,0.7319053042275707
6,Whitman County,Benton County,339,3.4006505689865714
6,Yakima County,Benton County,1775,1.7453423799003307
6,Adams County,Chelan County,2,0.7784451008329732
6,Asotin County,Chelan County,0,0
6,Benton County,Chelan County,136,1.5596664729097611
6,Chelan County,Chelan County,16,1.7075313521462614
6,Clallam County,Chelan County,7,1.1607200055657065
6,Clark County,Chelan County,21,1.2476585278700167
6,Cowlitz County,Chelan County,22,1.1454166672363615
6,Douglas County,Chelan County,15,5.207952896353487
6,Ferry County,Chelan County,0,0
6,Franklin County,Chelan County,118,1.9711857520533158
6,Grant County,Chelan County,4,1.2725266945123488
6,Grays Harbor County,Chelan County,11,0.6622893865217302
6,Island County,Chelan County,16,1.108268484897582
6,Jefferson County,Chelan County,7,1.7929994693818299
6,King County,Chelan County,2433,1.033347664206948
6,Kitsap County,Chelan County,16,0.9187363058182563
6,Kittitas County,Chelan County,0,0
6,Klickitat County,Chelan County,1,0.546437933525891
6,Lewis County,Chelan County,5,0.5029174917556624
6,Lincoln County,Chelan County,1,0.2601275788097739
6,Mason County,Chelan County,12,1.673773850439666
6,Okanogan County,Chelan County,5,1.6601470180592004
6,Pacific County,Chelan County,2,0.20092526755458137
6,Pend Oreille County,Chelan County,2,2.0694307878579536
6,Pierce County,Chelan County,401,0.9563224976499279
6,San Juan County,Chelan County,0,0
6,Skagit County,Chelan County,16,0.27199675910357485
6,Skamania County,Chelan County,0,0
6,Snohomish County,Chelan County,369,0.8479162703270493
6,Spokane County,Chelan County,27,0.5755277913914272
6,Stevens County,Chelan County,0,0
6,Thurston County,Chelan County,48,1.0959200895226782
6,Wahkiakum County,Chelan County,0,0
6,Walla Walla County,Chelan County,0,0
6,Whatcom County,Chelan County,42,0.32214181031883593
6,Whitman County,Chelan County,23,2.14706910236446
6,Yakima County,Chelan County,139,1.271899957566667
6,Adams County,Clallam County,2,1.2095079174782848
6,Asotin County,Clallam County,0,0
6,Benton County,Clallam County,87,1.5502181118945433
6,Chelan County,Clallam County,7,1.1607200055657065
6,Clallam County,Clallam County,8,2.0611051223668033
6,Clark County,Clallam County,56,5.169460218079447
6,Cowlitz County,Clallam County,22,1.7796894429055243
6,Douglas County,Clallam County,1,0.5394566043902317
6,Ferry County,Clallam County,0,0
6,Franklin County,Clallam County,53,1.3756315872502183
6,Grant County,Clallam County,2,0.9885932293543971
6,Grays Harbor County,Clallam County,14,1.3096760080083172
6,Island County,Clallam County,1,0.10762315686592194
6,Jefferson County,Clallam County,5,1.9899073274688694
6,King County,Clallam County,1183,0.780674194265329
6,Kitsap County,Clallam County,11,0.98139605337146
6,Kittitas County,Clallam County,2,0.45356546905435685
6,Klickitat County,Clallam County,0,0
6,Lewis County,Clallam County,6,0.9376887656677174
