n_mutations,group_1,group_2,n_pairs,RR
1,Adams County,Adams County,188,1.3760464690937002
1,Asotin County,Adams County,23,0.8698377349241438
1,Benton County,Adams County,1057,1.060837972495494
1,Chelan County,Adams County,623,1.0792245856583766
1,Clallam County,Adams County,946,1.0420594144254145
1,Clark County,Adams County,609,1.0694221635707617
1,Columbia County,Adams County,11,0.7683151532205287
1,Cowlitz County,Adams County,494,0.9527566253359641
1,Douglas County,Adams County,480,1.2522341869596747
1,Ferry County,Adams County,5,1.0688455754301385
1,Franklin County,Adams County,576,1.0730904118939728
1,Garfield County,Adams County,0,0
1,Grant County,Adams County,565,1.0633229340662063
1,Grays Harbor County,Adams County,810,0.9244236808619376
1,Island County,Adams County,208,0.959197059398043
1,Jefferson County,Adams County,40,0.8134205232896071
1,King County,Adams County,14799,0.9959493080631155
1,Kitsap County,Adams County,712,0.9881203366156827
1,Kittitas County,Adams County,146,1.0502420316562637
1,Klickitat County,Adams County,47,0.8155284943225296
1,Lewis County,Adams County,639,0.9917532111248907
1,Lincoln County,Adams County,10,0.972559421843107
1,Mason County,Adams County,150,0.9453368254229558
1,Okanogan County,Adams County,204,1.1992340586912096
1,Pacific County,Adams County,288,0.8273396941266065
1,Pend Oreille County,Adams County,29,0.8973013700868766
1,Pierce County,Adams County,3382,0.9950142478602843
1,San Juan County,Adams County,24,0.9629898532003728
1,Skagit County,Adams County,908,1.0620575087817066
1,Skamania County,Adams County,0,0
1,Snohomish County,Adams County,2525,0.9797401046296809
1,Spokane County,Adams County,1427,1.0679649809186726
1,Stevens County,Adams County,65,1.2414769913930817
1,Thurston County,Adams County,3839,0.9932511730013536
1,Wahkiakum County,Adams County,0,0
1,Walla Walla County,Adams County,180,0.8755872085014733
1,Whatcom County,Adams County,2091,1.0199938115074207
1,Whitman County,Adams County,419,0.9622628107336461
1,Yakima County,Adams County,2486,0.9144775847043974
1,Adams County,Asotin County,23,0.8698377349241438
1,Asotin County,Asotin County,10,1.9540945126536486
1,Benton County,Asotin County,226,1.171973159930838
1,Chelan County,Asotin County,96,0.8592710376738804
1,Clallam County,Asotin County,137,0.7797530270608891
1,Clark County,Asotin County,103,0.9345537181635278
1,Columbia County,Asotin County,3,1.082687506568724
1,Cowlitz County,Asotin County,89,0.8869113083180646
1,Douglas County,Asotin County,66,0.889658661792931
1,Ferry County,Asotin County,1,1.1045366134201822
1,Franklin County,Asotin County,128,1.2321368822724112
1,Garfield County,Asotin County,1,1550.7694052419354
1,Grant County,Asotin County,124,1.205795268567057
1,Grays Harbor County,Asotin County,147,0.8668391850794523
1,Island County,Asotin County,35,0.8339647708843745
1,Jefferson County,Asotin County,6,0.6304367796904677
1,King County,Asotin County,3004,1.0445757741853459
1,Kitsap County,Asotin County,143,1.0254182405200927
1,Kittitas County,Asotin County,36,1.338055714802619
1,Klickitat County,Asotin County,10,0.8965539719268865
1,Lewis County,Asotin County,103,0.8259906646529322
1,Lincoln County,Asotin County,4,2.010070518784103
1,Mason County,Asotin County,33,1.0745940065301194
1,Okanogan County,Asotin County,27,0.8201111339052445
1,Pacific County,Asotin County,78,1.1577669114625322
1,Pend Oreille County,Asotin County,9,1.4388582110492185
1,Pierce County,Asotin County,615,0.9349017423468634
1,San Juan County,Asotin County,4,0.8292884520010351
1,Skagit County,Asotin County,162,0.9790668741881929
1,Skamania County,Asotin County,1,64.61539188508064
1,Snohomish County,Asotin County,548,1.0986648214780799
1,Spokane County,Asotin County,252,0.9744705911771823
1,Stevens County,Asotin County,10,0.986871200993977
1,Thurston County,Asotin County,672,0.8983496535212995
1,Wahkiakum County,Asotin County,0,0
1,Walla Walla County,Asotin County,54,1.3572374049119045
1,Whatcom County,Asotin County,322,0.8115859738716462
1,Whitman County,Asotin County,90,1.0679657997488212
1,Yakima County,Asotin County,564,1.0719788119666378
1,Adams County,Benton County,1057,1.060837972495494
1,Asotin County,Benton County,226,1.171973159930838
1,Benton County,Benton County,9288,1.2781890560373876
1,Chelan County,Benton County,4565,1.0843347703155517
1,Clallam County,Benton County,7267,1.0976283707582364
1,Clark County,Benton County,4167,1.0033540473173874
1,Columbia County,Benton County,112,1.0726636279351582
1,Cowlitz County,Benton County,3203,0.847053391636616
1,Douglas County,Benton County,2957,1.0577778335585235
1,Ferry County,Benton County,26,0.7621090623739045
1,Franklin County,Benton County,4795,1.2249017667207225
1,Garfield County,Benton County,0,0
1,Grant County,Benton County,4219,1.0887422511499987
1,Grays Harbor County,Benton County,5877,0.9196880692095185
1,Island County,Benton County,1558,0.9851690861767488
1,Jefferson County,Benton County,295,0.8225758766594146
1,King County,Benton County,105118,0.9700201857260609
1,Kitsap County,Benton County,5104,0.9712685541920998
1,Kittitas County,Benton County,973,0.9597280721724156
1,Klickitat County,Benton County,385,0.916011297147105
1,Lewis County,Benton County,4388,0.9338308014190859
1,Lincoln County,Benton County,76,1.0135112093268
1,Mason County,Benton County,1180,1.0197087427181237
1,Okanogan County,Benton County,1346,1.0849698382055601
1,Pacific County,Benton County,2240,0.8823445560721258
1,Pend Oreille County,Benton County,244,1.0352112377153162
1,Pierce County,Benton County,23537,0.9495232911614456
1,San Juan County,Benton County,177,0.9738286655307192
1,Skagit County,Benton County,6493,1.0413732235407536
1,Skamania County,Benton County,0,0
1,Snohomish County,Benton County,17956,0.955339904506292
1,Spokane County,Benton County,9744,0.9999289283739243
1,Stevens County,Benton County,430,1.1261405389030206
1,Thurston County,Benton County,28151,0.9986967113957256
1,Wahkiakum County,Benton County,0,0
1,Walla Walla County,Benton County,2016,1.344671652613821
1,Whatcom County,Benton County,15535,1.0390909925250293
1,Whitman County,Benton County,2982,0.9390444198424107
1,Yakima County,Benton County,21359,1.07733724597587
1,Adams County,Chelan County,623,1.0792245856583766
1,Asotin County,Chelan County,96,0.8592710376738804
1,Benton County,Chelan County,4565,1.0843347703155517
1,Chelan County,Chelan County,2314,0.9487147899293243
1,Clallam County,Chelan County,3579,0.9330643065727521
1,Clark County,Chelan County,2570,1.0681040060299454
1,Columbia County,Chelan County,76,1.256344776827034
1,Cowlitz County,Chelan County,2217,1.0119737664687494
1,Douglas County,Chelan County,1614,0.9965437779182043
1,Ferry County,Chelan County,21,1.0624604853289574
1,Franklin County,Chelan County,2467,1.0877560643850395
1,Garfield County,Chelan County,0,0
1,Grant County,Chelan County,2295,1.0222284310334382
1,Grays Harbor County,Chelan County,3637,0.9823763013906348
1,Island County,Chelan County,974,1.0630458424483666
1,Jefferson County,Chelan County,210,1.010701620300736
1,King County,Chelan County,62570,0.99659694542277
1,Kitsap County,Chelan County,3024,0.9932536359981471
1,Kittitas County,Chelan County,623,1.0606524970620936
1,Klickitat County,Chelan County,289,1.1868276543555212
1,Lewis County,Chelan County,2595,0.9532101365805016
1,Lincoln County,Chelan County,49,1.1278744491048815
1,Mason County,Chelan County,738,1.1007791921216237
1,Okanogan County,Chelan County,633,0.8806960113485224
1,Pacific County,Chelan County,1641,1.1157027086027345
1,Pend Oreille County,Chelan County,147,1.0764805824549477
1,Pierce County,Chelan County,13982,0.9735842214182532
1,San Juan County,Chelan County,118,1.1205752070627644
1,Skagit County,Chelan County,3594,0.9949214421778224
1,Skamania County,Chelan County,2,5.91942270397562
1,Snohomish County,Chelan County,11087,1.0181507454747907
1,Spokane County,Chelan County,5675,1.0051883294618378
1,Stevens County,Chelan County,217,0.9809199898913398
1,Thurston County,Chelan County,15733,0.9633875950465125
1,Wahkiakum County,Chelan County,4,2.4707155633985196
1,Walla Walla County,Chelan County,1138,1.3101399748053657
1,Whatcom County,Chelan County,8256,0.9531510288558799
1,Whitman County,Chelan County,2028,1.1022907475414592
1,Yakima County,Chelan County,11855,1.032100602112954
1,Adams County,Clallam County,946,1.0420594144254145
1,Asotin County,Clallam County,137,0.7797530270608891
1,Benton County,Clallam County,7267,1.0976283707582364
1,Chelan County,Clallam County,3579,0.9330643065727521
1,Clallam County,Clallam County,6448,1.0689378815741721
1,Clark County,Clallam County,4022,1.062918701489748
1,Columbia County,Clallam County,127,1.3349854386440252
1,Cowlitz County,Clallam County,3017,0.8757021840704121
1,Douglas County,Clallam County,2473,0.9709447757366698
1,Ferry County,Clallam County,12,0.38605777171097494
1,Franklin County,Clallam County,3937,1.1038379980599415
1,Garfield County,Clallam County,0,0
