n_mutations,group_1,group_2,n_pairs,RR
1,Adams County,Adams County,196,7.540114605905207
1,Asotin County,Adams County,7,0.7692992673621663
1,Benton County,Adams County,548,1.453427554770133
1,Chelan County,Adams County,59,1.726294450264839
1,Clallam County,Adams County,30,0.5025324666396338
1,Clark County,Adams County,14,0.73272654485425
1,Cowlitz County,Adams County,29,0.687682281969209
1,Douglas County,Adams County,26,1.5281901880907018
1,Ferry County,Adams County,0,0
1,Franklin County,Adams County,579,1.82507430323026
1,Garfield County,Adams County,0,0
1,Grant County,Adams County,121,3.3151192838948615
1,Grays Harbor County,Adams County,0,0
1,Island County,Adams County,13,0.7295482413890451
1,Jefferson County,Adams County,0,0
1,King County,Adams County,388,0.5545502491319029
1,Kitsap County,Adams County,8,0.5191375886365763
1,Kittitas County,Adams County,62,3.6645612159580736
1,Klickitat County,Adams County,4,0.5019016032854116
1,Lewis County,Adams County,74,0.5409831549674983
1,Lincoln County,Adams County,8,1.7313460434700179
1,Mason County,Adams County,24,1.6631156575204606
1,Okanogan County,Adams County,8,0.9949287184970143
1,Pacific County,Adams County,4,0.25785067093430764
1,Pend Oreille County,Adams County,3,0.6770303712767115
1,Pierce County,Adams County,59,0.445711324440358
1,San Juan County,Adams County,1,0.7719797526142992
1,Skagit County,Adams County,51,0.5572966209965474
1,Skamania County,Adams County,0,0
1,Snohomish County,Adams County,128,0.6280918943792632
1,Spokane County,Adams County,335,1.1393570882103317
1,Stevens County,Adams County,9,0.985676569946977
1,Thurston County,Adams County,35,0.277711442717854
1,Wahkiakum County,Adams County,2,2.164182554337523
1,Walla Walla County,Adams County,25,1.0016192992780464
1,Whatcom County,Adams County,99,0.492702671624111
1,Whitman County,Adams County,68,1.5681453918314507
1,Yakima County,Adams County,274,1.0522866639409132
1,Adams County,Asotin County,7,0.7692992673621661
1,Asotin County,Asotin County,34,10.67459972993827
1,Benton County,Asotin County,48,0.36368841870046437
1,Chelan County,Asotin County,15,1.2538036360835065
1,Clallam County,Asotin County,9,0.4306860280497486
1,Clark County,Asotin County,14,2.09323182214873
1,Cowlitz County,Asotin County,7,0.4742018896589041
1,Douglas County,Asotin County,5,0.8395556071391727
1,Ferry County,Asotin County,0,0
1,Franklin County,Asotin County,40,0.36019475220271935
1,Garfield County,Asotin County,2,3.2292906746031744
