region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
Southeast,South Central,16,24,3,0.6666666666666666,0.4469255138466182,0.835734630929333,0.4583333333333333,0.8333333333333334
Southeast,South Puget Sound,4,10,3,0.4,0.13693056347003565,0.7263303103876817,0.1,0.7
Southwest,North Central,4,6,3,0.6666666666666666,0.24107821098195234,0.9400102953115789,0.3333333333333333,1
Southwest,North Puget Sound,18,54,3,0.3333333333333333,0.21457868260070626,0.4757948923363216,0.2037037037037037,0.46296296296296297
Southwest,Northwest,6,17,3,0.35294117647058826,0.15259235901239418,0.6137959427321497,0.11764705882352941,0.5882352941176471
Southwest,Peninsula/Coastal,4,15,3,0.26666666666666666,0.08913627411390385,0.5516752833301743,0.06666666666666667,0.5333333333333333
Southwest,South Central,14,18,3,0.7777777777777778,0.5191861461080541,0.9262768978027827,0.5555555555555556,0.9444444444444444
Southwest,South Puget Sound,8,51,3,0.1568627450980392,0.07484139316523326,0.29137562625504115,0.058823529411764705,0.2549019607843137
Southwest,Southeast,2,2,3,1,0.19786745576231118,1,1,1
North Central,North Puget Sound,44,121,4,0.36363636363636365,0.2795421849331602,0.4565203854354259,0.2809917355371901,0.4462809917355372
North Central,Northeast,4,6,4,0.6666666666666666,0.24107821098195234,0.9400102953115789,0.3333333333333333,1
North Central,Northwest,11,38,4,0.2894736842105263,0.1598101003592522,0.46112440314504227,0.15789473684210525,0.4473684210526316
North Central,Peninsula/Coastal,5,7,4,0.7142857142857143,0.30256002981392766,0.948875693954224,0.42857142857142855,1
North Central,South Central,9,16,4,0.5625,0.30554217295897845,0.7924626903428191,0.3125,0.8125
North Central,South Puget Sound,8,14,4,0.5714285714285714,0.2964815283342476,0.8118636579300715,0.2857142857142857,0.8571428571428571
North Central,Southeast,2,2,4,1,0.19786745576231118,1,1,1
North Puget Sound,North Central,77,121,4,0.6363636363636364,0.543479614564574,0.7204578150668398,0.5537190082644629,0.71900826446281
North Puget Sound,Northeast,42,95,4,0.4421052631578947,0.34148461291804855,0.5474585145082047,0.3473684210526316,0.5368421052631579
North Puget Sound,Northwest,415,937,4,0.4429028815368196,0.4108674417072728,0.47541238331877794,0.41088580576307365,0.47491995731056563
North Puget Sound,Peninsula/Coastal,170,327,4,0.5198776758409785,0.464293857216732,0.5749869295134412,0.4648318042813456,0.5749235474006116
North Puget Sound,South Central,132,241,4,0.5477178423236515,0.4825553962103717,0.6113338984078641,0.4854771784232365,0.6099585062240664
North Puget Sound,South Puget Sound,440,829,4,0.5307599517490953,0.4961216579322706,0.5651094604619347,0.4969843184559711,0.5645355850422196
North Puget Sound,Southeast,9,25,4,0.36,0.1871198028393016,0.573846930555067,0.16,0.56
North Puget Sound,Southwest,82,163,4,0.5030674846625767,0.4241306949394179,0.5818574393115651,0.4233128834355828,0.5828220858895705
Northeast,North Central,2,6,4,0.3333333333333333,0.059989704688421214,0.7589217890180476,0,0.6666666666666666
Northeast,North Puget Sound,53,95,4,0.5578947368421052,0.45254148549179524,0.6585153870819515,0.45263157894736844,0.6526315789473685
Northeast,Northwest,9,19,4,0.47368421052631576,0.25211879475121357,0.7050483016587897,0.2631578947368421,0.6842105263157895
Northeast,Peninsula/Coastal,3,5,4,0.6,0.17042358064358784,0.9274159600143366,0.2,1
Northeast,South Central,13,19,4,0.6842105263157895,0.4349804532516114,0.8644465345140967,0.47368421052631576,0.8947368421052632
Northeast,South Puget Sound,6,8,4,0.75,0.3557551603846312,0.9554560862004844,0.375,1
Northeast,Southeast,4,8,4,0.5,0.21521606221387762,0.7847839377861224,0.125,0.875
Northeast,Southwest,4,10,4,0.4,0.13693056347003565,0.7263303103876817,0.1,0.7
Northwest,North Central,27,38,4,0.7105263157894737,0.5388755968549576,0.8401898996407479,0.5526315789473685,0.8421052631578947
Northwest,North Puget Sound,522,937,4,0.5570971184631803,0.524587616681222,0.5891325582927271,0.5250800426894343,0.5891141942369263
Northwest,Northeast,10,19,4,0.5263157894736842,0.2949516983412102,0.7478812052487862,0.3157894736842105,0.7368421052631579
Northwest,Peninsula/Coastal,29,41,4,0.7073170731707317,0.5426318104620155,0.8335324922489878,0.5609756097560976,0.8292682926829268
Northwest,South Central,23,49,4,0.46938775510204084,0.32775544465606254,0.6157839577020742,0.32653061224489793,0.6122448979591837
Northwest,South Puget Sound,69,118,4,0.5847457627118644,0.49031076030871606,0.6735864565040884,0.5,0.6694915254237288
Northwest,Southwest,7,20,4,0.35,0.1630866797163093,0.5905104338485733,0.15,0.55
Peninsula/Coastal,North Central,2,7,4,0.2857142857142857,0.05112430604577598,0.6974399701860723,0,0.5714285714285714
Peninsula/Coastal,North Puget Sound,157,327,4,0.4801223241590214,0.4250130704865587,0.535706142783268,0.42507645259938837,0.5351681957186545
Peninsula/Coastal,Northeast,2,5,4,0.4,0.07258403998566343,0.8295764193564121,0,0.8
Peninsula/Coastal,Northwest,12,41,4,0.2926829268292683,0.1664675077510121,0.45736818953798447,0.17073170731707318,0.43902439024390244
Peninsula/Coastal,South Central,7,11,4,0.6363636363636364,0.3161363090459117,0.8763491869178089,0.36363636363636365,0.9090909090909091
Peninsula/Coastal,South Puget Sound,39,58,4,0.6724137931034483,0.5354387859190008,0.7864942190341292,0.5517241379310345,0.7931034482758621
Peninsula/Coastal,Southeast,2,2,4,1,0.19786745576231118,1,1,1
Peninsula/Coastal,Southwest,5,13,4,0.38461538461538464,0.1513399044670356,0.6772279223979485,0.15384615384615385,0.6153846153846154
South Central,North Central,7,16,4,0.4375,0.20753730965718087,0.6944578270410215,0.1875,0.6875
South Central,North Puget Sound,109,241,4,0.45228215767634855,0.38866610159213594,0.5174446037896284,0.3900414937759336,0.5145228215767634
South Central,Northeast,6,19,4,0.3157894736842105,0.13555346548590336,0.5650195467483885,0.10526315789473684,0.5263157894736842
South Central,Northwest,26,49,4,0.5306122448979592,0.384216042297926,0.6722445553439376,0.3877551020408163,0.673469387755102
South Central,Peninsula/Coastal,4,11,4,0.36363636363636365,0.12365081308219124,0.6838636909540885,0.09090909090909091,0.6363636363636364
South Central,South Puget Sound,42,99,4,0.42424242424242425,0.3267980995643347,0.5276342829127558,0.32323232323232326,0.5252525252525253
South Central,Southeast,5,15,4,0.3333333333333333,0.12987803708416498,0.6131345467316691,0.13333333333333333,0.6
South Central,Southwest,4,17,4,0.23529411764705882,0.07823121907208701,0.5023837262836639,0.058823529411764705,0.47058823529411764
South Puget Sound,North Central,6,14,4,0.42857142857142855,0.1881363420699285,0.7035184716657525,0.21428571428571427,0.7142857142857143
South Puget Sound,North Puget Sound,389,829,4,0.4692400482509047,0.4348905395380654,0.5038783420677293,0.43546441495778043,0.503015681544029
South Puget Sound,Northeast,2,8,4,0.25,0.044543913799515535,0.6442448396153688,0,0.625
South Puget Sound,Northwest,49,118,4,0.4152542372881356,0.32641354349591145,0.5096892396912839,0.3305084745762712,0.5084745762711864
South Puget Sound,Peninsula/Coastal,19,58,4,0.3275862068965517,0.2135057809658707,0.4645612140809992,0.20689655172413793,0.4482758620689655
South Puget Sound,South Central,57,99,4,0.5757575757575758,0.4723657170872443,0.6732019004356654,0.47474747474747475,0.6666666666666666
South Puget Sound,Southeast,2,4,4,0.5,0.15003898915214955,0.8499610108478505,0,1
South Puget Sound,Southwest,5,21,4,0.23809523809523808,0.0911713651321979,0.4754974300673184,0.047619047619047616,0.42857142857142855
Southeast,North Puget Sound,16,25,4,0.64,0.426153069444933,0.8128801971606984,0.44,0.84
Southeast,Northeast,4,8,4,0.5,0.21521606221387762,0.7847839377861224,0.125,0.875
Southeast,South Central,10,15,4,0.6666666666666666,0.3868654532683308,0.870121962915835,0.4,0.8666666666666667
Southeast,South Puget Sound,2,4,4,0.5,0.15003898915214955,0.8499610108478505,0,1
Southwest,North Puget Sound,81,163,4,0.49693251533742333,0.41814256068843503,0.5758693050605821,0.4233128834355828,0.5766871165644172
Southwest,Northeast,6,10,4,0.6,0.27366968961231825,0.8630694365299644,0.3,0.9
Southwest,Northwest,13,20,4,0.65,0.4094895661514267,0.8369133202836907,0.45,0.85
