name_wave,age_decade_1,age_decade_2,n_1_before_2,n_pairs
Wave 5,70-79y,40-49y,317,706
Wave 5,70-79y,50-59y,226,529
Wave 5,70-79y,60-69y,185,433
Wave 5,70-79y,80y+,155,356
Wave 5,80y+,0-9y,66,171
Wave 5,80y+,10-19y,111,257
Wave 5,80y+,20-29y,172,414
Wave 5,80y+,30-39y,187,401
Wave 5,80y+,40-49y,132,336
Wave 5,80y+,50-59y,110,268
Wave 5,80y+,60-69y,126,266
Wave 5,80y+,70-79y,201,356
Wave 6,0-9y,10-19y,14838,50499
Wave 6,0-9y,20-29y,20927,52822
Wave 6,0-9y,30-39y,18786,43562
Wave 6,0-9y,40-49y,14717,35917
Wave 6,0-9y,50-59y,11950,27046
Wave 6,0-9y,60-69y,8283,17478
Wave 6,0-9y,70-79y,3202,6819
Wave 6,0-9y,80y+,3037,6447
Wave 6,10-19y,0-9y,35661,50499
Wave 6,10-19y,20-29y,84417,133839
Wave 6,10-19y,30-39y,69709,107752
Wave 6,10-19y,40-49y,55572,88625
Wave 6,10-19y,50-59y,44499,68676
Wave 6,10-19y,60-69y,29906,43764
Wave 6,10-19y,70-79y,11752,16719
Wave 6,10-19y,80y+,11389,16141
Wave 6,20-29y,0-9y,31895,52822
Wave 6,20-29y,10-19y,49422,133839
Wave 6,20-29y,30-39y,60372,114984
Wave 6,20-29y,40-49y,46980,93391
Wave 6,20-29y,50-59y,37964,72068
Wave 6,20-29y,60-69y,25999,46011
Wave 6,20-29y,70-79y,10291,17461
Wave 6,20-29y,80y+,9789,16761
Wave 6,30-39y,0-9y,24776,43562
Wave 6,30-39y,10-19y,38043,107752
Wave 6,30-39y,20-29y,54612,114984
Wave 6,30-39y,40-49y,36108,75815
Wave 6,30-39y,50-59y,29351,58458
Wave 6,30-39y,60-69y,20111,37207
Wave 6,30-39y,70-79y,7742,14193
Wave 6,30-39y,80y+,7291,13529
Wave 6,40-49y,0-9y,21200,35917
Wave 6,40-49y,10-19y,33053,88625
Wave 6,40-49y,20-29y,46411,93391
Wave 6,40-49y,30-39y,39707,75815
Wave 6,40-49y,50-59y,25056,47729
Wave 6,40-49y,60-69y,17213,30662
Wave 6,40-49y,70-79y,6874,11945
Wave 6,40-49y,80y+,6410,11223
Wave 6,50-59y,0-9y,15096,27046
Wave 6,50-59y,10-19y,24177,68676
Wave 6,50-59y,20-29y,34104,72068
Wave 6,50-59y,30-39y,29107,58458
Wave 6,50-59y,40-49y,22673,47729
Wave 6,50-59y,60-69y,12569,23597
Wave 6,50-59y,70-79y,4842,8984
Wave 6,50-59y,80y+,4660,8744
Wave 6,60-69y,0-9y,9195,17478
Wave 6,60-69y,10-19y,13858,43764
Wave 6,60-69y,20-29y,20012,46011
Wave 6,60-69y,30-39y,17096,37207
Wave 6,60-69y,40-49y,13449,30662
Wave 6,60-69y,50-59y,11028,23597
Wave 6,60-69y,70-79y,2967,5871
Wave 6,60-69y,80y+,2758,5549
Wave 6,70-79y,0-9y,3617,6819
Wave 6,70-79y,10-19y,4967,16719
Wave 6,70-79y,20-29y,7170,17461
Wave 6,70-79y,30-39y,6451,14193
Wave 6,70-79y,40-49y,5071,11945
Wave 6,70-79y,50-59y,4142,8984
Wave 6,70-79y,60-69y,2904,5871
Wave 6,70-79y,80y+,1156,2265
Wave 6,80y+,0-9y,3410,6447
Wave 6,80y+,10-19y,4752,16141
Wave 6,80y+,20-29y,6972,16761
Wave 6,80y+,30-39y,6238,13529
Wave 6,80y+,40-49y,4813,11223
Wave 6,80y+,50-59y,4084,8744
Wave 6,80y+,60-69y,2791,5549
Wave 6,80y+,70-79y,1109,2265
Wave 7,0-9y,10-19y,1217,3006
Wave 7,0-9y,20-29y,1904,5229
Wave 7,0-9y,30-39y,1927,4642
Wave 7,0-9y,40-49y,1617,3917
Wave 7,0-9y,50-59y,1150,2743
Wave 7,0-9y,60-69y,917,2227
Wave 7,0-9y,70-79y,564,1187
