age_decade_1,age_decade_2,n_1_before_2,n_1_2_tot,prop_1_before_2,lower_prop,upper_prop,i_wave
10-19y,40-49y,890,2129,0.4180366369187412,0.3970183370352478,0.43935349154780745,2
10-19y,50-59y,705,1549,0.4551323434473854,0.43015409347177175,0.48033546876957006,2
10-19y,60-69y,453,958,0.47286012526096033,0.4408983908525657,0.5050422169673515,2
10-19y,70-79y,292,528,0.553030303030303,0.5094426974095811,0.5958347954064472,2
10-19y,80y+,149,262,0.5687022900763359,0.506255141386609,0.6291011981752139,2
20-29y,0-9y,1227,2066,0.5939012584704744,0.5723257936021525,0.6151241975337222,2
20-29y,10-19y,2044,3416,0.5983606557377049,0.5816723374867573,0.6148260334572837,2
20-29y,30-39y,3034,5390,0.5628942486085343,0.5495188774845723,0.5761794066430793,2
20-29y,40-49y,1883,3536,0.5325226244343891,0.5159093857613543,0.549064668975803,2
20-29y,50-59y,1465,2697,0.5431961438635521,0.5241625509393198,0.5621056484992687,2
20-29y,60-69y,901,1643,0.5483870967741935,0.5239336616434349,0.5726119428122637,2
20-29y,70-79y,486,811,0.5992601726263872,0.5645195273932878,0.633047854749345,2
20-29y,80y+,222,378,0.5873015873015873,0.5357026655267748,0.6370973672695717,2
30-39y,0-9y,1036,1942,0.533470648815654,0.5109806604636824,0.5558269504089383,2
30-39y,10-19y,1577,2868,0.549860529986053,0.5314233170190176,0.5681630768315108,2
30-39y,20-29y,2356,5390,0.4371057513914657,0.42382059335692085,0.45048112251542766,2
30-39y,40-49y,1680,3628,0.46306504961411243,0.4467498807383712,0.47945901520987527,2
30-39y,50-59y,1289,2666,0.48349587396849214,0.46437691657086533,0.5026627939858754,2
30-39y,60-69y,857,1692,0.5065011820330969,0.48239626665915825,0.5305762792083253,2
30-39y,70-79y,527,931,0.5660580021482277,0.5334753956314272,0.5980885772811845,2
30-39y,80y+,212,393,0.539440203562341,0.4887469079481706,0.589350313056161,2
40-49y,0-9y,789,1435,0.5498257839721254,0.5236365293688646,0.5757453896044583,2
40-49y,10-19y,1239,2129,0.5819633630812588,0.5606465084521927,0.6029816629647524,2
40-49y,20-29y,1653,3536,0.46747737556561086,0.4509353310241971,0.48409061423864574,2
40-49y,30-39y,1948,3628,0.5369349503858876,0.5205409847901247,0.5532501192616288,2
40-49y,50-59y,955,1821,0.5244371224601867,0.5011977898888385,0.547572339965025,2
40-49y,60-69y,657,1279,0.5136825645035183,0.48590049568258437,0.5413815209113111,2
40-49y,70-79y,390,660,0.5909090909090909,0.5522143343211249,0.628530532319975,2
40-49y,80y+,191,332,0.5753012048192772,0.520054962656162,0.6287763028445924,2
50-59y,0-9y,564,1007,0.5600794438927508,0.5287521674854543,0.5909427042915246,2
50-59y,10-19y,844,1549,0.5448676565526146,0.5196645312304301,0.5698459065282283,2
50-59y,20-29y,1232,2697,0.4568038561364479,0.4378943515007313,0.47583744906068015,2
50-59y,30-39y,1377,2666,0.5165041260315079,0.4973372060141246,0.5356230834291348,2
50-59y,40-49y,866,1821,0.4755628775398133,0.45242766003497514,0.49880221011116155,2
50-59y,60-69y,503,991,0.5075681130171544,0.47596939247438547,0.5391074413208989,2
50-59y,70-79y,312,512,0.609375,0.5654617303723815,0.6516217473282977,2
50-59y,80y+,151,251,0.601593625498008,0.5379238601178323,0.6621006190959753,2
60-69y,0-9y,368,687,0.5356622998544396,0.4975463029712759,0.5733739743994346,2
60-69y,10-19y,505,958,0.5271398747390397,0.4949577830326485,0.5591016091474342,2
60-69y,20-29y,742,1643,0.45161290322580644,0.42738805718773615,0.476066338356565,2
60-69y,30-39y,835,1692,0.4934988179669031,0.4694237207916747,0.5176037333408418,2
60-69y,40-49y,622,1279,0.48631743549648165,0.45861847908868886,0.5140995043174156,2
60-69y,50-59y,488,991,0.4924318869828456,0.4608925586791011,0.5240306075256146,2
60-69y,70-79y,229,380,0.6026315789473684,0.5513091698609377,0.6518450792065174,2
60-69y,80y+,115,203,0.5665024630541872,0.4952612460840787,0.6351851098265912,2
70-79y,0-9y,171,384,0.4453125,0.39511362292129104,0.4966229392785042,2
70-79y,10-19y,236,528,0.44696969696969696,0.40416520459355276,0.49055730259041885,2
70-79y,20-29y,325,811,0.4007398273736128,0.36695214525065506,0.435480472606712,2
70-79y,30-39y,404,931,0.4339419978517723,0.4019114227188155,0.4665246043685727,2
70-79y,40-49y,270,660,0.4090909090909091,0.37146946768002503,0.4477856656788752,2
70-79y,50-59y,200,512,0.390625,0.3483782526717023,0.4345382696276185,2
70-79y,60-69y,151,380,0.3973684210526316,0.3481549207934827,0.4486908301390624,2
70-79y,80y+,109,211,0.5165876777251185,0.44713146591138564,0.5854300399362341,2
80y+,0-9y,52,167,0.31137724550898205,0.24330636714872145,0.38828756280367627,2
80y+,10-19y,113,262,0.4312977099236641,0.37089880182478613,0.49374485861339096,2
80y+,20-29y,156,378,0.4126984126984127,0.3629026327304283,0.4642973344732252,2
80y+,30-39y,181,393,0.46055979643765904,0.4106496869438391,0.5112530920518294,2
80y+,40-49y,141,332,0.4246987951807229,0.3712236971554077,0.47994503734383803,2
80y+,50-59y,100,251,0.398406374501992,0.33789938090402466,0.46207613988216767,2
80y+,60-69y,88,203,0.43349753694581283,0.36481489017340885,0.5047387539159214,2
80y+,70-79y,102,211,0.4834123222748815,0.4145699600637658,0.5528685340886145,2
0-9y,10-19y,14864,51723,0.2873769889604238,0.283483287122652,0.29130234968113106,3
0-9y,20-29y,21360,54039,0.395270082718037,0.3911462973612304,0.3994087902610631,3
0-9y,30-39y,19030,44320,0.4293772563176895,0.4247639908423359,0.43400279322427626,3
0-9y,40-49y,14997,36631,0.40940733258715295,0.4043679305008009,0.4144657849146994,3
0-9y,50-59y,12581,27960,0.44996423462088697,0.4441223644886964,0.45581989397011236,3
0-9y,60-69y,8737,18098,0.48276052602497516,0.47545712843593724,0.4900712682828863,3
0-9y,70-79y,3310,6937,0.47715150641487675,0.4653416378689455,0.4889868213380838,3
0-9y,80y+,3256,6597,0.4935576777323026,0.4814247278255209,0.5056981731446142,3
10-19y,0-9y,36859,51723,0.7126230110395761,0.708697650318869,0.716516712877348,3
10-19y,20-29y,85245,134957,0.6316456352764214,0.6290647363747379,0.6342190291964598,3
10-19y,30-39y,70239,108463,0.6475848907000544,0.644732051667936,0.6504272590569741,3
10-19y,40-49y,56249,89104,0.6312735679655235,0.6280945312506232,0.6344412661662591,3
10-19y,50-59y,46010,69952,0.6577367337602927,0.6542049496005015,0.66125115922838,3
10-19y,60-69y,31050,44734,0.6941029194795905,0.6898051742473299,0.6983672437852775,3
10-19y,70-79y,11908,16748,0.7110102698829711,0.7040673582898913,0.7178559847841447,3
10-19y,80y+,11681,16227,0.7198496333271708,0.7128577027099454,0.7267370334424015,3
20-29y,0-9y,32679,54039,0.604729917281963,0.6005912097389369,0.6088537026387696,3
20-29y,10-19y,49712,134957,0.36835436472357863,0.3657809708035401,0.37093526362526225,3
20-29y,30-39y,60563,115402,0.524800263426977,0.5219139311720155,0.527684942170303,3
20-29y,40-49y,47242,93796,0.5036675337967504,0.5004623815899445,0.5068723851043032,3
20-29y,50-59y,39267,73176,0.5366103640537881,0.5329887130762839,0.5402281641574012,3
20-29y,60-69y,26924,46748,0.5759390776075982,0.5714424012259877,0.5804232448230918,3
20-29y,70-79y,10539,17476,0.6030556191348134,0.5957511555155778,0.6103146080649708,3
20-29y,80y+,10221,16666,0.6132845313812553,0.6058354763963353,0.6206811631360981,3
30-39y,0-9y,25290,44320,0.5706227436823105,0.5659972067757237,0.575236009157664,3
30-39y,10-19y,38224,108463,0.35241510929994563,0.349572740943026,0.3552679483320641,3
30-39y,20-29y,54839,115402,0.475199736573023,0.472315057829697,0.47808606882798466,3
30-39y,40-49y,36466,76118,0.4790719672088074,0.47551764717388967,0.4826284034031483,3
30-39y,50-59y,30521,59296,0.5147227468969239,0.5106907952209855,0.5187527870879844,3
30-39y,60-69y,20882,37830,0.5519957705524716,0.5469663464612365,0.5570146080158236,3
30-39y,70-79y,7837,14154,0.5536950685318638,0.5454566756544917,0.5619041974836179,3
30-39y,80y+,7625,13477,0.5657787341396453,0.5573558218124278,0.5741639920784736,3
40-49y,0-9y,21634,36631,0.590592667412847,0.5855342150853005,0.595632069499199,3
40-49y,10-19y,32855,89104,0.3687264320344766,0.3655587338337409,0.37190546874937674,3
40-49y,20-29y,46554,93796,0.4963324662032496,0.4931276148956968,0.49953761841005556,3
40-49y,30-39y,39652,76118,0.5209280327911926,0.5173715965968517,0.5244823528261104,3
40-49y,50-59y,25788,48389,0.5329310380458369,0.5284729644825763,0.5373838712775499,3
40-49y,60-69y,17757,31205,0.569043422528441,0.563524744173698,0.5745450543755092,3
40-49y,70-79y,6894,11875,0.5805473684210526,0.5716050279388101,0.5894373659130511,3
40-49y,80y+,6645,11240,0.5911921708185054,0.5820294628769257,0.6002922622086321,3
50-59y,0-9y,15379,27960,0.550035765379113,0.5441801060298876,0.5558776355113036,3
50-59y,10-19y,23942,69952,0.3422632662397072,0.3387488407716201,0.3457950503994984,3
50-59y,20-29y,33909,73176,0.46338963594621185,0.4597718358425988,0.46701128692371613,3
50-59y,30-39y,28775,59296,0.48527725310307607,0.4812472129120155,0.48930920477901446,3
50-59y,40-49y,22601,48389,0.46706896195416314,0.46261612872245,0.4715270355174237,3
50-59y,60-69y,12965,24237,0.5349259396790031,0.5286208787053694,0.5412198948252148,3
50-59y,70-79y,4831,9029,0.5350537158046296,0.5246976133661193,0.5453798427199416,3
50-59y,80y+,4818,8771,0.5493102268840497,0.5388209090084477,0.5597561342917964,3
60-69y,0-9y,9361,18098,0.5172394739750249,0.5099287317171138,0.5245428715640628,3
60-69y,10-19y,13684,44734,0.30589708052040954,0.3016327562147225,0.31019482575267016,3
60-69y,20-29y,19824,46748,0.42406092239240184,0.41957675517690823,0.4285575987740125,3
60-69y,30-39y,16948,37830,0.44800422944752843,0.44298539198417636,0.4530336535387635,3
60-69y,40-49y,13448,31205,0.430956577471559,0.4254549456244909,0.43647525582630203,3
60-69y,50-59y,11272,24237,0.4650740603209968,0.4587801051747851,0.4713791212946305,3
60-69y,70-79y,2969,5900,0.5032203389830509,0.49037967617699885,0.5160567831980006,3
60-69y,80y+,2850,5539,0.5145333092615996,0.5012756108310995,0.5277707250005095,3
70-79y,0-9y,3627,6937,0.5228484935851232,0.5110131786619162,0.5346583621310543,3
70-79y,10-19y,4840,16748,0.2889897301170289,0.28214401521585525,0.2959326417101088,3
70-79y,20-29y,6937,17476,0.3969443808651865,0.3896853919350291,0.4042488444844223,3
70-79y,30-39y,6317,14154,0.4463049314681362,0.438095802516382,0.45454332434550815,3
70-79y,40-49y,4981,11875,0.41945263157894735,0.41056263408694893,0.4283949720611899,3
70-79y,50-59y,4198,9029,0.4649462841953705,0.4546201572800584,0.47530238663388075,3
70-79y,60-69y,2931,5900,0.49677966101694915,0.4839432168019993,0.5096203238230012,3
70-79y,80y+,1131,2118,0.5339943342776204,0.5124709915824526,0.555393221287432,3
80y+,0-9y,3341,6597,0.5064423222676975,0.4943018268553858,0.5185752721744792,3
80y+,10-19y,4546,16227,0.2801503666728292,0.27326296655759835,0.2871422972900546,3
80y+,20-29y,6445,16666,0.38671546861874473,0.379318836863902,0.3941645236036648,3
80y+,30-39y,5852,13477,0.4342212658603547,0.4258360079215264,0.44264417818757223,3
80y+,40-49y,4595,11240,0.40880782918149466,0.3997077377913679,0.4179705371230742,3
80y+,50-59y,3953,8771,0.45068977311595027,0.4402438657082036,0.46117909099155246,3
80y+,60-69y,2689,5539,0.48546669073840043,0.47222927499949047,0.4987243891689005,3
80y+,70-79y,987,2118,0.4660056657223796,0.44460677871256815,0.48752900841754737,3
0-9y,10-19y,1170,2918,0.4009595613433859,0.38314898896053984,0.4190330661325721,4
0-9y,20-29y,1907,5179,0.3682178026646071,0.3550882875536959,0.3815441036624363,4
0-9y,30-39y,1892,4423,0.4277639611123672,0.41313964498086736,0.44251461663558206,4
0-9y,40-49y,1610,3790,0.42480211081794195,0.40901757508640263,0.4407402059124277,4
0-9y,50-59y,1173,2748,0.4268558951965066,0.40829673111430115,0.44562127943930907,4
0-9y,60-69y,914,2161,0.4229523368810736,0.402048467083802,0.4441326797510817,4
0-9y,70-79y,573,1164,0.49226804123711343,0.4631926417110469,0.5213950667865949,4
0-9y,80y+,294,652,0.450920245398773,0.41236836372746544,0.4900585864917406,4
10-19y,0-9y,1748,2918,0.5990404386566142,0.5809669338674279,0.6168510110394602,4
10-19y,20-29y,3798,8753,0.4339083742716783,0.42349992515519047,0.44437512860663947,4
10-19y,30-39y,3153,6801,0.46360829289810324,0.4517071783519025,0.47555074983133394,4
10-19y,40-49y,2700,5704,0.47335203366058903,0.46032965425344685,0.4864105245696813,4
10-19y,50-59y,2055,4248,0.4837570621468927,0.4686331997470409,0.4989105047014829,4
10-19y,60-69y,1401,3129,0.4477468839884947,0.43023920165501295,0.4653838853477157,4
10-19y,70-79y,925,1682,0.5499405469678954,0.5257801713378152,0.5738704852279971,4
10-19y,80y+,497,837,0.5937873357228196,0.5595579962404319,0.627144374214273,4
20-29y,0-9y,3272,5179,0.631782197335393,0.6184558963375637,0.6449117124463042,4
20-29y,10-19y,4955,8753,0.5660916257283217,0.5556248713933606,0.5765000748448096,4
20-29y,30-39y,8757,16625,0.5267368421052632,0.5191119069428685,0.5343493752689349,4
20-29y,40-49y,6718,12896,0.5209367245657568,0.5122709537123802,0.5295899698109966,4
20-29y,50-59y,4811,9522,0.505250997689561,0.4951561776476793,0.5153415604812527,4
20-29y,60-69y,3352,6938,0.4831363505332949,0.4713184123249484,0.49497306702725413,4
20-29y,70-79y,2053,3872,0.5302169421487604,0.5143453860953427,0.5460281086448104,4
20-29y,80y+,1154,2155,0.5354988399071926,0.5141649919091578,0.5567049633228076,4
30-39y,0-9y,2531,4423,0.5722360388876329,0.557485383364418,0.5868603550191327,4
30-39y,10-19y,3648,6801,0.5363917071018968,0.5244492501686662,0.5482928216480977,4
30-39y,20-29y,7868,16625,0.47326315789473683,0.4656506247310651,0.4808880930571315,4
30-39y,40-49y,5783,11644,0.4966506355204397,0.4875288235791213,0.5057746671473413,4
30-39y,50-59y,3980,8644,0.46043498380379455,0.4498897210283732,0.4710155904015868,4
30-39y,60-69y,2867,6304,0.4547906091370558,0.44245062840156074,0.4671860098674841,4
30-39y,70-79y,1711,3471,0.4929415154134255,0.47618257340630693,0.5097161989098815,4
30-39y,80y+,981,1975,0.49670886075949366,0.47443322554508544,0.5189974204918538,4
40-49y,0-9y,2180,3790,0.575197889182058,0.5592597940875723,0.5909824249135974,4
40-49y,10-19y,3004,5704,0.5266479663394109,0.5135894754303186,0.5396703457465531,4
40-49y,20-29y,6178,12896,0.47906327543424315,0.4704100301890034,0.4877290462876198,4
40-49y,30-39y,5861,11644,0.5033493644795602,0.4942253328526586,0.5124711764208787,4
40-49y,50-59y,3292,7034,0.46801251066249644,0.4563014557372124,0.47975869780275304,4
40-49y,60-69y,2428,5332,0.4553638409602401,0.441940221078745,0.4688521818142735,4
40-49y,70-79y,1448,2876,0.5034770514603616,0.4850378017789852,0.5219069367757841,4
40-49y,80y+,832,1738,0.47871116225546606,0.45501203657167516,0.5025053377598542,4
50-59y,0-9y,1575,2748,0.5731441048034934,0.5543787205606908,0.591703268885699,4
50-59y,10-19y,2193,4248,0.5162429378531074,0.5010894952985171,0.5313668002529592,4
50-59y,20-29y,4711,9522,0.494749002310439,0.48465843951874743,0.5048438223523207,4
50-59y,30-39y,4664,8644,0.5395650161962054,0.5289844095984131,0.5501102789716267,4
50-59y,40-49y,3742,7034,0.5319874893375035,0.520241302197247,0.5436985442627875,4
50-59y,60-69y,2046,4123,0.49624060150375937,0.48086850763472416,0.5116197498120577,4
50-59y,70-79y,1261,2276,0.5540421792618629,0.5333266848112768,0.574573597580092,4
50-59y,80y+,744,1390,0.5352517985611511,0.5086108202578565,0.5616958052802256,4
60-69y,0-9y,1247,2161,0.5770476631189264,0.5558673202489184,0.597951532916198,4
60-69y,10-19y,1728,3129,0.5522531160115053,0.5346161146522844,0.5697607983449872,4
60-69y,20-29y,3586,6938,0.5168636494667052,0.5050269329727459,0.5286815876750517,4
60-69y,30-39y,3437,6304,0.5452093908629442,0.5328139901325158,0.5575493715984392,4
60-69y,40-49y,2904,5332,0.5446361590397599,0.5311478181857265,0.558059778921255,4
60-69y,50-59y,2077,4123,0.5037593984962406,0.4883802501879424,0.5191314923652757,4
60-69y,70-79y,1062,1903,0.558066211245402,0.5353952266213547,0.5805004872364525,4
60-69y,80y+,572,1164,0.49140893470790376,0.46233720504169185,0.5205380266459521,4
70-79y,0-9y,591,1164,0.5077319587628866,0.4786049332134052,0.5368073582889531,4
70-79y,10-19y,757,1682,0.45005945303210465,0.42612951477200284,0.4742198286621849,4
70-79y,20-29y,1819,3872,0.4697830578512397,0.45397189135518967,0.4856546139046573,4
70-79y,30-39y,1760,3471,0.5070584845865744,0.49028380109011854,0.523817426593693,4
70-79y,40-49y,1428,2876,0.4965229485396384,0.47809306322421574,0.5149621982210149,4
70-79y,50-59y,1015,2276,0.44595782073813706,0.425426402419908,0.4666733151887233,4
70-79y,60-69y,841,1903,0.441933788754598,0.41949951276354763,0.4646047733786453,4
70-79y,80y+,335,755,0.44370860927152317,0.4079902305844094,0.48000753522955086,4
80y+,0-9y,358,652,0.549079754601227,0.5099414135082593,0.5876316362725346,4
80y+,10-19y,340,837,0.4062126642771804,0.3728556257857269,0.440442003759568,4
80y+,20-29y,1001,2155,0.4645011600928074,0.4432950366771924,0.48583500809084224,4
80y+,30-39y,994,1975,0.5032911392405063,0.48100257950814607,0.5255667744549146,4
80y+,40-49y,906,1738,0.5212888377445339,0.4974946622401457,0.544987963428325,4
80y+,50-59y,646,1390,0.46474820143884893,0.43830419471977455,0.49138917974214363,4
80y+,60-69y,592,1164,0.5085910652920962,0.4794619733540479,0.537662794958308,4
80y+,70-79y,420,755,0.5562913907284768,0.5199924647704491,0.5920097694155906,4
