n_clusters_first_observed_east,n_clusters_first_observed_west,n_tot_clusters,prop_west_before_east,lower_prop,upper_prop,i_wave
78,106,184,0.5760869565217391,0.5011245169629269,0.6478201678841002,1
278,369,647,0.5703245749613601,0.5310993062489342,0.608702922610668,2
214,518,732,0.7076502732240437,0.6729827954724651,0.7401048722369434,3
196,375,571,0.6567425569176882,0.615974381163402,0.6953688946203663,4
