age_decade_first,age_decade_last,n_clusters,n_tot_clusters,i_wave
80y+,30-39y,6,22,3
0-9y,40-49y,34,86,3
10-19y,40-49y,83,154,3
20-29y,40-49y,125,227,3
30-39y,40-49y,117,205,3
50-59y,40-49y,46,101,3
60-69y,40-49y,34,57,3
70-79y,40-49y,16,30,3
80y+,40-49y,14,22,3
0-9y,50-59y,26,53,3
10-19y,50-59y,47,83,3
20-29y,50-59y,87,171,3
30-39y,50-59y,56,126,3
40-49y,50-59y,55,101,3
60-69y,50-59y,16,39,3
70-79y,50-59y,8,20,3
80y+,50-59y,4,8,3
0-9y,60-69y,12,35,3
10-19y,60-69y,30,59,3
20-29y,60-69y,44,92,3
30-39y,60-69y,66,104,3
40-49y,60-69y,23,57,3
50-59y,60-69y,23,39,3
70-79y,60-69y,9,15,3
80y+,60-69y,5,10,3
0-9y,70-79y,19,27,3
10-19y,70-79y,12,20,3
20-29y,70-79y,38,48,3
30-39y,70-79y,26,38,3
40-49y,70-79y,14,30,3
50-59y,70-79y,12,20,3
60-69y,70-79y,6,15,3
80y+,70-79y,0,2,3
0-9y,80y+,0,7,3
10-19y,80y+,10,17,3
20-29y,80y+,14,22,3
30-39y,80y+,16,22,3
40-49y,80y+,8,22,3
50-59y,80y+,4,8,3
60-69y,80y+,5,10,3
70-79y,80y+,2,2,3
10-19y,0-9y,38,66,4
20-29y,0-9y,75,119,4
30-39y,0-9y,120,218,4
40-49y,0-9y,72,147,4
50-59y,0-9y,43,85,4
60-69y,0-9y,17,41,4
70-79y,0-9y,10,29,4
80y+,0-9y,4,8,4
0-9y,10-19y,28,66,4
20-29y,10-19y,143,242,4
30-39y,10-19y,107,177,4
40-49y,10-19y,76,145,4
50-59y,10-19y,44,115,4
60-69y,10-19y,39,63,4
70-79y,10-19y,12,22,4
80y+,10-19y,2,10,4
0-9y,20-29y,44,119,4
10-19y,20-29y,99,242,4
30-39y,20-29y,257,556,4
40-49y,20-29y,134,341,4
50-59y,20-29y,104,240,4
60-69y,20-29y,87,181,4
70-79y,20-29y,52,117,4
80y+,20-29y,12,38,4
0-9y,30-39y,98,218,4
10-19y,30-39y,70,177,4
20-29y,30-39y,299,556,4
40-49y,30-39y,174,347,4
50-59y,30-39y,94,217,4
60-69y,30-39y,90,184,4
70-79y,30-39y,41,99,4
80y+,30-39y,20,28,4
0-9y,40-49y,75,147,4
10-19y,40-49y,69,145,4
20-29y,40-49y,207,341,4
30-39y,40-49y,173,347,4
50-59y,40-49y,113,250,4
60-69y,40-49y,55,127,4
70-79y,40-49y,46,82,4
80y+,40-49y,14,22,4
0-9y,50-59y,42,85,4
10-19y,50-59y,71,115,4
20-29y,50-59y,136,240,4
30-39y,50-59y,123,217,4
40-49y,50-59y,137,250,4
60-69y,50-59y,61,130,4
70-79y,50-59y,33,75,4
80y+,50-59y,11,26,4
0-9y,60-69y,24,41,4
10-19y,60-69y,24,63,4
20-29y,60-69y,94,181,4
30-39y,60-69y,94,184,4
40-49y,60-69y,72,127,4
50-59y,60-69y,69,130,4
70-79y,60-69y,28,81,4
80y+,60-69y,12,30,4
0-9y,70-79y,19,29,4
10-19y,70-79y,10,22,4
20-29y,70-79y,65,117,4
30-39y,70-79y,58,99,4
40-49y,70-79y,36,82,4
50-59y,70-79y,42,75,4
60-69y,70-79y,53,81,4
80y+,70-79y,20,40,4
0-9y,80y+,4,8,4
10-19y,80y+,8,10,4
20-29y,80y+,26,38,4
30-39y,80y+,8,28,4
40-49y,80y+,8,22,4
50-59y,80y+,15,26,4
60-69y,80y+,18,30,4
70-79y,80y+,20,40,4
