age_decade,period,is_west,delay_sequence_collection_symptom_onset,n_seq,prop
0-9y,Wave 6,FALSE,4,12,0.11214953271028037
0-9y,Wave 6,FALSE,6,1,0.009345794392523364
0-9y,Wave 6,FALSE,7,2,0.018691588785046728
0-9y,Wave 6,FALSE,8,3,0.028037383177570093
0-9y,Wave 6,FALSE,10,1,0.009345794392523364
0-9y,Wave 6,FALSE,11,1,0.009345794392523364
0-9y,Wave 6,FALSE,12,1,0.009345794392523364
0-9y,Wave 6,FALSE,21,1,0.009345794392523364
0-9y,Wave 6,TRUE,-3,1,0.00303951367781155
0-9y,Wave 6,TRUE,-2,4,0.0121580547112462
0-9y,Wave 6,TRUE,-1,12,0.0364741641337386
0-9y,Wave 6,TRUE,0,49,0.14893617021276595
0-9y,Wave 6,TRUE,1,80,0.24316109422492402
0-9y,Wave 6,TRUE,2,60,0.182370820668693
0-9y,Wave 6,TRUE,3,38,0.11550151975683891
0-9y,Wave 6,TRUE,4,24,0.0729483282674772
0-9y,Wave 6,TRUE,5,21,0.06382978723404255
0-9y,Wave 6,TRUE,6,13,0.03951367781155015
0-9y,Wave 6,TRUE,7,6,0.0182370820668693
0-9y,Wave 6,TRUE,8,10,0.030395136778115502
0-9y,Wave 6,TRUE,9,5,0.015197568389057751
0-9y,Wave 6,TRUE,10,1,0.00303951367781155
0-9y,Wave 6,TRUE,11,1,0.00303951367781155
0-9y,Wave 6,TRUE,12,1,0.00303951367781155
0-9y,Wave 6,TRUE,14,1,0.00303951367781155
0-9y,Wave 6,TRUE,17,1,0.00303951367781155
0-9y,Wave 6,TRUE,23,1,0.00303951367781155
0-9y,Wave 7,FALSE,0,5,0.1282051282051282
0-9y,Wave 7,FALSE,1,17,0.4358974358974359
0-9y,Wave 7,FALSE,2,7,0.1794871794871795
0-9y,Wave 7,FALSE,3,2,0.05128205128205128
0-9y,Wave 7,FALSE,4,3,0.07692307692307693
0-9y,Wave 7,FALSE,5,3,0.07692307692307693
0-9y,Wave 7,FALSE,9,1,0.02564102564102564
0-9y,Wave 7,FALSE,21,1,0.02564102564102564
0-9y,Wave 7,TRUE,-4,1,0.004464285714285714
0-9y,Wave 7,TRUE,-2,2,0.008928571428571428
0-9y,Wave 7,TRUE,-1,5,0.022321428571428572
0-9y,Wave 7,TRUE,0,51,0.22767857142857142
0-9y,Wave 7,TRUE,1,57,0.2544642857142857
0-9y,Wave 7,TRUE,2,37,0.16517857142857142
0-9y,Wave 7,TRUE,3,21,0.09375
0-9y,Wave 7,TRUE,4,9,0.04017857142857143
0-9y,Wave 7,TRUE,5,16,0.07142857142857142
0-9y,Wave 7,TRUE,6,11,0.049107142857142856
0-9y,Wave 7,TRUE,7,3,0.013392857142857142
0-9y,Wave 7,TRUE,8,6,0.026785714285714284
0-9y,Wave 7,TRUE,10,2,0.008928571428571428
0-9y,Wave 7,TRUE,11,1,0.004464285714285714
0-9y,Wave 7,TRUE,12,1,0.004464285714285714
0-9y,Wave 7,TRUE,13,1,0.004464285714285714
10-19y,Wave 4,FALSE,-4,1,0.002352941176470588
10-19y,Wave 4,FALSE,-2,8,0.018823529411764704
10-19y,Wave 4,FALSE,-1,12,0.02823529411764706
10-19y,Wave 4,FALSE,0,62,0.14588235294117646
10-19y,Wave 4,FALSE,1,80,0.18823529411764706
10-19y,Wave 4,FALSE,2,92,0.2164705882352941
10-19y,Wave 4,FALSE,3,49,0.11529411764705882
10-19y,Wave 4,FALSE,4,42,0.0988235294117647
10-19y,Wave 4,FALSE,5,29,0.06823529411764706
10-19y,Wave 4,FALSE,6,17,0.04
10-19y,Wave 4,FALSE,7,5,0.011764705882352941
10-19y,Wave 4,FALSE,8,8,0.018823529411764704
10-19y,Wave 4,FALSE,9,8,0.018823529411764704
10-19y,Wave 4,FALSE,10,3,0.007058823529411765
10-19y,Wave 4,FALSE,11,1,0.002352941176470588
10-19y,Wave 4,FALSE,12,2,0.004705882352941176
10-19y,Wave 4,FALSE,14,4,0.009411764705882352
10-19y,Wave 4,FALSE,20,1,0.002352941176470588
10-19y,Wave 4,FALSE,29,1,0.002352941176470588
10-19y,Wave 4,TRUE,-4,4,0.002881844380403458
10-19y,Wave 4,TRUE,-3,4,0.002881844380403458
10-19y,Wave 4,TRUE,-2,13,0.009365994236311239
10-19y,Wave 4,TRUE,-1,51,0.03674351585014409
10-19y,Wave 4,TRUE,0,212,0.15273775216138327
10-19y,Wave 4,TRUE,1,284,0.20461095100864554
10-19y,Wave 4,TRUE,2,287,0.20677233429394812
10-19y,Wave 4,TRUE,3,191,0.13760806916426513
10-19y,Wave 4,TRUE,4,110,0.0792507204610951
10-19y,Wave 4,TRUE,5,72,0.05187319884726225
10-19y,Wave 4,TRUE,6,49,0.035302593659942365
10-19y,Wave 4,TRUE,7,38,0.027377521613832854
10-19y,Wave 4,TRUE,8,22,0.01585014409221902
10-19y,Wave 4,TRUE,9,12,0.008645533141210375
10-19y,Wave 4,TRUE,10,13,0.009365994236311239
10-19y,Wave 4,TRUE,11,6,0.004322766570605188
10-19y,Wave 4,TRUE,12,8,0.005763688760806916
10-19y,Wave 4,TRUE,13,4,0.002881844380403458
10-19y,Wave 4,TRUE,14,2,0.001440922190201729
10-19y,Wave 4,TRUE,15,2,0.001440922190201729
10-19y,Wave 4,TRUE,16,2,0.001440922190201729
10-19y,Wave 4,TRUE,18,1,7.204610951008645e-4
10-19y,Wave 4,TRUE,19,1,7.204610951008645e-4
10-19y,Wave 5,FALSE,-5,1,0.0014144271570014145
10-19y,Wave 5,FALSE,-3,4,0.005657708628005658
10-19y,Wave 5,FALSE,-2,6,0.008486562942008486
10-19y,Wave 5,FALSE,-1,18,0.02545968882602546
10-19y,Wave 5,FALSE,0,92,0.13012729844413012
10-19y,Wave 5,FALSE,1,158,0.22347949080622348
10-19y,Wave 5,FALSE,2,142,0.20084865629420084
10-19y,Wave 5,FALSE,3,104,0.1471004243281471
10-19y,Wave 5,FALSE,4,71,0.10042432814710042
10-19y,Wave 5,FALSE,5,35,0.04950495049504951
10-19y,Wave 5,FALSE,6,25,0.03536067892503536
10-19y,Wave 5,FALSE,7,9,0.01272984441301273
10-19y,Wave 5,FALSE,8,12,0.016973125884016973
10-19y,Wave 5,FALSE,9,11,0.015558698727015558
10-19y,Wave 5,FALSE,10,4,0.005657708628005658
10-19y,Wave 5,FALSE,11,2,0.002828854314002829
10-19y,Wave 5,FALSE,12,4,0.005657708628005658
10-19y,Wave 5,FALSE,13,1,0.0014144271570014145
10-19y,Wave 5,FALSE,14,2,0.002828854314002829
10-19y,Wave 5,FALSE,15,1,0.0014144271570014145
