n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
57769,45409,12360,40591,95,86000,520,1000,0.52,637,0.637,157,0.157,16
58281,45735,12546,41265,96,87000,512,1000,0.512,674,0.674,186,0.186,16
58799,46075,12724,41925,97,88000,518,1000,0.518,660,0.66,178,0.178,16
59301,46404,12897,42596,98,89000,502,1000,0.502,671,0.671,173,0.173,16
59825,46756,13069,43244,99,90000,524,1000,0.524,648,0.648,172,0.172,16
60353,47110,13243,43890,100,91000,528,1000,0.528,646,0.646,174,0.174,16
60833,47419,13414,44581,101,92000,480,1000,0.48,691,0.691,171,0.171,16
61334,47745,13589,45255,102,93000,501,1000,0.501,674,0.674,175,0.175,16
61850,48098,13752,45902,103,94000,516,1000,0.516,647,0.647,163,0.163,16
62365,48438,13927,46562,104,95000,515,1000,0.515,660,0.66,175,0.175,16
62893,48808,14085,47192,105,96000,528,1000,0.528,630,0.63,158,0.158,16
63394,49131,14263,47869,106,97000,501,1000,0.501,677,0.677,178,0.178,16
63905,49474,14431,48526,107,98000,511,1000,0.511,657,0.657,168,0.168,16
64441,49866,14575,49134,108,99000,536,1000,0.536,608,0.608,144,0.144,16
64946,50194,14752,49806,109,100000,505,1000,0.505,672,0.672,177,0.177,16
65429,50508,14921,50492,110,101000,483,1000,0.483,686,0.686,169,0.169,16
65905,50806,15099,51194,111,102000,476,1000,0.476,702,0.702,178,0.178,16
66379,51105,15274,51895,112,103000,474,1000,0.474,701,0.701,175,0.175,16
66889,51454,15435,52546,113,104000,510,1000,0.51,651,0.651,161,0.161,16
67364,51748,15616,53252,114,105000,475,1000,0.475,706,0.706,181,0.181,16
67869,52079,15790,53921,115,106000,505,1000,0.505,669,0.669,174,0.174,16
68358,52401,15957,54599,116,107000,489,1000,0.489,678,0.678,167,0.167,16
68854,52715,16139,55285,117,108000,496,1000,0.496,686,0.686,182,0.182,16
69329,53023,16306,55977,118,109000,475,1000,0.475,692,0.692,167,0.167,16
69804,53317,16487,56683,119,110000,475,1000,0.475,706,0.706,181,0.181,16
70278,53616,16662,57384,120,111000,474,1000,0.474,701,0.701,175,0.175,16
70738,53892,16846,58108,121,112000,460,1000,0.46,724,0.724,184,0.184,16
71238,54228,17010,58772,122,113000,500,1000,0.5,664,0.664,164,0.164,16
71726,54544,17182,59456,123,114000,488,1000,0.488,684,0.684,172,0.172,16
71869,54638,17231,59660,124,114298,143,298,0.4798657718120805,204,0.6845637583892618,49,0.1644295302013423,16
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,17
197,194,3,6,2,200,97,100,0.97,6,0.06,3,0.03,17
297,294,3,6,3,300,100,100,1,0,0,0,0,17
395,390,5,10,4,400,98,100,0.98,4,0.04,2,0.02,17
493,486,7,14,5,500,98,100,0.98,4,0.04,2,0.02,17
591,582,9,18,6,600,98,100,0.98,4,0.04,2,0.02,17
690,680,10,20,7,700,99,100,0.99,2,0.02,1,0.01,17
789,778,11,22,8,800,99,100,0.99,2,0.02,1,0.01,17
887,874,13,26,9,900,98,100,0.98,4,0.04,2,0.02,17
985,970,15,30,10,1000,98,100,0.98,4,0.04,2,0.02,17
1938,1890,48,110,11,2000,953,1000,0.953,80,0.08,33,0.033,17
2886,2793,93,207,12,3000,948,1000,0.948,97,0.097,45,0.045,17
3815,3671,144,329,13,4000,929,1000,0.929,122,0.122,51,0.051,17
4724,4531,193,469,14,5000,909,1000,0.909,140,0.14,49,0.049,17
5621,5358,263,642,15,6000,897,1000,0.897,173,0.173,70,0.07,17
6500,6155,345,845,16,7000,879,1000,0.879,203,0.203,82,0.082,17
7374,6947,427,1053,17,8000,874,1000,0.874,208,0.208,82,0.082,17
8216,7697,519,1303,18,9000,842,1000,0.842,250,0.25,92,0.092,17
9064,8451,613,1549,19,10000,848,1000,0.848,246,0.246,94,0.094,17
9892,9173,719,1827,20,11000,828,1000,0.828,278,0.278,106,0.106,17
10722,9890,832,2110,21,12000,830,1000,0.83,283,0.283,113,0.113,17
11547,10611,936,2389,22,13000,825,1000,0.825,279,0.279,104,0.104,17
12353,11310,1043,2690,23,14000,806,1000,0.806,301,0.301,107,0.107,17
13144,11981,1163,3019,24,15000,791,1000,0.791,329,0.329,120,0.12,17
13935,12646,1289,3354,25,16000,791,1000,0.791,335,0.335,126,0.126,17
14729,13330,1399,3670,26,17000,794,1000,0.794,316,0.316,110,0.11,17
15497,13966,1531,4034,27,18000,768,1000,0.768,364,0.364,132,0.132,17
16264,14599,1665,4401,28,19000,767,1000,0.767,367,0.367,134,0.134,17
17009,15220,1789,4780,29,20000,745,1000,0.745,379,0.379,124,0.124,17
17743,15830,1913,5170,30,21000,734,1000,0.734,390,0.39,124,0.124,17
18485,16422,2063,5578,31,22000,742,1000,0.742,408,0.408,150,0.15,17
19193,16978,2215,6022,32,23000,708,1000,0.708,444,0.444,152,0.152,17
19927,17587,2340,6413,33,24000,734,1000,0.734,391,0.391,125,0.125,17
20674,18195,2479,6805,34,25000,747,1000,0.747,392,0.392,139,0.139,17
21418,18809,2609,7191,35,26000,744,1000,0.744,386,0.386,130,0.13,17
22134,19380,2754,7620,36,27000,716,1000,0.716,429,0.429,145,0.145,17
22858,19975,2883,8025,37,28000,724,1000,0.724,405,0.405,129,0.129,17
23560,20523,3037,8477,38,29000,702,1000,0.702,452,0.452,154,0.154,17
24256,21077,3179,8923,39,30000,696,1000,0.696,446,0.446,142,0.142,17
24961,21632,3329,9368,40,31000,705,1000,0.705,445,0.445,150,0.15,17
25661,22180,3481,9820,41,32000,700,1000,0.7,452,0.452,152,0.152,17
26329,22689,3640,10311,42,33000,668,1000,0.668,491,0.491,159,0.159,17
27024,23240,3784,10760,43,34000,695,1000,0.695,449,0.449,144,0.144,17
27693,23767,3926,11233,44,35000,669,1000,0.669,473,0.473,142,0.142,17
28402,24336,4066,11664,45,36000,709,1000,0.709,431,0.431,140,0.14,17
29078,24859,4219,12141,46,37000,676,1000,0.676,477,0.477,153,0.153,17
29748,25367,4381,12633,47,38000,670,1000,0.67,492,0.492,162,0.162,17
30386,25835,4551,13165,48,39000,638,1000,0.638,532,0.532,170,0.17,17
31029,26304,4725,13696,49,40000,643,1000,0.643,531,0.531,174,0.174,17
31674,26793,4881,14207,50,41000,645,1000,0.645,511,0.511,156,0.156,17
32335,27301,5034,14699,51,42000,661,1000,0.661,492,0.492,153,0.153,17
32963,27752,5211,15248,52,43000,628,1000,0.628,549,0.549,177,0.177,17
33577,28210,5367,15790,53,44000,614,1000,0.614,542,0.542,156,0.156,17
34204,28684,5520,16316,54,45000,627,1000,0.627,526,0.526,153,0.153,17
34835,29151,5684,16849,55,46000,631,1000,0.631,533,0.533,164,0.164,17
35458,29624,5834,17376,56,47000,623,1000,0.623,527,0.527,150,0.15,17
36084,30090,5994,17910,57,48000,626,1000,0.626,534,0.534,160,0.16,17
36704,30576,6128,18424,58,49000,620,1000,0.62,514,0.514,134,0.134,17
37315,31015,6300,18985,59,50000,611,1000,0.611,561,0.561,172,0.172,17
37932,31473,6459,19527,60,51000,617,1000,0.617,542,0.542,159,0.159,17
38538,31912,6626,20088,61,52000,606,1000,0.606,561,0.561,167,0.167,17
39143,32352,6791,20648,62,53000,605,1000,0.605,560,0.56,165,0.165,17
39775,32827,6948,21173,63,54000,632,1000,0.632,525,0.525,157,0.157,17
40362,33233,7129,21767,64,55000,587,1000,0.587,594,0.594,181,0.181,17
40953,33656,7297,22344,65,56000,591,1000,0.591,577,0.577,168,0.168,17
41565,34110,7455,22890,66,57000,612,1000,0.612,546,0.546,158,0.158,17
42166,34551,7615,23449,67,58000,601,1000,0.601,559,0.559,160,0.16,17
42748,34985,7763,24015,68,59000,582,1000,0.582,566,0.566,148,0.148,17
43320,35384,7936,24616,69,60000,572,1000,0.572,601,0.601,173,0.173,17
43885,35781,8104,25219,70,61000,565,1000,0.565,603,0.603,168,0.168,17
44463,36190,8273,25810,71,62000,578,1000,0.578,591,0.591,169,0.169,17
45016,36560,8456,26440,72,63000,553,1000,0.553,630,0.63,183,0.183,17
45581,36942,8639,27058,73,64000,565,1000,0.565,618,0.618,183,0.183,17
46142,37344,8798,27656,74,65000,561,1000,0.561,598,0.598,159,0.159,17
46705,37720,8985,28280,75,66000,563,1000,0.563,624,0.624,187,0.187,17
47266,38090,9176,28910,76,67000,561,1000,0.561,630,0.63,191,0.191,17
47837,38498,9339,29502,77,68000,571,1000,0.571,592,0.592,163,0.163,17
48438,38925,9513,30075,78,69000,601,1000,0.601,573,0.573,174,0.174,17
49026,39355,9671,30645,79,70000,588,1000,0.588,570,0.57,158,0.158,17
49584,39742,9842,31258,80,71000,558,1000,0.558,613,0.613,171,0.171,17
50125,40094,10031,31906,81,72000,541,1000,0.541,648,0.648,189,0.189,17
50667,40461,10206,32539,82,73000,542,1000,0.542,633,0.633,175,0.175,17
51234,40866,10368,33134,83,74000,567,1000,0.567,595,0.595,162,0.162,17
51784,41256,10528,33744,84,75000,550,1000,0.55,610,0.61,160,0.16,17
52322,41613,10709,34387,85,76000,538,1000,0.538,643,0.643,181,0.181,17
52848,41974,10874,35026,86,77000,526,1000,0.526,639,0.639,165,0.165,17
53402,42371,11031,35629,87,78000,554,1000,0.554,603,0.603,157,0.157,17
53937,42730,11207,36270,88,79000,535,1000,0.535,641,0.641,176,0.176,17
54449,43039,11410,36961,89,80000,512,1000,0.512,691,0.691,203,0.203,17
55012,43442,11570,37558,90,81000,563,1000,0.563,597,0.597,160,0.16,17
55583,43838,11745,38162,91,82000,571,1000,0.571,604,0.604,175,0.175,17
56133,44218,11915,38782,92,83000,550,1000,0.55,620,0.62,170,0.17,17
56645,44549,12096,39451,93,84000,512,1000,0.512,669,0.669,181,0.181,17
57180,44908,12272,40092,94,85000,535,1000,0.535,641,0.641,176,0.176,17
57727,45309,12418,40691,95,86000,547,1000,0.547,599,0.599,146,0.146,17
58238,45642,12596,41358,96,87000,511,1000,0.511,667,0.667,178,0.178,17
58742,45970,12772,42030,97,88000,504,1000,0.504,672,0.672,176,0.176,17
59270,46328,12942,42672,98,89000,528,1000,0.528,642,0.642,170,0.17,17
59806,46695,13111,43305,99,90000,536,1000,0.536,633,0.633,169,0.169,17
60338,47053,13285,43947,100,91000,532,1000,0.532,642,0.642,174,0.174,17
60849,47388,13461,44612,101,92000,511,1000,0.511,665,0.665,176,0.176,17
61344,47715,13629,45285,102,93000,495,1000,0.495,673,0.673,168,0.168,17
61863,48065,13798,45935,103,94000,519,1000,0.519,650,0.65,169,0.169,17
62391,48432,13959,46568,104,95000,528,1000,0.528,633,0.633,161,0.161,17
62902,48782,14120,47218,105,96000,511,1000,0.511,650,0.65,161,0.161,17
63401,49098,14303,47902,106,97000,499,1000,0.499,684,0.684,183,0.183,17
63905,49423,14482,48577,107,98000,504,1000,0.504,675,0.675,179,0.179,17
64394,49728,14666,49272,108,99000,489,1000,0.489,695,0.695,184,0.184,17
64884,50047,14837,49953,109,100000,490,1000,0.49,681,0.681,171,0.171,17
65391,50378,15013,50622,110,101000,507,1000,0.507,669,0.669,176,0.176,17
65896,50719,15177,51281,111,102000,505,1000,0.505,659,0.659,164,0.164,17
66384,51035,15349,51965,112,103000,488,1000,0.488,684,0.684,172,0.172,17
66873,51362,15511,52638,113,104000,489,1000,0.489,673,0.673,162,0.162,17
67387,51711,15676,53289,114,105000,514,1000,0.514,651,0.651,165,0.165,17
67858,52010,15848,53990,115,106000,471,1000,0.471,701,0.701,172,0.172,17
68342,52337,16005,54663,116,107000,484,1000,0.484,673,0.673,157,0.157,17
68825,52651,16174,55349,117,108000,483,1000,0.483,686,0.686,169,0.169,17
69320,52969,16351,56031,118,109000,495,1000,0.495,682,0.682,177,0.177,17
69807,53283,16524,56717,119,110000,487,1000,0.487,686,0.686,173,0.173,17
70283,53585,16698,57415,120,111000,476,1000,0.476,698,0.698,174,0.174,17
70762,53905,16857,58095,121,112000,479,1000,0.479,680,0.68,159,0.159,17
71249,54232,17017,58768,122,113000,487,1000,0.487,673,0.673,160,0.16,17
71725,54543,17182,59457,123,114000,476,1000,0.476,689,0.689,165,0.165,17
71869,54638,17231,59660,124,114298,144,298,0.48322147651006714,203,0.6812080536912751,49,0.1644295302013423,17
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,18
200,200,0,0,2,200,100,100,1,0,0,0,0,18
298,296,2,4,3,300,98,100,0.98,4,0.04,2,0.02,18
397,394,3,6,4,400,99,100,0.99,2,0.02,1,0.01,18
496,492,4,8,5,500,99,100,0.99,2,0.02,1,0.01,18
594,588,6,12,6,600,98,100,0.98,4,0.04,2,0.02,18
693,686,7,14,7,700,99,100,0.99,2,0.02,1,0.01,18
792,784,8,16,8,800,99,100,0.99,2,0.02,1,0.01,18
891,882,9,18,9,900,99,100,0.99,2,0.02,1,0.01,18
987,974,13,26,10,1000,96,100,0.96,8,0.08,4,0.04,18
1933,1885,48,115,11,2000,946,1000,0.946,89,0.089,35,0.035,18
2862,2769,93,231,12,3000,929,1000,0.929,116,0.116,45,0.045,18
3762,3597,165,403,13,4000,900,1000,0.9,172,0.172,72,0.072,18
4660,4425,235,575,14,5000,898,1000,0.898,172,0.172,70,0.07,18
5547,5248,299,752,15,6000,887,1000,0.887,177,0.177,64,0.064,18
6422,6041,381,959,16,7000,875,1000,0.875,207,0.207,82,0.082,18
7288,6821,467,1179,17,8000,866,1000,0.866,220,0.22,86,0.086,18
8134,7579,555,1421,18,9000,846,1000,0.846,242,0.242,88,0.088,18
8953,8280,673,1720,19,10000,819,1000,0.819,299,0.299,118,0.118,18
9764,8978,786,2022,20,11000,811,1000,0.811,302,0.302,113,0.113,18
10586,9680,906,2320,21,12000,822,1000,0.822,298,0.298,120,0.12,18
11389,10376,1013,2624,22,13000,803,1000,0.803,304,0.304,107,0.107,18
12184,11046,1138,2954,23,14000,795,1000,0.795,330,0.33,125,0.125,18
12969,11714,1255,3286,24,15000,785,1000,0.785,332,0.332,117,0.117,18
13763,12389,1374,3611,25,16000,794,1000,0.794,325,0.325,119,0.119,18
14555,13061,1494,3939,26,17000,792,1000,0.792,328,0.328,120,0.12,18
15314,13711,1603,4289,27,18000,759,1000,0.759,350,0.35,109,0.109,18
16070,14338,1732,4662,28,19000,756,1000,0.756,373,0.373,129,0.129,18
16832,14969,1863,5031,29,20000,762,1000,0.762,369,0.369,131,0.131,18
17562,15556,2006,5444,30,21000,730,1000,0.73,413,0.413,143,0.143,18
18323,16192,2131,5808,31,22000,761,1000,0.761,364,0.364,125,0.125,18
19059,16783,2276,6217,32,23000,736,1000,0.736,409,0.409,145,0.145,18
19763,17337,2426,6663,33,24000,704,1000,0.704,446,0.446,150,0.15,18
20502,17959,2543,7041,34,25000,739,1000,0.739,378,0.378,117,0.117,18
21208,18498,2710,7502,35,26000,706,1000,0.706,461,0.461,167,0.167,18
21904,19031,2873,7969,36,27000,696,1000,0.696,467,0.467,163,0.163,18
22617,19614,3003,8386,37,28000,713,1000,0.713,417,0.417,130,0.13,18
23302,20127,3175,8873,38,29000,685,1000,0.685,487,0.487,172,0.172,18
23987,20659,3328,9341,39,30000,685,1000,0.685,468,0.468,153,0.153,18
24694,21230,3464,9770,40,31000,707,1000,0.707,429,0.429,136,0.136,18
25381,21789,3592,10211,41,32000,687,1000,0.687,441,0.441,128,0.128,18
26099,22367,3732,10633,42,33000,718,1000,0.718,422,0.422,140,0.14,18
26766,22884,3882,11116,43,34000,667,1000,0.667,483,0.483,150,0.15,18
27455,23407,4048,11593,44,35000,689,1000,0.689,477,0.477,166,0.166,18
28124,23917,4207,12083,45,36000,669,1000,0.669,490,0.49,159,0.159,18
28809,24452,4357,12548,46,37000,685,1000,0.685,465,0.465,150,0.15,18
29462,24942,4520,13058,47,38000,653,1000,0.653,510,0.51,163,0.163,18
30120,25432,4688,13568,48,39000,658,1000,0.658,510,0.51,168,0.168,18
30763,25916,4847,14084,49,40000,643,1000,0.643,516,0.516,159,0.159,18
31398,26381,5017,14619,50,41000,635,1000,0.635,535,0.535,170,0.17,18
32061,26896,5165,15104,51,42000,663,1000,0.663,485,0.485,148,0.148,18
32697,27343,5354,15657,52,43000,636,1000,0.636,553,0.553,189,0.189,18
33338,27840,5498,16160,53,44000,641,1000,0.641,503,0.503,144,0.144,18
33955,28292,5663,16708,54,45000,617,1000,0.617,548,0.548,165,0.165,18
34596,28778,5818,17222,55,46000,641,1000,0.641,514,0.514,155,0.155,18
35213,29225,5988,17775,56,47000,617,1000,0.617,553,0.553,170,0.17,18
35849,29718,6131,18282,57,48000,636,1000,0.636,507,0.507,143,0.143,18
36492,30223,6269,18777,58,49000,643,1000,0.643,495,0.495,138,0.138,18
37117,30685,6432,19315,59,50000,625,1000,0.625,538,0.538,163,0.163,18
37741,31145,6596,19855,60,51000,624,1000,0.624,540,0.54,164,0.164,18
38349,31589,6760,20411,61,52000,608,1000,0.608,556,0.556,164,0.164,18
38943,32027,6916,20973,62,53000,594,1000,0.594,562,0.562,156,0.156,18
39555,32467,7088,21533,63,54000,612,1000,0.612,560,0.56,172,0.172,18
40155,32887,7268,22113,64,55000,600,1000,0.6,580,0.58,180,0.18,18
40798,33387,7411,22613,65,56000,643,1000,0.643,500,0.5,143,0.143,18
41395,33825,7570,23175,66,57000,597,1000,0.597,562,0.562,159,0.159,18
41983,34243,7740,23757,67,58000,588,1000,0.588,582,0.582,170,0.17,18
42582,34681,7901,24319,68,59000,599,1000,0.599,562,0.562,161,0.161,18
43170,35095,8075,24905,69,60000,588,1000,0.588,586,0.586,174,0.174,18
43737,35486,8251,25514,70,61000,567,1000,0.567,609,0.609,176,0.176,18
44321,35886,8435,26114,71,62000,584,1000,0.584,600,0.6,184,0.184,18
44910,36315,8595,26685,72,63000,589,1000,0.589,571,0.571,160,0.16,18
45472,36715,8757,27285,73,64000,562,1000,0.562,600,0.6,162,0.162,18
46029,37099,8930,27901,74,65000,557,1000,0.557,616,0.616,173,0.173,18
46593,37507,9086,28493,75,66000,564,1000,0.564,592,0.592,156,0.156,18
47191,37943,9248,29057,76,67000,598,1000,0.598,564,0.564,162,0.162,18
47768,38373,9395,29627,77,68000,577,1000,0.577,570,0.57,147,0.147,18
48333,38772,9561,30228,78,69000,565,1000,0.565,601,0.601,166,0.166,18
48891,39144,9747,30856,79,70000,558,1000,0.558,628,0.628,186,0.186,18
49455,39548,9907,31452,80,71000,564,1000,0.564,596,0.596,160,0.16,18
50019,39946,10073,32054,81,72000,564,1000,0.564,602,0.602,166,0.166,18
50596,40366,10230,32634,82,73000,577,1000,0.577,580,0.58,157,0.157,18
51166,40774,10392,33226,83,74000,570,1000,0.57,592,0.592,162,0.162,18
51707,41135,10572,33865,84,75000,541,1000,0.541,639,0.639,180,0.18,18
52250,41498,10752,34502,85,76000,543,1000,0.543,637,0.637,180,0.18,18
52789,41882,10907,35118,86,77000,539,1000,0.539,616,0.616,155,0.155,18
53344,42271,11073,35729,87,78000,555,1000,0.555,611,0.611,166,0.166,18
53877,42644,11233,36356,88,79000,533,1000,0.533,627,0.627,160,0.16,18
54416,43024,11392,36976,89,80000,539,1000,0.539,620,0.62,159,0.159,18
54963,43403,11560,37597,90,81000,547,1000,0.547,621,0.621,168,0.168,18
55489,43762,11727,38238,91,82000,526,1000,0.526,641,0.641,167,0.167,18
56025,44127,11898,38873,92,83000,536,1000,0.536,635,0.635,171,0.171,18
56568,44505,12063,39495,93,84000,543,1000,0.543,622,0.622,165,0.165,18
57104,44872,12232,40128,94,85000,536,1000,0.536,633,0.633,169,0.169,18
57619,45205,12414,40795,95,86000,515,1000,0.515,667,0.667,182,0.182,18
58119,45517,12602,41483,96,87000,500,1000,0.5,688,0.688,188,0.188,18
58649,45890,12759,42110,97,88000,530,1000,0.53,627,0.627,157,0.157,18
59186,46287,12899,42713,98,89000,537,1000,0.537,603,0.603,140,0.14,18
59740,46687,13053,43313,99,90000,554,1000,0.554,600,0.6,154,0.154,18
60280,47079,13201,43921,100,91000,540,1000,0.54,608,0.608,148,0.148,18
60821,47465,13356,44535,101,92000,541,1000,0.541,614,0.614,155,0.155,18
61323,47795,13528,45205,102,93000,502,1000,0.502,670,0.67,172,0.172,18
61828,48128,13700,45872,103,94000,505,1000,0.505,667,0.667,172,0.172,18
62345,48474,13871,46526,104,95000,517,1000,0.517,654,0.654,171,0.171,18
62833,48772,14061,47228,105,96000,488,1000,0.488,702,0.702,190,0.19,18
63335,49118,14217,47882,106,97000,502,1000,0.502,654,0.654,156,0.156,18
63857,49472,14385,48528,107,98000,522,1000,0.522,646,0.646,168,0.168,18
64335,49766,14569,49234,108,99000,478,1000,0.478,706,0.706,184,0.184,18
64866,50124,14742,49876,109,100000,531,1000,0.531,642,0.642,173,0.173,18
65358,50430,14928,50570,110,101000,492,1000,0.492,694,0.694,186,0.186,18
65860,50764,15096,51236,111,102000,502,1000,0.502,666,0.666,168,0.168,18
66370,51087,15283,51913,112,103000,510,1000,0.51,677,0.677,187,0.187,18
66872,51417,15455,52583,113,104000,502,1000,0.502,670,0.67,172,0.172,18
67346,51712,15634,53288,114,105000,474,1000,0.474,705,0.705,179,0.179,18
67821,52015,15806,53985,115,106000,475,1000,0.475,697,0.697,172,0.172,18
68338,52374,15964,54626,116,107000,517,1000,0.517,641,0.641,158,0.158,18
68821,52677,16144,55323,117,108000,483,1000,0.483,697,0.697,180,0.18,18
69304,52996,16308,56004,118,109000,483,1000,0.483,681,0.681,164,0.164,18
69771,53283,16488,56717,119,110000,467,1000,0.467,713,0.713,180,0.18,18
70244,53588,16656,57412,120,111000,473,1000,0.473,695,0.695,168,0.168,18
70742,53924,16818,58076,121,112000,498,1000,0.498,664,0.664,162,0.162,18
71214,54203,17011,58797,122,113000,472,1000,0.472,721,0.721,193,0.193,18
71719,54540,17179,59460,123,114000,505,1000,0.505,663,0.663,168,0.168,18
71869,54638,17231,59660,124,114298,150,298,0.5033557046979866,200,0.6711409395973155,52,0.174496644295302,18
98,96,2,4,1,100,NA,NA,NA,NA,NA,NA,NA,19
198,196,2,4,2,200,100,100,1,0,0,0,0,19
296,293,3,7,3,300,98,100,0.98,3,0.03,1,0.01,19
393,387,6,13,4,400,97,100,0.97,6,0.06,3,0.03,19
492,486,6,14,5,500,99,100,0.99,1,0.01,0,0,19
590,583,7,17,6,600,98,100,0.98,3,0.03,1,0.01,19
689,681,8,19,7,700,99,100,0.99,2,0.02,1,0.01,19
787,777,10,23,8,800,98,100,0.98,4,0.04,2,0.02,19
884,872,12,28,9,900,97,100,0.97,5,0.05,2,0.02,19
983,971,12,29,10,1000,99,100,0.99,1,0.01,0,0,19
1941,1896,45,104,11,2000,958,1000,0.958,75,0.075,33,0.033,19
2874,2780,94,220,12,3000,933,1000,0.933,116,0.116,49,0.049,19
3779,3618,161,382,13,4000,905,1000,0.905,162,0.162,67,0.067,19
4680,4442,238,558,14,5000,901,1000,0.901,176,0.176,77,0.077,19
5561,5250,311,750,15,6000,881,1000,0.881,192,0.192,73,0.073,19
6435,6048,387,952,16,7000,874,1000,0.874,202,0.202,76,0.076,19
7285,6805,480,1195,17,8000,850,1000,0.85,243,0.243,93,0.093,19
8131,7554,577,1446,18,9000,846,1000,0.846,251,0.251,97,0.097,19
8958,8273,685,1727,19,10000,827,1000,0.827,281,0.281,108,0.108,19
9789,9015,774,1985,20,11000,831,1000,0.831,258,0.258,89,0.089,19
10590,9690,900,2310,21,12000,801,1000,0.801,325,0.325,126,0.126,19
11412,10406,1006,2594,22,13000,822,1000,0.822,284,0.284,106,0.106,19
12211,11090,1121,2910,23,14000,799,1000,0.799,316,0.316,115,0.115,19
12984,11736,1248,3264,24,15000,773,1000,0.773,354,0.354,127,0.127,19
13756,12395,1361,3605,25,16000,772,1000,0.772,341,0.341,113,0.113,19
14554,13085,1469,3915,26,17000,798,1000,0.798,310,0.31,108,0.108,19
15307,13716,1591,4284,27,18000,753,1000,0.753,369,0.369,122,0.122,19
16081,14366,1715,4634,28,19000,774,1000,0.774,350,0.35,124,0.124,19
16846,15012,1834,4988,29,20000,765,1000,0.765,354,0.354,119,0.119,19
17596,15621,1975,5379,30,21000,750,1000,0.75,391,0.391,141,0.141,19
18372,16270,2102,5730,31,22000,776,1000,0.776,351,0.351,127,0.127,19
19102,16861,2241,6139,32,23000,730,1000,0.73,409,0.409,139,0.139,19
19835,17454,2381,6546,33,24000,733,1000,0.733,407,0.407,140,0.14,19
20558,18038,2520,6962,34,25000,723,1000,0.723,416,0.416,139,0.139,19
21280,18609,2671,7391,35,26000,722,1000,0.722,429,0.429,151,0.151,19
21994,19184,2810,7816,36,27000,714,1000,0.714,425,0.425,139,0.139,19
22685,19732,2953,8268,37,28000,691,1000,0.691,452,0.452,143,0.143,19
23404,20316,3088,8684,38,29000,719,1000,0.719,416,0.416,135,0.135,19
24120,20880,3240,9120,39,30000,716,1000,0.716,436,0.436,152,0.152,19
24799,21378,3421,9622,40,31000,679,1000,0.679,502,0.502,181,0.181,19
25526,21963,3563,10037,41,32000,727,1000,0.727,415,0.415,142,0.142,19
26228,22522,3706,10478,42,33000,702,1000,0.702,441,0.441,143,0.143,19
26896,23027,3869,10973,43,34000,668,1000,0.668,495,0.495,163,0.163,19
27568,23556,4012,11444,44,35000,672,1000,0.672,471,0.471,143,0.143,19
28246,24082,4164,11918,45,36000,678,1000,0.678,474,0.474,152,0.152,19
28898,24577,4321,12423,46,37000,652,1000,0.652,505,0.505,157,0.157,19
29580,25126,4454,12874,47,38000,682,1000,0.682,451,0.451,133,0.133,19
30241,25625,4616,13375,48,39000,661,1000,0.661,501,0.501,162,0.162,19
30890,26101,4789,13899,49,40000,649,1000,0.649,524,0.524,173,0.173,19
31517,26569,4948,14431,50,41000,627,1000,0.627,532,0.532,159,0.159,19
32157,27048,5109,14952,51,42000,640,1000,0.64,521,0.521,161,0.161,19
32798,27531,5267,15469,52,43000,641,1000,0.641,517,0.517,158,0.158,19
33437,28014,5423,15986,53,44000,639,1000,0.639,517,0.517,156,0.156,19
34088,28522,5566,16478,54,45000,651,1000,0.651,492,0.492,143,0.143,19
34734,29016,5718,16984,55,46000,646,1000,0.646,506,0.506,152,0.152,19
35355,29459,5896,17541,56,47000,621,1000,0.621,557,0.557,178,0.178,19
35954,29876,6078,18124,57,48000,599,1000,0.599,583,0.583,182,0.182,19
36595,30354,6241,18646,58,49000,641,1000,0.641,522,0.522,163,0.163,19
37192,30772,6420,19228,59,50000,597,1000,0.597,582,0.582,179,0.179,19
37800,31194,6606,19806,60,51000,608,1000,0.608,578,0.578,186,0.186,19
38422,31665,6757,20335,61,52000,622,1000,0.622,529,0.529,151,0.151,19
39052,32139,6913,20861,62,53000,630,1000,0.63,526,0.526,156,0.156,19
39678,32603,7075,21397,63,54000,626,1000,0.626,536,0.536,162,0.162,19
40275,33041,7234,21959,64,55000,597,1000,0.597,562,0.562,159,0.159,19
40883,33485,7398,22515,65,56000,608,1000,0.608,556,0.556,164,0.164,19
41508,33960,7548,23040,66,57000,625,1000,0.625,525,0.525,150,0.15,19
42119,34422,7697,23578,67,58000,611,1000,0.611,538,0.538,149,0.149,19
42713,34847,7866,24153,68,59000,594,1000,0.594,575,0.575,169,0.169,19
43292,35260,8032,24740,69,60000,579,1000,0.579,587,0.587,166,0.166,19
43865,35661,8204,25339,70,61000,573,1000,0.573,599,0.599,172,0.172,19
44465,36108,8357,25892,71,62000,600,1000,0.6,553,0.553,153,0.153,19
45048,36525,8523,26475,72,63000,583,1000,0.583,583,0.583,166,0.166,19
45624,36936,8688,27064,73,64000,576,1000,0.576,589,0.589,165,0.165,19
