group_1,group_2,median_RR,lower_RR,upper_RR,RR,is_prison_1,is_prison_2
98524,98303,0,0,0,0,FALSE,FALSE
98524,98304,0,0,0,0,FALSE,FALSE
98524,98321,0.8511122283101815,0,1.0334944449306662,0.881682622970186,FALSE,FALSE
98524,98323,0,0,0,0,FALSE,FALSE
98524,98327,1.2063257759833972,0,1.4183822490808666,1.2003105015683224,FALSE,FALSE
98524,98328,1.2505930457345238,0,1.5938006741181119,1.2294185604687888,FALSE,FALSE
98524,98329,1.2466362491821097,0,1.504081961225325,1.2668429328229045,FALSE,FALSE
98524,98332,0.7479607618704651,0,0.9074046837435492,0.7580667976573359,FALSE,TRUE
98524,98333,0,0,0,0,FALSE,FALSE
98524,98335,0.8857530436092205,0,1.115327196664327,0.9220639203515916,FALSE,FALSE
98524,98338,1.2770957202945399,0,1.5021204948906315,1.2967428415966578,FALSE,FALSE
98524,98349,1.375648550124738,0,1.7223370865885537,1.3728809921926208,FALSE,FALSE
98524,98351,0,0,0,0,FALSE,FALSE
98524,98354,0,0,0,0,FALSE,FALSE
98524,98360,1.0381183612710974,0,1.324002165736618,0.9976104812676969,FALSE,FALSE
98524,98371,0.48799082915750225,0,0.60914118256924,0.4367671201665434,FALSE,FALSE
98524,98372,1.0597392292047552,0,1.2222510809557214,1.0805651921609085,FALSE,FALSE
98524,98373,0.6675693982946584,0,0.9019537268165845,0.6517815089161321,FALSE,FALSE
98524,98374,0.7238912138918332,0,0.9507463267062785,0.7550287828711651,FALSE,FALSE
98524,98375,1.2580744692155852,0,1.4292701147932505,1.2662676181395156,FALSE,FALSE
98524,98385,0,0,0,0,FALSE,FALSE
98524,98387,0.9160214559311607,0,1.1202607055976666,0.935615493974637,FALSE,FALSE
98524,98388,0,0,0,0,FALSE,FALSE
98524,98390,0.7764178913948014,0,1.0450649687755884,0.8254355521442311,FALSE,FALSE
98524,98391,0.342175281222599,0,0.4608620364408416,0.36039955991123057,FALSE,FALSE
98524,98394,0,0,0,0,FALSE,FALSE
98524,98396,0,0,0,0,FALSE,FALSE
98524,98402,1.3933911543766164,0,1.5765396600628734,1.4149127005124558,FALSE,FALSE
98524,98403,1.179129636581195,0,1.474032197036041,1.1740300190076687,FALSE,FALSE
98524,98404,0.6188789684300061,0,0.8661926621421959,0.6685552977485325,FALSE,FALSE
98524,98405,0.981290201277856,0,1.1776865334753375,1.000234830255846,FALSE,FALSE
98524,98406,0.7939639529984429,0,1.0111787651676365,0.7521773118810934,FALSE,FALSE
98524,98407,1.268262219868313,0,1.4948435819431762,1.2905907406355996,FALSE,FALSE
98524,98408,1.4911082786269307,0,1.6278802989544838,1.4990974705071038,FALSE,FALSE
98524,98409,1.004754686381908,0,1.1761164656871934,1.015464807554367,FALSE,FALSE
98524,98416,0,0,0,0,FALSE,FALSE
98524,98418,1.3081079099471797,0,1.456420139161501,1.2565666043908126,FALSE,FALSE
98524,98421,0,0,0,0,FALSE,FALSE
98524,98422,1.1185146522115217,0,1.2958073615909187,1.1442396396183079,FALSE,FALSE
98524,98424,0.6955826428087384,0,0.8925266227472728,0.6877102713388119,FALSE,FALSE
98524,98433,1.535659505204129,0,1.6738960202704567,1.543351270374472,FALSE,FALSE
98524,98438,0,0,0,0,FALSE,FALSE
98524,98439,0,0,0,0,FALSE,FALSE
98524,98443,0,0,0,0,FALSE,FALSE
98524,98444,0.9900438148211838,0,1.191708704313438,1.0154119792946878,FALSE,FALSE
98524,98445,0.848611359732294,0,1.108169339813168,0.8912171196920562,FALSE,FALSE
98524,98446,0,0,0,0,FALSE,FALSE
98524,98447,0,0,0,0,FALSE,FALSE
98524,98465,1.3790073379008319,0,59.59961102399559,1.358831040518135,FALSE,FALSE
98524,98466,0.9296467754800276,0,1.1919532113608433,0.9639831616744038,FALSE,FALSE
98524,98467,0,0,0,0,FALSE,FALSE
98524,98498,1.5552753321298263,0,11.033434754499462,1.5541038338002116,FALSE,FALSE
98524,98499,1.3262061948288866,0,1.478022200226385,1.3381411913343808,FALSE,FALSE
98524,98558,0,0,0,0,FALSE,FALSE
98524,98580,0.8933519098090659,0,1.2378244084685517,0.867015328091795,FALSE,FALSE
98528,98303,0,0,0,0,TRUE,FALSE
98528,98304,0,0,0,0,TRUE,FALSE
98528,98321,0.740912833591531,0,1.9794192782301716,0.6124490884472832,TRUE,FALSE
98528,98323,0,0,0,0,TRUE,FALSE
98528,98327,1.906878784615286,0,5.883113882541669,1.6675593992376523,TRUE,FALSE
98528,98328,0,0,0,0,TRUE,FALSE
98528,98329,0,0,0,0,TRUE,FALSE
98528,98332,37.66556566190091,19.494581887469355,85.8404333318263,39.17762656211224,TRUE,TRUE
98528,98333,0,0,0,0,TRUE,FALSE
98528,98335,10.742283971913235,4.298750663684613,26.594138480600705,10.88849011826953,TRUE,FALSE
98528,98338,0,0,0,0,TRUE,FALSE
98528,98349,0,0,0,0,TRUE,FALSE
98528,98351,0,0,0,0,TRUE,FALSE
98528,98354,0,0,0,0,TRUE,FALSE
98528,98360,0,0,0,0,TRUE,FALSE
98528,98371,6.31671748323002,0,10.918449889162842,6.067889229995404,TRUE,FALSE
98528,98372,0.9443534829119262,0,1.6476009281161803,0.8578288178993668,TRUE,FALSE
98528,98373,1.1042573703801186,0,1.9912842508439839,0.9055026845322734,TRUE,FALSE
98528,98374,0,0,0,0,TRUE,FALSE
98528,98375,0.7076548067676924,0,1.2414982117239044,0.5863972879850237,TRUE,FALSE
98528,98385,0,0,0,0,TRUE,FALSE
98528,98387,0,0,0,0,TRUE,FALSE
