days,central_mean_max_dist,lower_mean_max_dist,upper_mean_max_dist,central_prop_outside_zip,lower_prop_outside_zip,upper_prop_outside_zip,central_prop_outside_county,lower_prop_outside_county,upper_prop_outside_county
0,0,0,0,0,0,0,0,0,0
1,5.372492592777015,4.876149221661258,5.827401796879441,0.09134121274409045,0.08703590698869476,0.09622302158273381,0.04055032585083273,0.037652365435674635,0.04350712044412262
2,9.3315527736498,8.808123606889058,9.972180477789719,0.15711716341212745,0.15172147995889004,0.16276978417266186,0.07011827178373159,0.0662533188510741,0.07440260680666184
3,13.037105972413723,12.371176450631799,13.735725415012297,0.2133864337101747,0.20709146968139774,0.21961716341212745,0.09648805213613323,0.09172097513878832,0.10071204441226164
4,16.402974538984566,15.637245048052755,17.153047010174422,0.2606628982528263,0.25359391058581704,0.2676644398766701,0.12008206613565049,0.11531498913830558,0.12497133719526912
5,19.827967285156767,18.932873593599442,20.675786993007133,0.3067189105858171,0.29920349434737925,0.31391315519013363,0.14258991069273474,0.13697501810282406,0.14759986724595706
6,22.995885916309298,22.11020464042985,23.993446537963962,0.3484069886947585,0.34133960688591986,0.35592401079136693,0.16606323919864832,0.16044985517740767,0.17137340091720976
7,26.290419660302867,25.33441031016438,27.329584444855413,0.38958119218910586,0.3818682553956835,0.39729412898252825,0.18878228336953898,0.18241461501327538,0.1947863866763215
8,28.867107463712376,27.77198554865714,29.8793831253184,0.4204136690647482,0.41264131551901334,0.42818602261048305,0.2068549360366884,0.20021572531981655,0.21259051412020277
9,31.356753747931748,30.25149380956655,32.4170885198996,0.44854830421377184,0.4409686536485098,0.4567735097636177,0.22296644943277819,0.21632723871590637,0.229243603668839
10,33.831377858540534,32.763525210979466,34.98628967699163,0.47231500513874614,0.46396293679342243,0.48073451952723534,0.23787110789283128,0.23111272025102583,0.24444846729423123
11,35.87717843555242,34.71905340045672,37.04353839710709,0.4943473792394656,0.4864449511819116,0.5018001670092497,0.25283610909968623,0.2461380642046826,0.2597770335505672
12,37.8223013339897,36.56660126248581,39.0137935602106,0.5142600205549845,0.5059095580678314,0.5222282887975334,0.26532705768766596,0.258387641805455,0.27148201786145304
13,39.82409009529059,38.665970339271276,40.93458736951756,0.5336909044193217,0.5255010277492291,0.5409172661870504,0.2781800627564567,0.2714216751146512,0.2850591358918658
14,41.76786191872266,40.53140010378616,42.924066258561815,0.5526079136690647,0.5448291366906475,0.5607656731757451,0.29000724112961623,0.2832473449191407,0.29640357229061065
15,43.369843439216964,42.12146210116961,44.63315188110398,0.5685380267214799,0.5604428956834532,0.5762493576567318,0.30080859280714456,0.29405020516533914,0.30720492396813903
16,44.884562351090295,43.6133619411339,46.18536522948194,0.5802286742034943,0.57322552672148,0.5874887589928057,0.31076514602944727,0.3036447019068308,0.31728216268404535
17,46.357811436555075,45.071994840181866,47.67195895067398,0.5909236896197327,0.5836314876670092,0.59898670349434735,0.3183079893796766,0.3118513154718803,0.3252504223992276
18,47.532318965615616,46.30838387476012,48.85652720673748,0.5996916752312436,0.5924331963001028,0.607208697327852,0.3258508327299059,0.3186700458604876,0.3333951846488052
19,48.97031707072739,47.62037177437396,50.327425508193386,0.6094231757451182,0.6014902363823227,0.6172276464542652,0.3333333333333333,0.32663227130098965,0.34033460053101616
20,50.428021948425666,49.08827404391726,51.78056487463868,0.6198933710174718,0.611896197327852,0.6275709789311408,0.34129857591117546,0.3346005310161719,0.34884443639874485
21,51.53452120550186,50.26422485588059,52.93898331360744,0.6293679342240494,0.6216598150051388,0.6364979445015416,0.3481776490465846,0.34057446294955346,0.3555394641564084
22,52.788738318857185,51.38212923264667,54.2074453356923,0.6375256937307296,0.6297517343268243,0.6451727903391572,0.35445329471397535,0.34781106685976343,0.36151339608979
23,54.03904605832078,52.649352309917646,55.52074153420876,0.6450411099691675,0.6377167908530318,0.6522995889003084,0.36199613806420466,0.35469013999517257,0.3694801472363022
24,54.98218249373339,53.557801554346526,56.29543690290597,0.6516572456320657,0.6447825668036999,0.6587888617677287,0.3679700699975863,0.36054791214096066,0.37485366883900556
25,56.024243811711,54.50754464198736,57.44625567660386,0.6576310380267215,0.6503709532374101,0.6651480601233298,0.37334057446294955,0.36603910209992757,0.38088341781317886
26,56.78214895986423,55.27801152759818,58.3215008541797,0.6628982528263104,0.6555723278520041,0.6705437435765673,0.377534395365677,0.37044261404779144,0.3851089186579773
27,57.687317641547025,56.29756645821924,59.13415634795573,0.6687114594039054,0.6616135662898253,0.6763232271325796,0.3825730147236302,0.3752036567704562,0.38999517258025584
28,58.48061210928127,57.026767140838906,59.97936534306385,0.673400565262076,0.6655960945529291,0.6805626927029804,0.3867970069997586,0.3794925174993966,0.39428252474052616
29,59.16880469245096,57.687505757038146,60.68501785995881,0.677415210688592,0.6699624229188079,0.6848679984583761,0.3904779145546705,0.3834178131788559,0.39796343229543807
30,59.66864908985682,58.28515438738663,61.15984417949205,0.6812050359712231,0.6738775051387462,0.6882708119218911,0.3937364228819696,0.38583152305092927,0.40116461501327544
31,60.4351448118812,58.840831173464565,61.91595381829469,0.6858299075025693,0.6781844167523123,0.6923175745118191,0.3974776731836833,0.3899936640115858,0.4050823678493845
32,60.88777334351132,59.50690496985029,62.33818762110377,0.6885919835560124,0.6817831449126414,0.6957268114080164,0.4007965242577842,0.3934332005792904,0.4076755973931933
33,61.38213626942368,60.002529129462104,62.88377973465663,0.6913540596094553,0.6842208376156218,0.6986141443987668,0.40302920588945207,0.3949402606806662,0.4105132150615496
34,62.060311719695115,60.57405075527748,63.63685239540079,0.6946942446043165,0.6875642343268242,0.7012477517985612,0.40610668597634564,0.3986226768042481,0.414013094376056
35,62.666240769995234,61.30493284820527,64.16890005611816,0.6974884378211716,0.6897449897225078,0.7042025308324769,0.4091841660632392,0.401941527878349,0.4167270094134685
36,63.21495875593686,61.68072347912289,64.68952453352213,0.7005395683453237,0.693215249229188,0.7078638874614595,0.4117185614289162,0.40489530533429885,0.41878167994207094
37,63.63200637800574,62.1769285853092,65.29635572311618,0.7034943473792394,0.696813977389517,0.7105601233299075,0.4138003861935795,0.4068292903692976,0.42173696596669086
38,64.09394210603958,62.508963429083515,65.61313059454751,0.7060316032887975,0.6994475847893115,0.7126156217882836,0.4163649529326575,0.40906348056963554,0.4240888245232923
39,64.4015400735534,62.90862295132104,65.82862057939214,0.707926515930113,0.7002167908530318,0.7154435380267216,0.41769249336229786,0.4106323919864832,0.4248747888003862
40,64.73401633910632,63.30228376885126,66.3484105088981,0.7094039054470709,0.7025276207605344,0.7163428186022611,0.41944243301955103,0.411777395607048,0.4266835626357712
41,65.04270004914198,63.63176390654109,66.52558858059487,0.7113309352517986,0.7038781474820144,0.7183999229188078,0.42137340091720976,0.41424843108858317,0.4286763818489018
42,65.44109794331122,63.989339250808904,66.98868669943525,0.7133221993833505,0.7063848920863309,0.720516443987667,0.42294231233405744,0.4157011827178373,0.43060734974656045
43,65.80866377069776,64.26502082965415,67.33358681895271,0.7155704008221994,0.7081192189105858,0.7222555883864338,0.42544653632633356,0.4181752353367125,0.4329048998310403
44,66.0669882976746,64.53631419189506,67.53586795567216,0.7170477903391572,0.7101072713257965,0.7243721094552928,0.4265628771421675,0.41895969104513636,0.4339865435674632
45,66.28703612462326,64.76954833864228,67.78710142767092,0.7184609455292909,0.7112667009249743,0.7251413155190134,0.4274076755973932,0.41968380400675837,0.4351918899348298
46,66.60525823225477,65.13268699171849,68.04242390522765,0.7192959917780062,0.7124823355601234,0.7267487795477903,0.4286145305334299,0.4212527154236061,0.43603970552739557
47,66.72509639780877,65.19286571123969,68.30575891512845,0.7203237410071942,0.7138987024665983,0.727582219938335,0.42921795800144824,0.42203415399468985,0.4368226526671494
48,67.00888168991693,65.52373263661877,68.53125483382574,0.7221865364850977,0.714409365364851,0.7290596094552929,0.4308170407916968,0.4225168959691045,0.43815019309678976
49,67.2067882286325,65.72272257189614,68.66393974203024,0.7232464028776978,0.7161469039054471,0.7304743705035972,0.43193338160753075,0.4243271783731596,0.43905533429881727
50,67.45701887599141,65.9325999663146,68.94936861924067,0.7248201438848921,0.7176885277492292,0.7324030061664953,0.43326092203717115,0.42614047791455467,0.44038438329712765
51,67.7263968699126,66.22858157818908,69.17115218479393,0.7264260020554985,0.7194244604316546,0.7334933838643372,0.4344677769732078,0.42638034033309197,0.44225199131064447
52,67.97009819640343,66.4179367077686,69.49626678470891,0.7278391572456321,0.7205790724563206,0.7343268242548818,0.435493603668839,0.4281317885590152,0.4429172700941347
53,68.12540773376693,66.44883833183876,69.70901396103768,0.7282245632065776,0.7212824383350463,0.7352277106885919,0.43588583152305094,0.42837315954622257,0.44363987448708664
54,68.2014635851973,66.59533631801507,69.6762946288285,0.7292523124357657,0.7222491649537512,0.735998522610483,0.43633840212406466,0.42873521602703357,0.444244810523775
55,68.31396501600665,66.76964730859791,69.76710752646285,0.729830421377184,0.7230183710174717,0.7366408658787256,0.4373642288196959,0.4301804248129375,0.4450292662321989
56,68.53041851527684,66.9273149479853,70.12315225876758,0.7307297019527236,0.7243062692702981,0.7379897867420349,0.4380883417813179,0.4305424812937485,0.4458755732560946
57,68.71840495635533,67.32836319281202,70.25768374177986,0.7318859198355602,0.7252039439876671,0.7391460046248715,0.4389934829833454,0.4313887883176442,0.4463583152305093
58,68.88586706219479,67.33680931322753,70.43782027633628,0.7325924974306269,0.7258462872559096,0.740045285200411,0.43983828143857107,0.43253680907554914,0.4475063359884142
59,69.02189632969208,67.34946394139868,70.57732721162431,0.7334917780061665,0.72629753340185,0.7401079136690647,0.4401098237991793,0.43277667149408644,0.4473826333574704
60,69.11483474430719,67.58762965274357,70.76324997086395,0.7335560123329907,0.7264886305241521,0.7412031089414183,0.4408641081342023,0.4330768766594255,0.44822592324402605
61,69.17301296852042,67.69798735438911,70.69275392550787,0.7340056526207606,0.7272594424460432,0.7411372687564235,0.4411959932416124,0.4333816075307748,0.4485306541153753
62,69.31209185180222,67.73351516491414,71.02789915229496,0.7344552929085303,0.7279017857142858,0.7414584403905446,0.4418597634564325,0.4342852401641323,0.4495549722423365
63,69.40720395190561,67.86925595602793,70.89614793150271,0.735129753340185,0.7282245632065776,0.7420991778006166,0.4421313058170408,0.4350108616944243,0.4496138064204683
64,69.43365397440789,67.97130047747451,71.01932701152523,0.7356757451181911,0.7288653006166494,0.7426162641315519,0.44273473328505913,0.435066678735216,0.4497963432295438
65,69.56749520894107,67.9634990701704,71.16988049752183,0.7360932682425488,0.7294450154162384,0.743321235868448,0.4432174752594738,0.435493603668839,0.4510031981655805
66,69.70167912666871,68.18647921487047,71.24183116397042,0.7367998458376156,0.7298946557040082,0.7436456192189106,0.44345884624668114,0.4356746319092445,0.4508810041033068
67,69.82107122494224,68.220400080845,71.4195672340543,0.7373779547790339,0.7306654676258992,0.744414825282631,0.44418295920830314,0.43676080135167755,0.4510062153029206
68,69.84664301112002,68.34365671561294,71.4356403105739,0.7375385405960946,0.7307280960945529,0.7440904419321686,0.44418295920830314,0.436217716630461,0.4517861453053343
69,69.8395835095627,68.31736028744456,71.43262383108988,0.7378597122302158,0.7305996274409043,0.7446091341212744,0.44439415882210953,0.43627504223992275,0.45209087617668353
70,69.99538637489283,68.344901990362,71.39410530026343,0.7385020554984584,0.7321428571428571,0.7452466598150052,0.444605358435916,0.4376010741008931,0.45269279507603183
71,70.01428202327523,68.49248324532117,71.64691426345178,0.7385020554984584,0.7315647482014388,0.7449897225077081,0.4449070721699252,0.4374245715664977,0.4522719044170891
72,70.02848948337316,68.47295134570525,71.71172471655557,0.7388232271325796,0.7320738052415211,0.7452466598150052,0.44514844315713253,0.4376055998069032,0.4518464880521361
73,70.15361473341072,68.57275228660538,71.6525429360857,0.7390801644398767,0.7314362795477903,0.7456320657759506,0.44520878590393437,0.437662925416365,0.4532358797972484
74,70.13479341147638,68.56431529353381,71.70897852086173,0.7390159301130524,0.7320143884892086,0.7462133864337102,0.4454501568911417,0.4378454622254405,0.4528753318851075
75,70.28388563713017,68.60737228606645,71.80643948853557,0.7395298047276464,0.7322713257965057,0.7460849177800617,0.44551049963794354,0.43832669563118515,0.4532962225440502
76,70.24035806105636,68.83442230140108,71.81264713987514,0.7393371017471737,0.7322713257965057,0.746210174717369,0.4459932416123582,0.438750603427468,0.4532947139753802
77,70.29141946100273,68.63611489480822,71.88981623546717,0.7395298047276464,0.7331047661870504,0.7464044835560124,0.44605358435916004,0.43893314023654356,0.4535360849625875
78,70.27011520627033,68.60749751264325,71.87715348355697,0.7397867420349434,0.733040531860226,0.7473021582733813,0.4465363263335747,0.4385695751870625,0.45378047308713493
79,70.32552884196468,68.67489679557973,71.93451576677593,0.7403327338129496,0.7334227261048304,0.7466614208633094,0.4462949553463674,0.4382648443157133,0.453355056722182
80,70.34554253075777,68.8710776770801,71.79620267034893,0.7401079136690647,0.7332332348406989,0.747176901336074,0.4467173545739802,0.4394143736422882,0.4539630098962105
81,70.39118133994546,68.83841515843415,72.0422628770644,0.740396968139774,0.7338129496402878,0.7469825924974306,0.4468983828143857,0.439112659908279,0.45426170649287956
82,70.46078602970869,68.82407374033224,71.91769301721313,0.7402684994861254,0.7339398124357657,0.7473021582733813,0.4463854694665701,0.43899197441467536,0.4540203355056722
83,70.4808802634603,68.95089710170224,72.01349508905926,0.740172147995889,0.7331706063720452,0.7472395298047276,0.4467173545739802,0.4385695751870625,0.45432054067101135
84,70.48194235012338,68.86800445151016,72.13562411839153,0.7409108427543679,0.7341325154162385,0.7474964671120247,0.4468983828143857,0.4395365677045619,0.4545030774800869
85,70.5242924291311,68.84735472935981,72.02929350153005,0.740686022610483,0.7335544064748201,0.7475590955806783,0.44659666908037654,0.4392936881486845,0.4542601979242095
86,70.54825764241212,69.08973587359847,72.05484625737985,0.740686022610483,0.7337455035971223,0.747176901336074,0.44686821144098476,0.43923485397055273,0.45420588945208784
87,70.54837092206378,69.04952551059192,72.19788428879106,0.74094295991778,0.734134121274409,0.7482046505652621,0.4470794110547912,0.4397130702389573,0.45462376297369056
88,70.56091796896507,69.04888308229077,72.10598805524809,0.7413283658787256,0.7344536870503596,0.7480119475847893,0.4472604392951967,0.43989711561670286,0.4547444484672942
89,70.64526029293438,69.11047168276104,72.13239434668326,0.7412641315519013,0.7343894527235355,0.74833151336074,0.4477431812696114,0.43965725319816557,0.454441226164615
90,70.63659260463561,69.09504721252384,72.20118818835492,0.7416495375128469,0.7344536870503596,0.7483941418293937,0.4477431812696114,0.4396542360608255,0.45504465363263336
91,70.67315710787159,69.11810682031604,72.1591674456618,0.7415210688591983,0.733747109455293,0.7486526849948612,0.44732078204199854,0.43941588221095823,0.4552875331885108
92,70.61050219201744,69.089194589749,72.2228666974693,0.7417780061664954,0.7353529676258992,0.7487169193216856,0.4477733526430123,0.44007814385710836,0.455527395607048
