week,n_clusters,mean_cluster_size,mean_cluster_duration
0,463,2.3434125269978403,16.1986754966887
1,269,2.241635687732342,20.9206349206349
2,427,2.201405152224824,19.2520325203252
3,467,2.449678800856531,20.45
4,558,2.460573476702509,16.8385093167702
5,838,1.779236276849642,12.9489361702128
6,1083,2.0147737765466296,11.8528428093645
7,1044,1.5469348659003832,10.7821782178218
8,1034,1.5087040618955512,8.06363636363637
9,845,1.4497041420118344,9.08092485549133
10,671,1.7943368107302533,9.94871794871795
11,544,1.5827205882352942,9.34615384615385
12,450,1.808888888888889,13.6372549019608
13,344,1.6569767441860466,15.7702702702703
14,363,1.4931129476584022,15.4202898550725
15,309,1.7378640776699028,13.5657894736842
16,318,1.8113207547169812,20.9318181818182
17,267,1.700374531835206,20.1159420289855
18,475,1.8989473684210527,22.8515625
19,616,1.9107142857142858,17.7374301675978
20,965,1.7471502590673575,18.5719557195572
21,1410,1.6567375886524822,14.9058171745152
22,1094,1.7248628884826325,14.8316151202749
23,1452,1.581267217630854,11.5401069518716
24,1865,1.3823056300268097,10.4335839598997
25,1325,1.4633962264150944,11.8006535947712
26,1002,1.3512974051896207,10.4114832535885
27,1793,1.2967094255437814,10.771986970684
28,693,1.352092352092352,10.6319444444444
29,928,1.4019396551724137,11.9277777777778
30,1168,1.4357876712328768,12.8630136986301
31,793,1.3745271122320302,11.7922077922078
32,791,1.552465233881163,12.1420765027322
33,951,1.384858044164038,10.6436170212766
34,723,1.4467496542185339,12.5786163522013
35,571,1.5043782837127846,9.69503546099291
36,744,1.4422043010752688,9.19047619047618
37,736,1.4755434782608696,9
38,463,1.4622030237580994,9.47222222222222
39,999,1.5065065065065064,7.22388059701492
40,825,2.5806060606060606,17.9728682170543
41,1056,2.7547348484848486,25.3558897243107
42,838,2.1252983293556085,23.3086053412463
43,1695,1.6643067846607669,18.9471544715447
44,1833,1.5701036552100383,15.2428298279158
45,1502,1.4680426098535286,15.4041450777202
46,872,1.319954128440367,13.8103448275862
47,1008,1.2410714285714286,12.3832335329341
48,723,1.3430152143845089,10.6747967479675
49,947,1.388595564941922,11.8688524590164
50,818,1.3056234718826405,10.538961038961
51,662,1.663141993957704,10.687074829932
52,608,1.7335526315789473,17.0896551724138
53,391,1.6726342710997442,16.4285714285714
54,383,2.052219321148825,21.2887323943662
55,616,2.0064935064935066,19.7356828193833
56,774,1.9237726098191215,18.4877049180328
57,605,1.9801652892561983,19.1153846153846
58,666,1.9924924924924925,18.6887966804979
59,999,1.936936936936937,17.5056497175141
60,861,1.727061556329849,17.7137254901961
61,745,1.5543624161073826,14.390350877193
62,901,1.5527192008879023,13.3722943722944
63,1088,1.4862132352941178,14.5789473684211
64,802,1.3778054862842892,16.25
65,818,1.5953545232273838,18.1494845360825
66,1063,1.4543744120413924,17.0267379679144
67,1014,1.5670611439842208,18.6964980544747
68,965,1.4601036269430052,17.6596638655462
69,822,1.5401459854014599,19.3056994818653
70,950,1.3842105263157896,16.9753694581281
71,808,1.3762376237623761,15.5882352941177
72,946,1.4101479915433404,13.4670050761421
73,921,1.3517915309446253,11.9761904761905
74,585,1.3794871794871795,12.7661290322581
75,738,1.3644986449864498,12.5519480519481
76,788,1.381979695431472,10.2705882352941
77,709,1.2820874471086037,9.57692307692308
78,484,1.3450413223140496,12.5632183908046
79,426,1.4906103286384977,12.8217821782178
80,419,1.4200477326968974,12.2903225806452
81,607,1.398682042833608,10.1543624161074
82,417,1.5635491606714629,13.1067961165049
83,568,1.4049295774647887,12.6229508196721
84,365,1.3068493150684932,9.38888888888889
85,345,1.3420289855072465,16.1551724137931
86,313,1.4249201277955272,14.887323943662
87,366,1.46448087431694,10.9444444444444
88,292,1.4486301369863013,12.6119402985075
89,293,1.515358361774744,13.3103448275862
90,379,1.4907651715039578,11.7386363636364
91,400,1.3675,7.87323943661972
92,239,1.2259414225941423,7.25
93,274,1.2627737226277371,5
94,211,1.2180094786729858,3.25
95,275,1.1309090909090909,1.07142857142857
