# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Apr 16 16:33:39 PDT 2024 [seed=1713310417923]
# -threads 4 -save_every 2000000 -beagle xmls/rep-2-seq-density-0.1-unbiased.xml
state	joint	prior	likelihood	region.clock.rate	region.meanRate	region.rates.0.1	region.rates.0.2	region.rates.0.3	region.rates.0.4	region.rates.1.2	region.rates.1.3	region.rates.1.4	region.rates.2.3	region.rates.2.4	region.rates.3.4	region.indicators.0.1	region.indicators.0.2	region.indicators.0.3	region.indicators.0.4	region.indicators.1.2	region.indicators.1.3	region.indicators.1.4	region.indicators.2.3	region.indicators.2.4	region.indicators.3.4	region.nonZeroRates	region.treeLikelihood
0	-66784.74059841545	-64026.210302286614	-2758.530296128831	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2758.530296128831
10000	-3239.9506918859665	-509.5047809948392	-2730.4459108911274	0.007856813559984903	0.007856813559984903	0.6402133372031835	0.5782807005279389	0.4730746137560717	1.076570299123975	0.8492694648594157	0.8406849217991336	0.6036849098351557	0.6853588619237281	1.2867203491118588	1.6524941395018127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2730.4459108911274
20000	-3242.2910085391804	-482.68151305292946	-2759.609495486251	0.007337883777258768	0.007337883777258778	1.0808648541872072	0.9293410793674995	0.8716224039289386	1.6739072164365387	1.3858773064338594	1.202990998659623	1.5874195507891962	1.949339910432465	1.7328247580487268	2.7028334964043226	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2759.609495486251
30000	-3241.3962982979065	-523.3909065226349	-2718.0053917752716	0.007956616957983114	0.007956616957983133	1.1465788578978864	1.1967117114893122	0.868563111950011	1.944359171668586	1.6331749408590357	1.1934655777434222	1.1913063668033794	2.46188490512382	2.1056200629861426	2.4354936979403594	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2718.0053917752716
40000	-3245.1030761242046	-477.8945298004207	-2767.208546323784	0.007301097911993596	0.007301097911993598	0.785549174835948	0.7299113948047975	0.4438766605190143	1.8914381641374394	0.9367435946766173	1.0334272559027757	1.0764836895778034	1.8059993370084588	1.6421572877191866	2.3418460113561643	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2767.208546323784
50000	-3231.054846176762	-476.2991435562344	-2754.7557026205277	0.007363410839952021	0.007363410839951998	0.47481291394035424	0.46304286576292386	0.44104813993492065	0.7464899380209038	0.7226398299119354	0.6397936292741834	0.5888425412420301	0.8843340866793402	0.9368730994837526	1.200899993812075	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2754.7557026205277
60000	-3231.9941181401186	-478.00488784352916	-2753.9892302965895	0.007405396653630609	0.007405396653630606	0.44569742694767994	0.48969915963804417	0.3006563046121928	0.6623381166911525	0.7013986632774014	0.41471280551217227	0.48641134993694296	0.8593769325725829	0.8254140342407382	0.9282127475803321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2753.9892302965895
70000	-3240.2656620836196	-482.7914760835272	-2757.4741860000922	0.007408652185918405	0.0074086521859184	0.5632731710039756	0.9935803688386101	0.6523100878461622	1.2316230455928494	1.1752168784559156	1.06969885253453	0.8356256998460146	1.308677810051114	1.4498005173259993	1.4120736629549766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2757.4741860000922
80000	-3237.939429824249	-490.0094516662386	-2747.9299781580107	0.007511836896517817	0.007511836896517814	0.7540204753938923	0.8324011922758037	0.5701877617362592	1.480232127538044	0.8954361985817679	1.0939656423926756	0.8837370438226388	1.580567037886982	1.2270684624863744	1.9798587844480127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2747.9299781580107
90000	-3247.726993189688	-501.7972284703427	-2745.9297647193453	0.007650358521552085	0.007650358521552092	1.0010820004006935	1.004732876473574	1.2280663566905887	1.521603988219661	0.7211207672355787	1.1530104230035685	1.3870276457136064	1.6644624449177703	1.9026963838455557	2.6247217631640893	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-2745.9297647193453
